"team","points","plays"
"Nebraska",28,66
"Louisiana Tech",14,63
"Louisiana",45,67
"Buffalo",38,79
"Coastal Carolina",17,67
"Georgia State",30,70
"Indiana",29,60
"Akron",27,84
"Toledo",49,68
"Western Michigan",31,81
"Utah State",38,80
"James Madison",45,73
"West Virginia",20,64
"Texas Tech",13,81
"Virginia",21,71
"NC State",24,67
"Northwestern",37,80
"Minnesota",34,61
"Vanderbilt",28,74
"Kentucky",45,60
"South Florida",42,70
"Rice",29,70
"Oregon",42,73
"Colorado",6,58
"Old Dominion",10,61
"Texas A&M-Commerce",9,68
"Troy",27,81
"Western Kentucky",24,53
"Arizona State",28,71
"USC",42,60
"Clemson",24,79
"Florida State",31,57
"Michigan State",9,75
"Maryland",31,67
"Texas A&M",27,58
"Auburn",10,64
"Washington State",38,65
"Oregon State",35,73
"Pittsburgh",24,60
"North Carolina",41,69
"Kansas State",44,82
"UCF",31,59
"Iowa State",34,72
"Oklahoma State",27,72
"Wake Forest",16,82
"Georgia Tech",30,59
"Marshall",24,71
"Virginia Tech",17,65
"Washington",59,62
"California",32,81
"Purdue",17,69
"Wisconsin",38,71
"Georgia",49,76
"UAB",21,77
"Arkansas State",44,65
"Southern Mississippi",37,70
"Wyoming",22,42
"Appalachian State",19,90
"UTEP",28,65
"UNLV",45,75
"UMass",31,70
"New Mexico",34,55
"Tennessee",45,66
"UTSA",14,81
"Missouri",34,61
"Memphis",27,76
"Houston",38,79
"Sam Houston State",7,48
"LSU",34,58
"Arkansas",31,68
"Miami (OH)",62,65
"Delaware State",20,62
"Connecticut",7,65
"Duke",41,61
"Florida",22,59
"Charlotte",7,53
"East Carolina",44,76
"Gardner-Webb",0,61
"Cincinnati",6,79
"Oklahoma",20,72
"Middle Tennessee",23,84
"Colorado State",31,63
"Illinois",23,77
"Florida Atlantic",17,73
"Ball State",3,57
"Georgia Southern",40,77
"Northern Illinois",14,70
"Tulsa",22,68
"Temple",7,58
"Miami",41,67
"South Carolina",37,67
"Mississippi State",30,71
"Notre Dame",14,64
"Ohio State",17,65
"Bowling Green",7,54
"Ohio",38,56
"Kansas",38,56
"BYU",27,73
"Stanford",20,66
"Arizona",21,67
"Syracuse",29,63
"Army",16,67
"San Diego State",31,63
"Boise State",34,63
"South Alabama",30,60
"Central Michigan",34,69
"TCU",34,77
"SMU",17,74
"Utah",14,65
"UCLA",7,67
"Louisville",56,62
"Boston College",28,72
"Jacksonville State",21,74
"Eastern Michigan",0,64
"Texas State",35,66
"Nevada",24,70
"Baylor",6,84
"Texas",38,59
"San Jose State",20,52
"Air Force",45,75
"Penn State",31,97
"Iowa",0,33
"Tulane",36,58
"Nicholls State",7,66
"Alabama",24,66
"Ole Miss",10,65
"Fresno State",53,67
"Kent State",10,52
"Florida International",6,57
"Liberty",38,65
"Hawai'i",20,68
"New Mexico State",17,47
"Michigan",31,61
"Rutgers",7,44
