Rank,Player,Years,Rebounds,Games,RPG
1,Tyler Hansbrough,2005-09,1219,142,8.6
2,Armando Bacot,2019-,1170,115,10.2
3,Sam Perkins,1980-84,1167,135,8.6
4,George Lynch,1989-93,1097,140,7.8
5,Billy Cunningham,1962-65,1062,69,15.4
6,Kennedy Meeks,2013-17,1052,144,7.3
7,Brice Johnson,2012-16,1035,148,7
8,Antawn Jamison,1995-98,1027,104,9.9
9,Mitch Kupchak,1972-76,1006,119,8.5
10,Brad Daugherty,1982-86,1003,135,7.4
11,Luke Maye,2015-19,942,141,6.7
12,Eric Montross,1990-94,941,139,6.8
13,Rusty Clark,1966-69,929,91,10.2
14,Ademola Okulaja,1995-99,890,139,6.4
15,John Henson,2009-12,885,109,8.1
16,Scott Williams,1986-90,861,138,6.2
17,Pete Brennan,1955-58,854,81,10.5
18,Brendan Haywood,1997-2001,839,141,6
19,Larry Miller,1965-68,834,91,9.2
20,Bobby Jones,1971-74,817,92,8.9
21,Mike O'Koren,1976-80,815,117,7
22,Jason Capel,1998-2002,807,120,6.7
23,Garrison Brooks ,2017-21,798,133,6
24,Lennie Rosenbluth,1954-57,790,76,10.4
25,Tyler Zeller,2008-12,788,117,6.7
26,Sean May,2002-05,771,77,10
27,Pete Chilcutt,1987-91,766,140,5.5
28,Deon Thompson,2006-10,743,152,4.9
29,J.R. Reid,1986-89,731,96,7.6
30,Lee Dedmon,1968-71,729,89,8.2
31,Joe Wolf,1983-87,707,128,5.5
32,Kris Lang,1998-2002,678,128,5.3
33,Walter Davis,1973-77,670,119,5.6
34,Charles Scott,1967-70,649,91,7.1
35,James Michael McAdoo,2011-14,640,108,5.9
36,Doug Moe,1958-61,635,60,10.6
37,Al Wood,1977-81,624,126,5
38,James Worthy,1979-82,620,84,7.4
39,Jawad Williams,2001-05,615,128,4.8
40,Leaky Black,2018-,613,138,4.4
41,Bill Bunting,1966-69,612,95,6.4
42,Lee Shaffer,1957-60,606,75,8.1
43,Serge Zwikker,1993-97,598,,
44,Rick Fox,1987-91,594,,
45,Danny Green,2005-09,590,,
46,Dennis Wuycik,1969-72,556,,
47,David Noel,2002-06,549,,
48,Isaiah Hicks,2013-17,546,,
49,Tommy LaGarde,1973-77,545,,
50,Marcus Ginyard,2005-10,543,,
51,Theo Pinson,2014-18,536,,
52,Ed Cota,1996-2000,517,,
53,Rasheed Wallace,1993-95,511,,
54,Bob Lewis,1964-67,510,,
55,Michael Jordan,1981-84,509,,
56,Dick Kepley,1957-61,499,,
57,Reggie Bullock,2010-13,495,,
58,Kevin Salvadori,1990-94,491,,
59,Justin Jackson,2014-,481,,
60,Bill Chamberlain,1969-72,475,,
61,Kevin Madden,1985-90,475,,
62,Joe Quigg,1955-57,475,,
63,Ed Davis,2008-10,470,,
64,Wayne Ellington,2006-09,469,,
65,J.P. Tokoto,2012-15,469,,
66,Vince Carter,1996-98,466,,
67,Jerry Stackhouse,1993-95,456,,
68,Warren Martin,1981-86,452,,
69,Matt Doherty,1980-84,446,,
70,Ed Stahl,1972-75,445,,
71,Reyshawn Terry,2003-07,440,,
72,Brian Reese,1990-94,436,,
73,Derrick Phelps,1990-94,432,,
74,Jackie Manuel,2001-05,429,,
75,Dante Calabria,1992-96,426,,
76,Raymond Felton,2002-05,417,,
77,Harrison Barnes,2010-12,414,,
78,Bob Cunningham,1955-58,410,,
79,York Larese,1958-61,407,,
80,Rich Yonakor,1976-80,405,,
81,Joel Berry,2014-18,405,,
82,Joe Forte,1999-2001,399,,
83,Marcus Paige,2013-16,399,,
84,Rashad McCants,2002-05,398,,
85,Jim Hudock,1959-62,397,,
86,Jeff Wolf,1976-80,395,,
87,Steve Bucknall,1985-89,392,,
88,Dave Popson,1983-87,382,,
89,Kenny Williams,2015-19,372,,
90,Ray Respess,1962-65,369,,
91,Shammond Williams,1994-98,332,,
92,Cameron Johnson,2017-19,329,,
93,Jeff Lebo,1985-89,327,,
94,Paul Likins,1953-55,318,,
95,Charlie Shaffer,1961-64,317,,
96,RJ Davis,2020-,317,,
97,Bob McAdoo,1971-72,312,,
98,Joel James,2012-16,309,,
99,Bob Bennett,1963-66,305,,
100,Ty Lawson,2006-09,303,,
101,Dexter Strickland,2009-13,297,,
102,Steve Hale,1982-86,291,,
103,Dudley Bradley,1975-79,285,,
104,Dick Grubar,1966-69,285,,
105,Kenny Smith,1983-87,283,,
106,Joe Brown,1966-69,280,,
107,George Karl,1980-73,279,,
108,Jeff McInnis,1993-96,277,,
109,Harvey Salz,1957-60,273,,
110,Caleb Love,2020-,272,,
