Rank,Institution,Conference,Division,fall_final,w_cc_rank,w_cc_pts,m_cc_rank,m_cc_pts,w_fh_rank,w_fh_pts,fb_rank,fb_pts,w_soc_rank,w_soc_pts,m_soc_rank,m_soc_pts,w_vb_rank,w_vb_pts
1,North Carolina,ACC,FBS,382.5,5,75,10,67.5,1,100,51,25,2,90,33,25,0,0
2,Stanford,Pac-12,FBS,330,13,63,4,80,0,0,0,0,17,50,9,64,5,73
3,BYU,WCC,FBS,314.5,8,70.5,3,85,0,0,26,45,9,64,0,0,17,50
4,Ohio State,Big Ten,FBS,313,15,60,0,0,0,0,4,80,17,50,17,50,5,73
5,Syracuse,ACC,FBS,310.5,23,51,12,64.5,5,70,51,25,0,0,1,100,0,0
6,Penn State,Big Ten,FBS,309,32,26,0,0,3,83,7,72,9,64,0,0,9,64
6,Pittsburgh,ACC,FBS,309,0,0,32,27,0,0,22,52,9,64,3,83,3,83
8,Texas,Big 12,FBS,298,31,43,18,56,0,0,25,49,17,50,0,0,1,100
9,Virginia,ACC,FBS,297,9,69,22,52,9,53,0,0,5,73,17,50,0,0
10,Alabama,SEC,FBS,290,3,85,27,47,0,0,5,75,3,83,0,0,0,0
11,Arkansas,SEC,FBS,272,21,53,23,51,0,0,26,45,5,73,0,0,17,50
12,Washington,Pac-12,FBS,264,17,57,14,61.5,0,0,8,70.5,0,0,17,50,33,25
13,Notre Dame,ACC,FBS,261,7,72,15,60,0,0,18,56,5,73,0,0,0,0
14,Florida State,ACC,FBS,258.5,18,56,32,27,0,0,10,67.5,3,83,0,0,33,25
15,Oregon,Pac-12,FBS,251.5,14,61.5,16,58.5,0,0,16,58.5,0,0,0,0,5,73
16,Wisconsin,Big Ten,FBS,246.5,19,55,6,73.5,0,0,26,45,0,0,0,0,5,73
17,Duke,ACC,FBS,244,32,26,32,27,0,0,26,45,5,73,5,73,0,0
18,Michigan,Big Ten,FBS,235,22,52,29,45,9,53,3,85,0,0,0,0,0,0
19,Wake Forest,ACC,FBS,223,0,0,5,75,9,53,26,45,33,25,33,25,0,0
20,UCLA,Pac-12,FBS,217,0,0,0,0,0,0,21,53,1,100,9,64,0,0
21,North Carolina State,ACC,FBS,216,1,100,11,66,0,0,51,25,33,25,0,0,0,0
22,Louisville,ACC,FBS,213,0,0,0,0,9,53,26,45,0,0,33,25,2,90
23,Georgetown,Big East,FCS,210.5,10,67.5,31,43,0,0,0,0,17,50,17,50,0,0
24,TCU,Big 12,FBS,204,0,0,0,0,0,0,2,90,9,64,0,0,17,50
25,Tennessee,SEC,FBS,203.5,32,26,20,54,0,0,6,73.5,33,25,0,0,33,25
26,Georgia,SEC,FBS,200,0,0,0,0,0,0,1,100,17,50,0,0,17,50
27,Northern Arizona,Big Sky,FCS,198.5,6,73.5,1,100,0,0,0,0,33,25,0,0,0,0
28,Northwestern,Big Ten,FBS,198,30,44,0,0,2,90,0,0,9,64,0,0,0,0
29,Oklahoma State,Big 12,FBS,195,4,80,2,90,0,0,51,25,0,0,0,0,0,0
30,LSU,SEC,FBS,186,32,26,0,0,0,0,15,60,17,50,0,0,17,50
31,Maryland,Big Ten,FBS,178,0,0,0,0,3,83,26,45,0,0,17,50,0,0
32,Colorado,Pac-12,FBS,161.5,11,66,8,70.5,0,0,0,0,0,0,0,0,33,25
33,Oregon State,Pac-12,FBS,157,24,50,0,0,0,0,17,57,0,0,17,50,0,0
34,Kentucky,SEC,FBS,153,0,0,0,0,0,0,51,25,0,0,9,64,9,64
35,Clemson,ACC,FBS,139.5,0,0,0,0,0,0,12,64.5,33,25,17,50,0,0
36,USC,Pac-12,FBS,138,0,0,0,0,0,0,13,63,33,25,0,0,17,50
37,Minnesota,Big Ten,FBS,135,32,26,0,0,0,0,26,45,0,0,0,0,9,64
38,Memphis,American,FBS,134,0,0,0,0,0,0,26,45,9,64,33,25,0,0
39,Harvard,Ivy League,FCS,133,32,26,17,57,0,0,0,0,17,50,0,0,0,0
39,Tulsa,American,FBS,133,0,0,9,69,0,0,0,0,0,0,9,64,0,0
41,Montana State,Big Sky,FCS,132,0,0,25,49,0,0,0,0,0,0,0,0,0,0
42,Michigan State,Big Ten,FBS,131,20,54,32,27,0,0,0,0,17,50,0,0,0,0
43,Utah,Pac-12,FBS,130.5,12,64.5,0,0,0,0,11,66,0,0,0,0,0,0
44,New Hampshire,America East,FCS,128,0,0,0,0,0,0,0,0,33,25,17,50,0,0
45,UCF,American,FBS,125,0,0,0,0,0,0,51,25,17,50,0,0,17,50
46,Portland,WCC,DI,123,0,0,0,0,0,0,0,0,17,50,5,73,0,0
46,Princeton,Ivy League,FCS,123,32,26,30,44,9,53,0,0,0,0,0,0,0,0
48,Samford,SoCon,FCS,120,0,0,0,0,0,0,0,0,33,25,0,0,33,25
49,Air Force,Mountain West,FBS,117,0,0,7,72,0,0,26,45,0,0,0,0,0,0
