Rank,Player,Years,Minutes,Games,MPG,
1,Ed Cota,1996-2000,4631,138,33.6,
2,Marcus Paige,2012-16,4570,141,32.4,
3,Sam Perkins,1980-84,4459,135,33,
4,Tyler Hansbrough,2005-09,4394,142,30.9,
5,Ademola Okulaja,1995-99,4390,139,31.6,
6,Kenny Smith,1983-87,4217,127,33.2,
7,Matt Doherty,1980-84,4077,129,31.6,
8,Jeff Lebo,1985-89,4048,133,30.4,
9,Brad Daugherty,1982-86,3973,135,29.4,
10,Joel Berry,2014-18,3973,144,27.6,
11,Jason Capel,1998-2002,3845,120,32,
12,George Lynch,1989-93,3705,140,26.5,
13,Leaky Black,2018-,4069,152,26.3,
14,Eric Montross,1990-94,3501,139,25.2,
15,Antawn Jamison,1995-98,3478,104,33.4,
16,Jawad Williams,2001-05,3456,128,27,
17,Justin Jackson,2014-17,3430,118,29.1,
18,Raymond Felton,2002-05,3421,101,33.9,
19,Marcus Ginyard,2005-10,3361,143,23.5,
20,Brendan Haywood,1997-2001,3315,141,23.5,
21,Wayne Ellington,2006-09,3278,115,28.5,
22,Garrison Brooks,2017-21,3265,133,24.5,
23,Kris Lang,1998-2002,3259,128,25.5,
24,Deon Thompson,2006-10,3246,152,21.4,
25,Armando Bacot,2019-,3574,128,27.5,
26,Derrick Phelps,1990-94,3239,132,24.5,
27,King Rice,1987-91,3206,140,22.9,
28,Dante Calabria,1992-96,3188,135,23.6,
29,Joe Wolf,1983-87,3185,128,24.9,
30,Pete Chilcutt,1987-91,3180,140,22.7,
31,Rick Fox,1987-91,3180,140,22.7,
32,Steve Hale,1982-86,3176,131,24.2,
33,Shammond Williams,1994-98,3160,134,23.6,
34,Michael Jordan,1981-84,3107,101,30.8,
35,Brice Johnson,2012-16,3102,148,21,
36,Dexter Strickland,2009-13,3091,128,24.1,
37,Kennedy Meeks,2013-17,3068,144,21.3,
38,Scott Williams,1986-90,3055,138,22.1,
39,Luke Maye,2015-19,2978,140,21.3,
40,Kenny Williams,2015-19,2964,127,23.3,
41,David Noel,2002-06,2947,127,23.2,
42,Hubert Davis,1988-92,2919,137,21.3,
43,Donald Williams,1991-95,2901,126,23,
44,Jimmy Black*,1979-82,2892,98,29.5,*last 3 years
45,Danny Green,2005-09,2889,145,19.9,
46,Kevin Madden,1985-90,2867,134,21.4,
47,Rashad McCants,2002-05,2865,98,29.2,
48,Melvin Scott,2001-05,2858,129,22.2,
49,Ty Lawson,2006-09,2835,105,27,
50,Caleb Love,2020-,3205,98,32.4,
51,Jackie Manuel,2001-05,2808,126,22.3,
52,J.R. Reid,1986-89,2788,96,29,
53,James Worthy,1979-82,2788,84,33.2,
54,Jeff McInnis,1993-96,2745,100,27.5,
55,Tyler Zeller,2008-12,2697,117,23.1,
56,James M. McAdoo,2011-14,2693,108,24.9,
57,Vince Carter,1995-98,2677,103,26,
58,Nate Britt,2013-17,2653,151,17.6,
59,Theo Pinson,2014-18,2647,122,21.7,
60,RJ Davis,2020-,3016,98,30.2,
61,Steve Bucknall,1985-89,2605,130,20,
62,John Henson,2009-12,2594,109,23.8,
63,Brian Reese,1990-94,2570,134,19.2,
64,Reggie Bullock,2010-13,2457,100,24.6,
65,Isaiah Hicks,2013-17,2442,151,16.2,
66,Serge Zwikker,1993-97,2423,120,20.2,
67,J.P. Tokoto,2012-15,2383,107,22.3,
68,Joe Forte,1999-2001,2340,69,33.9,
69,Harrison Barnes,2010-12,2198,75,29.3,
70,Al Wood*,1979-81,2188,66,33.2,*last 2 years
71,Sean May,2002-05,2137,77,27.8,
72,Leslie McDonald,2009-14,2122,125,17,
73,Kendall Marshall,2010-12,2100,73,28.8,
74,Bobby Frasor,2005-09,1993,109,18.3,
75,Henrik Rodl,1989-93,1945,140,13.9,
76,Larry Drew II,2008-11,1907,96,19.9,
77,Dave Popson,1983-87,1906,134,14.2,
78,Jerry Stackhouse,1993-95,1904,69,27.6,
79,Cameron Johnson,2017-19,1840,62,29.7,
80,Kevin Salvadori,1990-94,1835,137,13.4,
81,Jimmy Braddock,1979-83,1833,136,13.5,
82,Reyshawn Terry,2003-07,1816,126,14.4,
83,Rasheed Wallace,1993-95,1762,69,25.5,
84,Brandon Robinson,2016-20,1722,130,13.2,
85,Warren Martin,1981-86,1678,119,14.1,
86,Buzz Peterson,1981-85,1674,119,14.1,
87,Max Owens,1997-01,1597,119,13.4,
88,Ranzino Smith,1984-88,1580,128,12.3,
89,Pat Sullivan,1990-95,1501,117,12.8,
90,Curtis Hunter,1982-87,1431,121,11.8,
91,Ed Davis,2008-10,1357,61,22.2,
92,Quentin Thomas,2004-08,1323,129,10.3,
93,Andrew Platek,2017-21,1320,127,10.4,
94,P.J. Hairston,2011-13,1286,71,18.1,
95,Will Graves,2007-10,1284,92,14,
96,Wes Miller,2004-07,1206,93,13,
97,Joel James,2012-16,1188,135,8.8,
98,Brady Manek,2021-22,1185,39,30.4,
99,Mahktar Ndiaye,1996-98,1161,71,16.4,
100,Byron Sanders,2002-06,1135,120,9.5,
101,Ronald Curry,1998-2001,1114,54,20.6,
102,Mike Pepper*,1979-81,1093,65,16.8,* last 2 years
103,Adam Boone,2000-02,1030,60,17.2,
104,Kerwin Walton,2020-22,1019,60,17,
105,Brandan Wright,2006-07,1013,37,27.4,
106,Mike O'Koren*,1979-80,1012,29,34.9,* last year only
107,Coby White,2018-19,999,35,28.5,
108,Pete Nance*,2019-2023,3402,134,,
