"","P1","P2","P3","P4","P5","~Minutes"
"1","Armando Bacot","Caleb Love","Leaky Black","RJ Davis","Seth Trimble",32.5
"2","Armando Bacot","Caleb Love","Leaky Black","Pete Nance","RJ Davis",21.7
"3","Armando Bacot","Caleb Love","Leaky Black","Puff Johnson","RJ Davis",12.8
"4","Caleb Love","D'Marco Dunn","Jalen Washington","Puff Johnson","RJ Davis",10.9
"5","Armando Bacot","Caleb Love","D'Marco Dunn","Puff Johnson","RJ Davis",9.6
"6","Armando Bacot","Caleb Love","Justin McKoy","Leaky Black","RJ Davis",8.3
"7","Caleb Love","Jalen Washington","Leaky Black","RJ Davis","Seth Trimble",6.7
"8","Armando Bacot","D'Marco Dunn","Leaky Black","Puff Johnson","RJ Davis",6.3
"9","Caleb Love","D'Marco Dunn","Jalen Washington","Leaky Black","Puff Johnson",5.5
"10","Caleb Love","D'Marco Dunn","Justin McKoy","Leaky Black","RJ Davis",5.4
"11","Armando Bacot","Caleb Love","D'Marco Dunn","Leaky Black","Pete Nance",5.3
"12","Armando Bacot","Caleb Love","D'Marco Dunn","Leaky Black","Puff Johnson",5
"13","Caleb Love","D'Marco Dunn","Dontrez Styles","Jalen Washington","RJ Davis",5
"14","Caleb Love","Justin McKoy","Leaky Black","RJ Davis","Seth Trimble",4.4
"15","Armando Bacot","Caleb Love","D'Marco Dunn","RJ Davis","Seth Trimble",4.3
"16","Caleb Love","D'Marco Dunn","Jalen Washington","Leaky Black","RJ Davis",4
"17","Caleb Love","Leaky Black","Pete Nance","RJ Davis","Tyler Nickel",3.7
"18","Caleb Love","Jalen Washington","Leaky Black","Puff Johnson","RJ Davis",3.6
"19","D'Marco Dunn","Jalen Washington","Leaky Black","Puff Johnson","RJ Davis",3.6
"20","Armando Bacot","Caleb Love","D'Marco Dunn","Puff Johnson","Seth Trimble",3.4
"21","Armando Bacot","D'Marco Dunn","Jalen Washington","Puff Johnson","RJ Davis",2.7
"22","Armando Bacot","Caleb Love","Jalen Washington","Leaky Black","RJ Davis",2.6
"23","Armando Bacot","Caleb Love","Justin McKoy","RJ Davis","Seth Trimble",2.6
"24","Armando Bacot","Caleb Love","Justin McKoy","Leaky Black","Seth Trimble",2.5
"25","Armando Bacot","Leaky Black","Puff Johnson","RJ Davis","Seth Trimble",2.4
"26","Caleb Love","Jalen Washington","Justin McKoy","Seth Trimble","Tyler Nickel",2.4
"27","D'Marco Dunn","Dontrez Styles","Jalen Washington","Seth Trimble","Tyler Nickel",2.4
"28","Caleb Love","Justin McKoy","Leaky Black","Puff Johnson","Seth Trimble",2.3
"29","Armando Bacot","Caleb Love","D'Marco Dunn","Leaky Black","RJ Davis",2.2
"30","Armando Bacot","Caleb Love","Leaky Black","Puff Johnson","Seth Trimble",1.7
"31","Armando Bacot","Justin McKoy","Puff Johnson","RJ Davis","Seth Trimble",1.5
"32","Caleb Love","Leaky Black","Pete Nance","Puff Johnson","RJ Davis",1.4
"33","Caleb Love","Jalen Washington","Puff Johnson","RJ Davis","Seth Trimble",1.2
"34","Caleb Love","D'Marco Dunn","Justin McKoy","Leaky Black","Tyler Nickel",1.1
"35","D'Marco Dunn","Dontrez Styles","Jalen Washington","Justin McKoy","Tyler Nickel",1.1
"36","Jalen Washington","Justin McKoy","Puff Johnson","RJ Davis","Seth Trimble",1.1
"37","Armando Bacot","Caleb Love","Puff Johnson","RJ Davis","Seth Trimble",0.9
"38","Dontrez Styles","Jalen Washington","Puff Johnson","RJ Davis","Seth Trimble",0.9
"39","Armando Bacot","Caleb Love","D'Marco Dunn","Jalen Washington","RJ Davis",0.7
"40","Armando Bacot","D'Marco Dunn","Puff Johnson","RJ Davis","Seth Trimble",0.7
"41","Caleb Love","D'Marco Dunn","Jalen Washington","Justin McKoy","RJ Davis",0.5
"42","Caleb Love","Justin McKoy","Leaky Black","Seth Trimble","Tyler Nickel",0.5
"43","Caleb Love","Jalen Washington","Justin McKoy","RJ Davis","Tyler Nickel",0.2
"44","Armando Bacot","Caleb Love","D'Marco Dunn","Justin McKoy","RJ Davis",0.2
