"","game_date","game_id","team","opponent","location","result","points_scored","points_allowed","diff","year"
"1",20190112,2826,"North Carolina","Louisville","Home","L"," 83","62",21,2019
"2",20190115,3021,"North Carolina","Notre Dame","Home","W"," 75","69",6,2019
"3",20190121,3312,"North Carolina","Virginia Tech","Home","W"," 103","82",21,2019
"4",20190205,3986,"North Carolina","N.C. State","Home","W"," 113","96",17,2019
"5",20190209,4125,"North Carolina","Miami FL","Home","W"," 88","85",3,2019
"6",20190211,4288,"North Carolina","Virginia","Home","L"," 69","61",8,2019
"7",20190223,4795,"North Carolina","Florida St.","Home","W"," 77","59",18,2019
"8",20190226,4958,"North Carolina","Syracuse","Home","W"," 93","85",8,2019
"9",20190309,5420,"North Carolina","Duke","Home","W"," 79","70",9,2019
"10",20190105,2633,"Duke","Clemson","Home","W"," 87","68",19,2019
"11",20190114,2985,"Duke","Syracuse","Home","L"," 95","91",4,2019
"12",20190119,3274,"Duke","Virginia","Home","W"," 72","70",2,2019
"13",20190126,3476,"Duke","Georgia Tech","Home","W"," 66","53",13,2019
"14",20190205,3974,"Duke","Boston College","Home","W"," 80","55",25,2019
"15",20190216,4578,"Duke","N.C. State","Home","W"," 94","78",16,2019
"16",20190220,4680,"Duke","North Carolina","Home","L"," 88","72",16,2019
"17",20190302,5126,"Duke","Miami FL","Home","W"," 87","57",30,2019
"18",20190305,5249,"Duke","Wake Forest","Home","W"," 71","70",1,2019
"19",20190108,2684,"Wake Forest","Duke","Home","L"," 87","65",22,2019
"20",20190115,3017,"Wake Forest","N.C. State","Home","W"," 71","67",4,2019
"21",20190126,3535,"Wake Forest","Boston College","Home","L"," 65","61",4,2019
"22",20190130,3712,"Wake Forest","Louisville","Home","L"," 82","54",28,2019
"23",20190205,3982,"Wake Forest","Pittsburgh","Home","W"," 78","76",2,2019
"24",20190216,4451,"Wake Forest","North Carolina","Home","L"," 95","57",38,2019
"25",20190226,4945,"Wake Forest","Miami FL","Home","W"," 76","75",1,2019
"26",20190302,5087,"Wake Forest","Syracuse","Home","L"," 79","54",25,2019
"27",20190309,5354,"Wake Forest","Florida St.","Home","L"," 65","57",8,2019
"28",20190108,2695,"N.C. State","North Carolina","Home","L"," 90","82",8,2019
"29",20190112,2827,"N.C. State","Pittsburgh","Home","W"," 86","80",6,2019
"30",20190126,3498,"N.C. State","Clemson","Home","W"," 69","67",2,2019
"31",20190129,3659,"N.C. State","Virginia","Home","L"," 66","65",1,2019
"32",20190202,3799,"N.C. State","Virginia Tech","Home","L"," 47","24",23,2019
"33",20190213,4358,"N.C. State","Syracuse","Home","W"," 73","58",15,2019
"34",20190220,4661,"N.C. State","Boston College","Home","W"," 89","80",9,2019
"35",20190224,4913,"N.C. State","Wake Forest","Home","W"," 94","74",20,2019
"36",20190306,5292,"N.C. State","Georgia Tech","Home","L"," 63","61",2,2019
"37",20190105,2501,"Pittsburgh","North Carolina","Home","L"," 85","60",25,2019
"38",20190109,2729,"Pittsburgh","Louisville","Home","W"," 89","86",3,2019
"39",20190114,2986,"Pittsburgh","Florida St.","Home","W"," 75","62",13,2019
"40",20190122,3348,"Pittsburgh","Duke","Home","L"," 79","64",15,2019
"41",20190202,3873,"Pittsburgh","Syracuse","Home","L"," 65","56",9,2019
"42",20190209,4143,"Pittsburgh","N.C. State","Home","L"," 79","76",3,2019
"43",20190216,4505,"Pittsburgh","Virginia Tech","Home","L"," 70","64",6,2019
"44",20190227,4979,"Pittsburgh","Clemson","Home","L"," 62","48",14,2019
"45",20190309,5352,"Pittsburgh","Notre Dame","Home","W"," 56","53",3,2019
"46",20190101,2366,"Virginia Tech","Notre Dame","Home","W"," 81","66",15,2019
"47",20190105,2502,"Virginia Tech","Boston College","Home","W"," 77","66",11,2019
"48",20190119,3197,"Virginia Tech","Wake Forest","Home","W"," 87","71",16,2019
"49",20190126,3593,"Virginia Tech","Syracuse","Home","W"," 78","56",22,2019
"50",20190204,3958,"Virginia Tech","Louisville","Home","L"," 72","64",8,2019
"51",20190213,4363,"Virginia Tech","Georgia Tech","Home","W"," 76","68",8,2019
"52",20190218,4609,"Virginia Tech","Virginia","Home","L"," 64","58",6,2019
"53",20190226,4960,"Virginia Tech","Duke","Home","W"," 77","72",5,2019
"54",20190308,5345,"Virginia Tech","Miami FL","Home","W"," 84","70",14,2019
"55",20190105,2518,"Georgia Tech","Wake Forest","Home","W"," 92","79",13,2019
"56",20190109,2710,"Georgia Tech","Virginia Tech","Home","L"," 52","49",3,2019
"57",20190119,3181,"Georgia Tech","Louisville","Home","L"," 79","51",28,2019
"58",20190122,3335,"Georgia Tech","Notre Dame","Home","W"," 63","61",2,2019
