Team,Conference,NET,Prev NET,Avg Opp NET Rank,Avg Opp NET,WL,Conf. Record,Non-Conference Record,Road WL,NET SOS,NET NonConf SOS,Quadrant 1,Quadrant 2,Quadrant 3,Quadrant 4
Houston,AAC,1,2,119,160,13-1,1-0,12-1,3-0,105,85,4-1,1-0,0-0,8-0
UConn,Big East,2,1,92,152,14-0,3-0,11-0,2-0,98,95,4-0,3-0,1-0,6-0
Tennessee,SEC,3,3,66,146,11-2,1-0,10-2,1-1,48,49,2-1,3-1,1-0,5-0
Purdue,Big Ten,4,4,58,143,12-0,2-0,10-0,2-0,81,70,4-0,1-0,2-0,5-0
Kansas,Big 12,5,5,13,114,11-1,0-0,11-1,1-0,32,28,4-1,1-0,3-0,3-0
UCLA,Pac-12,6,6,20,126,11-2,2-0,9-2,2-0,107,112,2-2,2-0,3-0,4-0
Alabama,SEC,7,8,5,101,11-2,1-0,10-2,3-0,5,12,3-2,4-0,1-0,3-0
Arizona,Pac-12,8,7,27,131,12-1,1-1,11-0,0-1,72,83,4-1,0-0,3-0,5-0
Texas,Big 12,9,9,181,178,11-1,0-0,11-1,0-0,272,269,1-1,2-0,1-0,7-0
West Virginia,Big 12,10,11,100,154,10-2,0-0,10-2,1-1,96,97,1-2,2-0,2-0,5-0
Gonzaga,WCC,11,12,3,93,10-3,0-0,10-3,0-1,10,9,3-3,2-0,2-0,3-0
New Mexico,Mountain West,12,14,145,167,12-0,1-0,11-0,2-0,267,259,1-0,2-0,4-0,5-0
Fla. Atlantic,C-USA,13,13,202,184,9-1,1-0,8-1,3-1,276,253,1-0,0-1,3-0,5-0
Arkansas,SEC,14,10,73,148,11-2,0-1,11-1,0-1,190,239,1-2,2-0,2-0,6-0
Ohio St.,Big Ten,15,15,102,155,8-3,1-0,7-3,0-1,83,91,1-3,1-0,1-0,5-0
Saint Mary's (CA),WCC,16,16,6,107,10-4,0-0,10-4,0-0,126,121,1-2,2-0,4-2,3-0
Duke,ACC,17,17,53,141,10-3,1-1,9-2,0-1,58,41,2-2,1-1,1-0,6-0
Baylor,Big 12,18,19,80,149,10-2,0-0,10-2,0-1,70,67,2-2,1-0,1-0,6-0
Virginia,ACC,19,18,73,148,9-2,1-1,8-1,1-1,40,40,2-2,2-0,0-0,5-0
Sam Houston,WAC,20,20,158,170,6-2,0-0,6-2,4-2,18,17,2-2,0-0,1-0,3-0
Indiana,Big Ten,21,21,178,177,10-3,1-1,9-2,1-2,57,80,2-3,0-0,1-0,7-0
Utah St.,Mountain West,22,22,17,120,10-2,0-0,10-2,1-0,265,266,0-0,4-0,6-1,0-1
North Carolina,ACC,23,24,1,86,9-4,1-1,8-3,0-2,13,18,1-4,4-0,2-0,2-0
Maryland,Big Ten,24,23,158,170,9-3,1-1,8-2,1-1,74,123,1-3,1-0,1-0,6-0
Kent St.,MAC,25,25,114,159,8-3,0-0,8-3,3-3,61,56,0-3,0-0,4-0,4-0
Xavier,Big East,26,37,20,126,11-3,3-0,8-3,3-0,84,60,1-3,3-0,2-0,5-0
Virginia Tech,ACC,27,28,175,176,11-2,1-1,10-1,0-2,200,203,3-1,0-0,2-1,6-0
Rutgers,Big Ten,28,29,149,168,8-4,1-1,7-3,0-2,181,305,1-2,0-0,2-2,5-0
Marquette,Big East,29,30,41,137,10-4,2-1,8-3,1-2,97,118,1-2,1-2,3-0,5-0
Auburn,SEC,30,27,39,136,11-2,1-0,10-2,1-1,180,171,1-1,3-1,2-0,5-0
Kansas St.,Big 12,31,35,221,191,11-1,0-0,11-1,1-1,290,284,0-1,2-0,2-0,7-0
Missouri,SEC,32,40,188,179,12-1,1-0,11-1,1-0,205,208,1-1,3-0,1-0,7-0
Iowa St.,Big 12,33,31,210,186,9-2,0-0,9-2,0-1,129,124,1-2,1-0,1-0,6-0
Southern Miss.,Sun Belt,34,33,268,204,8-2,0-0,8-2,3-2,210,198,1-1,0-0,2-1,5-0
Creighton,Big East,35,34,10,109,8-6,2-1,6-5,0-2,28,26,1-4,2-0,2-2,3-0
San Diego St.,Mountain West,36,38,7,108,9-3,1-0,8-3,1-0,50,30,1-3,1-0,4-0,3-0
Yale,Ivy League,37,36,282,207,8-3,0-0,8-3,4-3,148,139,0-3,1-0,0-0,7-0
Northwestern,Big Ten,38,39,136,165,9-2,1-0,8-2,2-0,232,294,1-1,1-1,2-0,5-0
Mississippi St.,SEC,39,26,249,198,11-2,0-1,11-1,1-0,228,293,2-1,0-1,1-0,8-0
Kentucky,SEC,40,32,119,160,8-4,0-1,8-3,0-2,62,105,0-3,2-1,1-0,5-0
Illinois,Big Ten,41,44,119,160,8-4,0-2,8-2,0-1,36,62,2-3,0-1,1-0,5-0
Arizona St.,Pac-12,42,43,90,151,11-2,2-0,9-2,2-2,193,248,2-0,1-1,4-0,4-1
North Texas,C-USA,43,42,142,166,8-2,1-0,7-2,2-1,202,168,0-1,0-1,4-0,4-0
Utah,Pac-12,44,41,135,164,9-4,2-0,7-4,1-1,139,217,1-3,1-1,2-0,5-0
Memphis,AAC,45,45,41,137,10-3,0-0,10-3,1-2,117,113,1-1,2-2,4-0,3-0
Miami (FL),ACC,46,47,164,171,12-1,3-0,9-1,2-0,178,176,3-1,2-0,1-0,6-0
