Team,Conference,NET,Prev NET,Avg Opp NET Rank,Avg Opp NET,WL,Conf. Record,Non-Conference Record,Road WL,NET SOS,NET NonConf SOS,Quadrant 1,Quadrant 2,Quadrant 3,Quadrant 4
Houston,AAC,1,1,101,148,27-2,15-1,12-1,10-0,98,71,4-1,8-0,5-1,10-0
Alabama,SEC,2,2,7,86,25-4,15-1,10-3,9-2,14,7,9-4,6-0,8-0,2-0
Tennessee,SEC,3,3,32,107,22-8,11-6,11-2,4-5,29,44,7-5,3-3,5-0,7-0
UCLA,Pac-12,4,4,41,110,25-4,16-2,9-2,9-2,53,98,6-4,7-0,6-0,6-0
Purdue,Big Ten,5,5,26,103,24-5,13-5,11-0,7-3,25,92,9-4,5-1,5-0,5-0
Kansas,Big 12,6,6,1,65,25-5,13-4,12-1,7-3,2,16,15-5,4-0,3-0,3-0
Saint Mary's (CA),WCC,7,7,48,114,24-6,14-2,10-4,6-2,88,97,2-2,6-2,11-2,5-0
UConn,Big East,8,8,48,114,22-7,11-7,11-0,5-5,44,96,5-5,5-1,6-1,6-0
Gonzaga,WCC,9,9,39,109,24-5,14-2,10-3,7-2,46,5,5-4,5-0,8-1,6-0
Texas,Big 12,10,10,10,90,22-7,11-5,11-2,4-5,8,126,10-7,3-0,2-0,7-0
Baylor,Big 12,11,12,5,79,22-8,11-6,11-2,5-5,1,43,11-8,4-0,0-0,7-0
Arizona,Pac-12,12,11,58,118,24-5,13-5,11-0,5-3,70,61,6-2,7-2,3-1,8-0
Marquette,Big East,13,13,54,116,24-6,16-3,8-3,8-4,48,134,5-5,5-1,7-0,7-0
Arkansas,SEC,14,14,8,89,19-11,8-9,11-2,2-8,22,94,3-8,4-2,10-1,2-0
Creighton,Big East,15,16,10,90,18-11,12-6,6-5,4-6,18,20,4-7,4-3,6-1,4-0
San Diego St.,Mountain West,16,15,8,89,22-6,14-3,8-3,8-2,38,32,4-5,5-1,12-0,1-0
Kansas St.,Big 12,17,17,16,98,22-7,10-6,12-1,4-6,17,310,9-6,3-1,3-0,7-0
Fla. Atlantic,C-USA,18,19,123,165,24-3,16-2,8-1,9-3,169,303,2-1,3-2,6-0,13-0
Kentucky,SEC,19,20,43,111,20-9,11-5,9-4,5-4,20,63,5-7,6-0,3-1,6-1
Maryland,Big Ten,20,21,54,116,20-9,11-7,9-2,2-7,35,151,3-8,6-1,3-0,8-0
TCU,Big 12,21,22,48,114,19-10,8-8,11-2,3-6,15,263,6-9,5-0,1-0,7-1
Duke,ACC,22,24,60,119,22-8,13-6,9-2,3-6,60,67,2-7,7-1,4-0,9-0
West Virginia,Big 12,23,23,4,77,17-13,6-11,11-2,3-8,4,93,5-12,5-1,1-0,6-0
Texas A&M,SEC,24,27,68,123,22-8,14-3,8-5,7-4,62,256,5-5,4-1,6-0,7-2
Xavier,Big East,25,25,24,102,21-8,13-5,8-3,6-4,31,59,5-5,6-1,4-2,6-0
Boise St.,Mountain West,26,29,57,117,22-7,13-4,9-3,5-5,74,138,3-3,7-2,6-2,6-0
Iowa St.,Big 12,27,26,12,91,17-12,8-9,9-3,2-8,5,102,8-10,2-2,1-0,6-0
Indiana,Big Ten,28,18,19,100,20-10,11-8,9-2,5-7,9,106,5-8,6-2,3-0,6-0
Virginia,ACC,29,28,72,126,22-6,14-5,8-1,6-5,65,27,4-5,6-0,5-1,7-0
Utah St.,Mountain West,30,30,39,109,21-7,11-5,10-2,5-4,87,200,0-4,6-1,12-1,3-1
Michigan St.,Big Ten,31,32,3,76,18-11,10-8,8-3,5-7,6,38,6-9,5-1,3-1,4-0
Rutgers,Big Ten,32,31,48,114,18-11,10-8,8-3,4-6,40,313,6-6,3-2,2-3,7-0
Iowa,Big Ten,33,43,21,101,19-11,11-8,8-3,4-7,19,136,5-8,8-2,1-0,5-1
Miami (FL),ACC,34,34,90,138,23-6,14-5,9-1,7-4,78,144,7-4,3-0,7-1,6-1
Nevada,Mountain West,35,35,30,106,21-8,12-5,9-3,6-7,59,129,4-5,5-2,7-1,5-0
Illinois,Big Ten,36,33,66,122,19-10,10-8,9-2,3-6,34,118,3-9,6-1,3-0,7-0
Auburn,SEC,37,36,21,101,19-10,9-7,10-3,4-7,36,76,2-8,6-1,8-1,3-0
Providence,Big East,38,37,95,141,21-8,13-5,8-3,6-6,61,288,3-6,3-1,5-1,10-0
Memphis,AAC,39,38,71,125,22-7,12-4,10-3,6-5,81,50,2-3,7-3,7-1,6-0
Liberty,ASUN,40,40,175,189,22-7,16-3,6-4,6-5,216,58,0-3,1-1,7-3,14-0
Northwestern,Big Ten,41,41,27,105,20-9,11-7,9-2,6-4,32,290,7-5,4-4,1-0,8-0
NC State,ACC,42,42,85,135,22-9,12-8,10-1,4-6,76,243,2-6,5-3,5-0,10-0
Oral Roberts,Summit League,43,44,258,215,23-4,18-0,5-4,11-4,167,6,0-4,1-0,5-0,17-0
Mississippi St.,SEC,44,39,77,129,20-10,8-9,12-1,4-5,49,237,4-7,4-2,4-1,8-0
