,Team,Conference,dec_28_net,march_1_net,net_delta,dec_28_kenpom,march_1_kenpom,kenpom_delta
1,Air Force,Mountain West,153,152,1,171,146,25
2,Alabama,SEC,7,2,5,12,3,9
3,Arizona,Pac-12,8,12,-4,8,12,-4
4,Arizona St.,Pac-12,42,61,-19,55,63,-8
5,Arkansas,SEC,14,14,0,9,15,-6
6,Auburn,SEC,30,37,-7,17,29,-12
7,Baylor,Big 12,18,11,7,15,13,2
8,Boise St.,Mountain West,60,26,34,60,24,36
9,Boston College,ACC,227,158,69,164,166,-2
10,Butler,Big East,66,128,-62,79,123,-44
11,California,Pac-12,318,304,14,241,262,-21
12,Clemson,ACC,77,62,15,61,69,-8
13,Colorado,Pac-12,59,75,-16,56,58,-2
14,Colorado St.,Mountain West,91,116,-25,92,111,-19
15,Connecticut,Big East,2,8,-6,2,5,-3
16,Creighton,Big East,35,15,20,24,14,10
17,DePaul,Big East,176,166,10,122,145,-23
18,Duke,ACC,17,22,-5,16,32,-16
19,Florida,SEC,64,59,5,50,62,-12
20,Florida St.,ACC,248,218,30,149,206,-57
21,Fresno St.,Mountain West,200,163,37,139,149,-10
22,Georgetown,Big East,230,225,5,168,214,-46
23,Georgia,SEC,132,150,-18,97,144,-47
24,Georgia Tech,ACC,140,189,-49,119,173,-54
25,Illinois,Big Ten,41,36,5,31,36,-5
26,Indiana,Big Ten,21,28,-7,19,27,-8
27,Iowa,Big Ten,58,33,25,37,34,3
28,Iowa St.,Big 12,33,27,6,46,26,20
29,Kansas,Big 12,5,6,-1,5,7,-2
30,Kansas St.,Big 12,31,17,14,51,20,31
31,Kentucky,SEC,40,19,21,10,21,-11
32,Louisville,ACC,343,310,33,256,284,-28
33,LSU,SEC,75,154,-79,78,150,-72
34,Marquette,Big East,29,13,16,25,11,14
35,Maryland,Big Ten,24,20,4,22,16,6
36,Miami FL,ACC,46,34,12,40,37,3
37,Michigan,Big Ten,81,55,26,48,42,6
38,Michigan St.,Big Ten,67,31,36,44,25,19
39,Minnesota,Big Ten,249,239,10,196,224,-28
40,Mississippi,SEC,88,131,-43,73,116,-43
41,Mississippi St.,SEC,39,44,-5,36,43,-7
42,Missouri,SEC,32,49,-17,43,53,-10
43,N.C. State,ACC,55,42,13,52,51,1
44,Nebraska,Big Ten,78,94,-16,89,96,-7
45,Nevada,Mountain West,62,35,27,88,40,48
46,New Mexico,Mountain West,12,48,-36,65,46,19
47,North Carolina,ACC,23,45,-22,20,45,-25
48,Northwestern,Big Ten,38,41,-3,45,48,-3
49,Notre Dame,ACC,168,188,-20,103,169,-66
50,Ohio St.,Big Ten,15,64,-49,14,65,-51
51,Oklahoma,Big 12,51,65,-14,33,52,-19
52,Oklahoma St.,Big 12,48,47,1,30,44,-14
53,Oregon,Pac-12,71,52,19,47,47,0
54,Oregon St.,Pac-12,221,213,8,219,197,22
55,Penn St.,Big Ten,50,60,-10,34,50,-16
56,Pittsburgh,ACC,69,53,16,69,55,14
57,Providence,Big East,76,38,38,63,28,35
58,Purdue,Big Ten,4,5,-1,7,6,1
59,Rutgers,Big Ten,28,32,-4,23,31,-8
60,San Diego St.,Mountain West,36,16,20,26,17,9
61,San Jose St.,Mountain West,117,97,20,151,94,57
62,Seton Hall,Big East,93,84,9,68,78,-10
63,South Carolina,SEC,274,234,40,192,219,-27
64,St. John's,Big East,96,98,-2,57,90,-33
65,Stanford,Pac-12,100,107,-7,66,93,-27
66,Syracuse,ACC,152,129,23,87,125,-38
67,TCU,Big 12,49,21,28,38,22,16
68,Tennessee,SEC,3,3,0,3,4,-1
69,Texas,Big 12,9,10,-1,6,9,-3
70,Texas A&M,SEC,102,24,78,72,23,49
71,Texas Tech,Big 12,52,50,2,32,49,-17
72,UCLA,Pac-12,6,4,2,4,2,2
73,UNLV,Mountain West,61,90,-29,75,86,-11
74,USC,Pac-12,86,46,40,67,33,34
75,Utah,Pac-12,44,69,-25,49,60,-11
76,Utah St.,Mountain West,22,30,-8,39,35,4
77,Vanderbilt,SEC,147,85,62,106,84,22
78,Villanova,Big East,89,76,13,53,56,-3
79,Virginia,ACC,19,29,-10,13,38,-25
80,Virginia Tech,ACC,27,71,-44,29,76,-47
81,Wake Forest,ACC,83,86,-3,83,87,-4
82,Washington,Pac-12,116,113,3,100,100,0
83,Washington St.,Pac-12,92,77,15,77,59,18
84,West Virginia,Big 12,10,23,-13,21,19,2
85,Wisconsin,Big Ten,47,74,-27,35,68,-33
86,Wyoming,Mountain West,220,173,47,124,156,-32
87,Xavier,Big East,26,25,1,28,18,10
