"","date","opponent_rk","opponent","result","location","pace","off_eff","off_eff_rk","off_e_fg_pct","off_to_pct","off_or_pct","off_ftr","off_fgm_2","off_fga_2","off_fg_2_pct","off_fgm_3","off_fga_3","off_fg_3_pct","off_fg_3a_pct","def_eff","def_eff_rk","def_e_fg_pct","def_to_pct","def_or_pct","def_ftr","def_fgm_2","def_fga_2","def_fg_2_pct","def_fgm_3","def_fga_3","def_fg_3_pct","def_fg_3a_pct","wl","team_score","opponent_score","day_date","game_date","season","coach"
"1",2003-11-22,101,"Old Dominion","W, 90-64","H",77,117.4,4,62.5,19.6,34,36.7,36,53,67.9,1,7,14.3,11.7,83.5,2,44.9,28.7,37.4,4.3,16,39,41,10,30,33.3,43.5,"W",90,64,"Sat Nov 22",20031122,2004,"Roy Williams"
"2",2003-11-24,137,"Davidson","W, 91-68","h",79,115.8,3,57.6,17.8,27,62.7,22,37,59.5,8,22,36.4,37.3,86.6,7,52.9,33.1,29.4,34.6,11,23,47.8,11,29,37.9,55.8,"W",91,68,"Mon Nov 24",20031124,2004,"Roy Williams"
"3",2003-11-29,283,"Cleveland St.","W, 82-76","A",79,104,15,43.2,20.3,48,37.8,29,63,46,2,11,18.2,14.9,96.3,21,50.8,25.4,32.4,36.7,17,33,51.5,9,27,33.3,45,"W",82,76,"Sat Nov 29",20031129,2004,"Roy Williams"
"4",2003-12-02,13,"Illinois","W, 88-81","h",79,111.8,7,52.4,16.5,32.9,44.4,24,47,51.1,6,16,37.5,25.4,103,10,49.3,17.8,37.6,24,28,51,54.9,6,24,25,32,"W",88,81,"Tue Dec 2",20031202,2004,"Roy Williams"
"5",2003-12-07,96,"George Mason","W, 115-81","H",79,146.4,1,67.2,16.6,49.1,59.4,31,49,63.3,8,15,53.3,23.4,103.2,20,53.3,24.2,32.9,33.3,17,37,45.9,10,23,43.5,38.3,"W",115,81,"Sun Dec 7",20031207,2004,"Roy Williams"
"6",2003-12-14,159,"Akron","W, 64-53","H",71,90,25,33.3,19.7,47.6,40.6,17,48,35.4,4,21,19,30.4,74.5,1,39.1,23.9,31.3,7.8,22,49,44.9,2,15,13.3,23.4,"W",64,53,"Sun Dec 14",20031214,2004,"Roy Williams"
"7",2003-12-20,15,"Wake Forest","L, 119-114","H",74,112.3,9,53.9,14.8,35.5,34.4,35,67,52.2,9,23,39.1,25.6,117.3,23,57.2,15.8,38.1,34.4,35,60,58.3,11,30,36.7,33.3,"L",114,119,"Sat Dec 20",20031220,2004,"Roy Williams"
"8",2003-12-28,120,"UNC Wilmington","W, 71-54","N",72,99,9,47.5,27.9,46.1,39.3,14,36,38.9,10,25,40,41,75.3,3,42,34.9,33.3,36,12,31,38.7,6,19,31.6,38,"W",71,54,"Sun Dec 28",20031228,2004,"Roy Williams"
"9",2003-12-30,242,"Coastal Carolina","W, 105-72","H",83,126.6,2,63.6,15.7,30,47,30,53,56.6,8,13,61.5,19.7,86.8,5,51.6,32.5,32.9,21.3,18,38,47.4,9,23,39.1,37.7,"W",105,72,"Tue Dec 30",20031230,2004,"Roy Williams"
"10",2004-01-03,10,"Kentucky","L, 61-56","A",66,84.2,26,45.4,30.1,34.3,16.7,17,37,45.9,5,17,29.4,31.5,91.8,5,44.4,18.1,36.4,21,20,44,45.5,5,18,27.8,29,"L",56,61,"Sat Jan 3",20040103,2004,"Roy Williams"
