team,conf,net,prev_net,diff,prev_day_result,opponent,date
NC State,ACC,56,42,-14,"W, 76-64",Louisville,12.22.2022
Wake Forest,ACC,73,67,-6,"W, 71-70",Georgia Tech,02.11.2023
Syracuse,ACC,143,137,-6,"W, 70-69",Louisville,01.03.2023
NC State,ACC,41,36,-5,"W, 85-82",Notre Dame,01.24.2023
Clemson,ACC,59,54,-5,"W, 83-70",Louisville,01.11.2023
Wake Forest,ACC,84,80,-4,"W, 66-58",Notre Dame,02.25.2023
NC State,ACC,42,38,-4,"W, 72-64",Georgia Tech,02.04.2023
North Carolina,ACC,37,33,-4,"W, 72-64",Boston College,01.17.2023
Pittsburgh,ACC,53,50,-3,"W, 76-68",Georgia Tech,02.21.2023
Duke,ACC,29,26,-3,"W, 79-62",Louisville,02.20.2023
Virginia,ACC,16,13,-3,"W, 61-58",Louisville,02.15.2023
Clemson,ACC,59,56,-3,"W, 82-81",Florida State,01.28.2023
Duke,ACC,29,26,-3,"W, 68-66",Miami,01.21.2023
Virginia,ACC,21,18,-3,"W, 73-66",Syracuse,01.07.2023
Virginia Tech,ACC,70,68,-2,"W, 67-64",Notre Dame,03.07.2023
Miami,ACC,32,30,-2,"W, 93-85",Louisville,02.11.2023
Duke,ACC,25,23,-2,"W, 63-57",North Carolina,02.04.2023
Duke,ACC,24,23,-1,"W, 62-57",North Carolina,03.04.2023
Virginia,ACC,29,28,-1,"W, 64-57",Clemson,02.28.2023
Miami,ACC,31,30,-1,"W, 96-87",Wake Forest,02.18.2023
Duke,ACC,33,32,-1,"W, 68-64",Notre Dame,02.14.2023
Virginia Tech,ACC,56,55,-1,"W, 93-87",Notre Dame,02.11.2023
Florida St.,ACC,209,208,-1,"W, 81-78",Louisville,02.04.2023
Notre Dame,ACC,184,183,-1,"W, 76-62",Louisville,01.28.2023
