"","div","team","rpi","o_w","o_l","W","L","full_diff","h_w","h_l","home_diff","a_w","a_l","away_diff"
"1","Atlantic","Boston College",10,"23","9",8,7,-4,4,2,7,4,5,-11
"2","Atlantic","Clemson",33,"20","14",4,8,-4,1,5,-6,3,3,2
"3","Coastal","Duke",51,"21","11",7,7,-1,4,4,2,3,3,-3
"4","Atlantic","Florida St.",59,"13","19",4,11,-44,4,5,-3,0,6,-41
"5","Coastal","Georgia Tech",58,"20","13",7,8,-13,5,4,1,2,4,-14
"6","Atlantic","Louisville",24,"25","7",7,5,-1,5,1,6,2,4,-7
"7","Coastal","Miami (FL)",16,"20","12",8,7,5,8,1,38,0,6,-33
"8","Atlantic","NC State",8,"21","11",5,9,2,3,3,-1,2,6,3
"9","Coastal","North Carolina",31,"23","10",8,5,14,3,3,0,5,2,14
"10","Atlantic","Notre Dame",49,"17","13",7,8,-2,3,3,4,4,5,-6
"11","Coastal","Pittsburgh",142,"14","17",5,8,-24,3,4,-23,2,4,-1
"12","Coastal","Virginia",3,"30","4",11,4,42,6,0,36,5,4,6
"13","Coastal","Virginia Tech",45,"18","12",5,9,-6,3,3,6,2,6,-12
"14","Atlantic","Wake Forest",5,"29","4",12,2,36,7,1,32,5,1,4
