Rank,Players,Team,Conference,W - L,Points
1,FionaCrawley,UNC Chapel Hill ,Atlantic Coast Conference,36 - 1,72.475
2,MaryStoiana,Texas A&M University ,Southeastern Conference,33 - 4,59.906
3,LeaMa,University Of Georgia ,Southeastern Conference,28 - 4,52.522
4,ChloeBeck,Duke University ,Atlantic Coast Conference,29 - 4,46.581
5,AlexaNoel,University Of Miami ,Atlantic Coast Conference,30 - 7,44.983
6,DashaVidmanova,University Of Georgia ,Southeastern Conference,28 - 5,44.247
7,DariaFrayman,Princeton University ,Ivy League,28 - 6,42.379
8,MadisonSieg,University Of Southern California ,Pacific 12 Conference,24 - 2,39.924
9,AyanaAkli,University Of South Carolina ,Southeastern Conference,29 - 8,36.275
10,ReeseBrantmeier,UNC Chapel Hill ,Atlantic Coast Conference,18 - 2,35.495
11,JaniceTjen,Pepperdine University ,West Coast Conference,21 - 7,34.057
12,DianaShnaider,North Carolina State University ,Atlantic Coast Conference,3-Dec,31.67
13,CarolLee,Georgia Tech ,Atlantic Coast Conference,23 - 9,31.581
14,AnastasiyaKomar,Louisiana State University ,Southeastern Conference,32 - 6,29.962
15,AlanaSmith,North Carolina State University ,Atlantic Coast Conference,21 - 5,29.876
16,ConnieMa,Stanford University ,Pacific 12 Conference,30 - 5,27.885
17,FangranTian,UCLA ,Pacific 12 Conference,22 - 5,27.842
18,IrinaCantos,Ohio State University ,Big Ten Conference,19 - 9,25.436
19,CarolynAnsari,Auburn University ,Southeastern Conference,18 - 12,23.018
20,SavannahBroadus,Pepperdine University ,West Coast Conference,28 - 2,22.548
21,CarsonTanguilig,UNC Chapel Hill ,Atlantic Coast Conference,23 - 10,21.831
22,SarahHamner,University Of South Carolina ,Southeastern Conference,18 - 11,21.72
23,JaedanBrown,University Of Michigan ,Big Ten Conference,19 - 13,21.526
24,AlexandraYepifanova,Stanford University ,Pacific 12 Conference,29 - 5,20.913
25,SaraDahlstrom,University Of Florida ,Southeastern Conference,15 - 5,20.62
26,ElzaTomase,"University Of Tennessee, Knoxville ",Southeastern Conference,21 - 17,20.482
27,RebekaMertena,"University Of Tennessee, Knoxville ",Southeastern Conference,22 - 14,20.416
28,KylieBilchev,Georgia Tech ,Atlantic Coast Conference,22 - 7,19.908
29,AmeliaRajecki,North Carolina State University ,Atlantic Coast Conference,32 - 9,18.758
30,LisaZaar,Pepperdine University ,West Coast Conference,13 - 1,18.694
31,TatsianaSasnouskaya,Old Dominion University ,Sun Belt Conference,17 - 5,18.36
32,AbbeyForbes,UNC Chapel Hill ,Atlantic Coast Conference,21 - 7,18.228
33,KylieCollins,Louisiana State University ,Southeastern Conference,13 - 12,18.045
34,Celia-BelleMohr,Vanderbilt University ,Southeastern Conference,28 - 14,17.209
35,ArianaArseneault,Auburn University ,Southeastern Conference,19 - 14,17.195
36,SydniRatliff,Ohio State University ,Big Ten Conference,20 - 12,17.188
37,AnikaYarlagadda,UNC Chapel Hill ,Atlantic Coast Conference,26 - 6,16.87
38,MarieMattel,University Of Central Florida ,American Athletic Conference,15 - 13,16.773
39,KariMiller,University Of Michigan ,Big Ten Conference,15 - 11,16.289
40,EmmaJackson,Duke University ,Atlantic Coast Conference,21 - 10,15.872
41,CarolinaGomez,"University Of Arkansas, Fayetteville ",Southeastern Conference,19 - 6,15.6
42,FlorenciaUrrutia,University Of Kentucky ,Southeastern Conference,22 - 11,15.575
43,AngelicaBlake,Stanford University ,Pacific 12 Conference,26 - 6,15.362
44,ErynCayetano,University Of Southern California ,Pacific 12 Conference,22 - 10,15.271
45,CarlyBriggs,University Of Florida ,Southeastern Conference,19 - 11,15.102
46,DariaKuczer,"University Of Tennessee, Knoxville ",Southeastern Conference,22 - 6,14.068
47,JuliaFliegner,University Of Michigan ,Big Ten Conference,21 - 8,13.782
48,JessicaAlsola,"University Of California, Berkeley ",Pacific 12 Conference,26 - 3,13.398
49,OzlemUslu,Virginia Tech ,Atlantic Coast Conference,17 - 7,13.175
50,LudmilaKareisova,University Of Mississippi ,Southeastern Conference,16 - 10,12.448
51,NatashaSubhash,University Of Virginia ,Atlantic Coast Conference,20 - 7,12.154
52,LayneSleeth,University Of Oklahoma ,Big 12 Conference,13 - 7,11.741
53,CarsonBranstine,Texas A&M University ,Southeastern Conference,4-Jul,11.716
54,JuliaAdams,University Of Virginia ,Atlantic Coast Conference,17 - 21,11.628
55,PageFreeman,University Of Notre Dame ,Atlantic Coast Conference,20 - 12,11.601
56,CasieWooten,Wake Forest University ,Atlantic Coast Conference,18 - 18,11.167
57,MiaKupres,Texas A&M University ,Southeastern Conference,19 - 1,11
58,AvaMarkham,"University Of Wisconsin, Madison ",Big Ten Conference,22 - 8,10.902
59,AnnaArkadianou,Florida State University ,Atlantic Coast Conference,15 - 13,10.816
60,AmeliaHoner,"University Of California, Santa Barbara ",Big West Conference,19 - 3,10.798
61,MariaAguiar,Boston College ,Atlantic Coast Conference,16 - 9,10.318
62,GeorgiaDrummy,Duke University ,Atlantic Coast Conference,5-Nov,9.902
63,KaileyEvans,University Of San Diego ,West Coast Conference,17 - 8,9.864
64,AnnaBrylin,Wake Forest University ,Atlantic Coast Conference,22 - 7,9.811
65,LilyJones,University Of Michigan ,Big Ten Conference,25 - 6,9.679
66,MellReasco,University Of Georgia ,Southeastern Conference,20 - 6,9.36
67,ThasapornNaklo,Iowa State University ,Big 12 Conference,19 - 9,9.273
68,EmmanouelaAntonaki,Mississippi State University ,Southeastern Conference,18 - 14,9.061
69,MalkiaNgounoue,University Of Kansas ,Big 12 Conference,20 - 12,9.019
70,SofiyaChekhlystova,Penn State University ,Big Ten Conference,19 - 8,8.977
71,AnastasiiaLopata,University Of Georgia ,Southeastern Conference,16 - 9,8.845
72,VeronicaMiroshnichenko,Loyola Marymount University ,West Coast Conference,4-Oct,8.61
73,SalmaEwing,Texas A&M University ,Southeastern Conference,13 - 7,8.587
74,CameronMorra,Duke University ,Atlantic Coast Conference,19 - 14,8.552
75,MariaSholokhova,"University Of Wisconsin, Madison ",Big Ten Conference,17 - 11,8.524
76,AbigailRencheli,North Carolina State University ,Atlantic Coast Conference,21 - 11,8.516
77,AnnabelleXu,University Of Virginia ,Atlantic Coast Conference,13 - 2,8.32
78,AngeOby,Iowa State University ,Big 12 Conference,22 - 5,8.295
79,VicAllen,Florida State University ,Atlantic Coast Conference,20 - 9,8.27
80,HadleyDoyle,Southern Methodist University ,American Athletic Conference,23 - 6,8.144
81,AshleyYeah,University Of Illinois ,Big Ten Conference,16 - 10,8.111
82,AlexisBlokhina,Stanford University ,Pacific 12 Conference,19 - 9,8.041
83,IsabellaPfennig,University Of Miami ,Atlantic Coast Conference,20 - 14,8.004
84,IsabellaHarvison,Baylor University ,Big 12 Conference,17 - 9,7.725
85,KellyKeller,"University Of Arkansas, Fayetteville ",Southeastern Conference,13-Nov,7.719
86,AbigailDesiatnikov,University Of San Diego ,West Coast Conference,5-Oct,7.495
87,MahakJain,Georgia Tech ,Atlantic Coast Conference,25 - 8,7.425
88,JuliaAndreach,University Of Notre Dame ,Atlantic Coast Conference,16 - 14,7.289
89,BridgetStammel,Vanderbilt University ,Southeastern Conference,28 - 11,7.196
90,TaylorMelville,University Of Denver ,Summit League,29 - 4,7.168
91,ShellyBereznyak,Ohio State University ,Big Ten Conference,19 - 6,7.037
92,NicoleKhirin,"University Of Texas, Austin ",Big 12 Conference,5-Oct,6.981
93,DanaGuzman,University Of Oklahoma ,Big 12 Conference,24 - 8,6.866
94,MaeCanete,University Of Missouri ,Southeastern Conference,21 - 11,6.823
95,ElizabethScotty,UNC Chapel Hill ,Atlantic Coast Conference,20 - 3,6.809
96,SolymarColling,University Of San Diego ,West Coast Conference,16-Nov,6.632
97,CharlotteChavatipon,"University Of Texas, Austin ",Big 12 Conference,15 - 7,6.568
98,ReillyTran,UNC Chapel Hill ,Atlantic Coast Conference,21 - 6,6.535
99,MarleeZein,"University Of Texas, Austin ",Big 12 Conference,19 - 6,6.192
100,AliciaDudeney,University Of Florida ,Southeastern Conference,18 - 7,6.172
101,ChelseaFontenel,Arizona State University ,Pacific 12 Conference,15 - 5,5.968
102,ZeynepErman,Syracuse University ,Atlantic Coast Conference,12-Nov,5.936
103,AlinaShcherbinina,Baylor University ,Big 12 Conference,19 - 8,5.924
104,KitGulihur,University Of North Florida ,Atlantic Sun Conference,26 - 6,5.85
105,DaeveniaAchong,University Of Miami ,Atlantic Coast Conference,15-Dec,5.708
106,KimmiHance,UCLA ,Pacific 12 Conference,18 - 14,5.613
107,HikaruSato,University Of Washington ,Pacific 12 Conference,18 - 11,5.592
108,SabinaZeynalova,"University Of Texas, Austin ",Big 12 Conference,14 - 5,5.478
109,GalaMesochoritou,University Of Michigan ,Big Ten Conference,17 - 7,5.297
110,AlejandraCruz,Georgia Tech ,Atlantic Coast Conference,21 - 12,5.29
111,GiannaPielet,Texas A&M University ,Southeastern Conference,4-Nov,5.246
112,AlanaWolfberg,Oklahoma State University ,Big 12 Conference,20 - 15,5.2
113,DaniellaMedvedeva,Clemson University ,Atlantic Coast Conference,19 - 9,5.132
114,MercedesAristegui,Texas Christian University ,Big 12 Conference,13 - 4,5.12
115,JayciGoldsmith,Texas A&M University ,Southeastern Conference,27 - 7,4.974
116,CharlotteOwensby,Harvard University ,Ivy League,14 - 13,4.969
117,AnnaRoss,Vanderbilt University ,Southeastern Conference,8-Feb,4.817
118,ElizabethStevens,University Of Kentucky ,Southeastern Conference,12-Nov,4.81
119,LoudmillaBencheikh,University Of Alabama ,Southeastern Conference,17 - 13,4.72
120,HibahShaikh,University Of Virginia ,Atlantic Coast Conference,15 - 10,4.715
120,CarmenCorley,University Of Oklahoma ,Big 12 Conference,14 - 12,4.715
122,AndreaDi,University Of Louisville ,Atlantic Coast Conference,15-Nov,4.695
123,EllieSchoppe,Florida State University ,Atlantic Coast Conference,16 - 13,4.681
124,EleniLouka,Clemson University ,Atlantic Coast Conference,17-Oct,4.668
125,XinyuCai,"University Of Wisconsin, Madison ",Big Ten Conference,20 - 8,4.634
