season,date,result,unc,state,innings,location,type
2000,,L,,,,,
2000,,W,,,,,
2000,,W,,,,,
2001,,L,,,,,
2001,,W,,,,,
2001,,W,,,,,
2002,,W,,,,,
2002,,W,,,,,
2002,,W,,,,,
2003,,L,,,,,
2003,,L,,,,,
2003,,W,,,,,
2003,,L,,,,,
2004,,L,,,,,
2004,,L,,,,,
2004,,W,,,,,
2005,,L,,,,,
2005,,W,,,,,
2005,,L,,,,,
2006,,W,,,,,
2006,,W,,,,,
2006,,W,,,,,
2006,,L,,,,,
2007,,L,,,,,
2007,,W,,,,,
2007,,W,,,,,
2007,,W,,,,,
2008,,W,,,,,
2008,,L,,,,,
2009,,L,,,,,
2009,,W,,,,,
2009,,L,,,,,
2010,,W,,,,,
2010,,L,,,,,
2010,,W,,,,,
2011,,L,,,,,
2011,,L,,,,,
2011,,L,,,,,
2012,,L,,,,,
2012,,W,,,,,
2012,,W,,,,,
2012,,W,,,,,
2013,26-Apr,W,7,1,,Away,Regular
2013,27-Apr,L,3,7,,Away,Regular
2013,25-May,W,2,1,18,Neutral,ACC Tournament
2013,16-Jun,L,1,8,,Neutral,CWS
2013,20-Jun,W,7,0,,Neutral,CWS
2014,20-May,W,4,3,,Neutral,ACC Tournament
2015,10-Apr,W,2,1,,Home,Regular
2015,11-Apr,W,3,2,10,Home,Regular
2015,12-Apr,L,3,6,,Home,Regular
2016,19-May,L,4,6,,Away,Regular
2016,20-May,W,16,4,,Away,Regular
2016,21-May,L,1,10,,Away,Regular
2017,14-Apr,W,7,2,,Home,Regular
2017,15-Apr,W,7,1,,Home,Regular
2017,16-Apr,L,2,4,,Home,Regular
2017,26-May,W,12,4,,Neutral,ACC Tournament
2018,17-Apr,L,3,8,,Neutral,Durham
2018,27-Apr,W,6,5,,Away,Regular
2018,28-Apr,W,8,6,,Away,Regular
2018,29-Apr,W,5,4,,Away,Regular
2019,16-May,W,5,3,,Home,Regular
2019,17-May,L,2,11,,Home,Regular
2019,18-May,L,0,11,,Home,Regular
2021,26-Mar,L,2,9,,Home,Regular
2021,27-Mar,L,1,6,,Home,Regular
2021,29-Mar,L,3,8,,Home,Regular
2021,28-May,W,9,6,,Neutral,ACC Tournament
2022,6-May,W,8,7,,Away,Regular
2022,8-May,L,2,9,,Away,Regular
2022,8-May,W,7,5,,Away,Regular
2022,29-May,W,9,5,,Neutral,ACC Tournament
2023,May,W,9,8,,Home,
2023,May,W,9,3,,Home,
2023,,W,12,2,,Home,
