Season,Result,UNC,State,inning,Location,Type
2013,W,7,1,,Raleigh,Regular
2013,L,3,7,,Raleigh,Regular
2013,W,2,1,18,Durham,ACC Tournament (18 innings)
2013,L,1,8,,Omaha,College World Series
2013,W,7,0,,Omaha,College World Series
2014,W,4,3,,Durham,ACC Tournament
2015,W,2,1,,Chapel Hill,Regular
2015,W,3,2,10,Chapel Hill,Regular (10 innings)
2015,L,3,6,,Chapel Hill,Regular
2016,L,4,6,,Raleigh,Regular
2016,W,16,4,,Raleigh,Regular
2016,L,1,10,,Raleigh,Regular
2017,W,7,2,,Chapel Hill,Regular
2017,W,7,1,,Chapel Hill,Regular
2017,L,2,4,,Chapel Hill,Regular
2017,W,12,4,,Louisville,ACC Tournament
2018,L,3,8,,Durham,Non-conference
2018,W,6,5,,Raleigh,Regular
2018,W,8,6,,Raleigh,Regular
2018,W,5,4,,Raleigh,Regular
2019,W,5,3,,Chapel Hill,Regular
2019,L,2,11,,Chapel Hill,Regular
2019,L,0,11,,Chapel Hill,Regular
2021,L,2,9,,Chapel Hill,Regular
2021,L,1,6,,Chapel Hill,Regular
2021,L,3,8,,Chapel Hill,Regular
2021,W,9,6,,Charlotte,ACC Tournament
2022,W,8,7,,Raleigh,Regular
2022,L,2,9,,Raleigh,Regular
2022,W,7,5,,Raleigh,Regular
2022,W,9,5,,Charlotte,ACC Tournament
