,team,total_wins,total_loss,win_pct,title_apps,titles,division
1,Notre Dame,9,0,1,1,0,
2,Clemson,114,31,0.786206897,8,8,Atlantic
3,Virginia Tech,92,53,0.634482759,6,3,Coastal
4,Florida State,87,57,0.604166667,5,4,Atlantic
5,Pittsburgh,48,34,0.585365854,2,1,Coastal
6,Miami,81,64,0.55862069,1,0,Coastal
7,Georgia Tech,78,67,0.537931034,4,1,Coastal
8,Louisville,37,37,0.5,0,0,Atlantic
9,North Carolina,72,74,0.493150685,2,0,Coastal
10,Boston College,65,81,0.445205479,2,0,Atlantic
11,NC State,65,81,0.445205479,0,0,Atlantic
12,Wake Forest,61,82,0.426573427,2,1,Atlantic
13,Virginia,55,89,0.381944444,1,0,Coastal
14,Maryland,27,45,0.375,0,0,Atlantic
15,Syracuse,26,56,0.317073171,0,0,Atlantic
16,Duke,40,106,0.273972603,1,0,Coastal
