"","year","win","loss","team"
"1","2013","3","5","Maryland"
"2","2012","2","6","Maryland"
"3","2011","1","7","Maryland"
"4","2010","5","3","Maryland"
"5","2009","1","7","Maryland"
"6","2008","4","4","Maryland"
"7","2007","3","5","Maryland"
"8","2006","5","3","Maryland"
"9","2005","3","5","Maryland"
"10","2022","6","2","North Carolina"
"11","2021","3","5","North Carolina"
"12","2020","7","3","North Carolina"
"13","2019","4","4","North Carolina"
"14","2018","1","7","North Carolina"
"15","2017","1","7","North Carolina"
"16","2016","5","3","North Carolina"
"17","2015","8","0","North Carolina"
"18","2014","4","4","North Carolina"
"19","2013","4","4","North Carolina"
"20","2012","5","3","North Carolina"
"21","2011","3","5","North Carolina"
"22","2010","4","4","North Carolina"
"23","2009","4","4","North Carolina"
"24","2008","4","4","North Carolina"
"25","2007","3","5","North Carolina"
"26","2006","2","6","North Carolina"
"27","2005","4","4","North Carolina"
"28","2022","5","3","Duke"
"29","2021","0","8","Duke"
"30","2020","1","9","Duke"
"31","2019","3","5","Duke"
"32","2018","3","5","Duke"
"33","2017","3","5","Duke"
"34","2016","1","7","Duke"
"35","2015","4","4","Duke"
"36","2014","5","3","Duke"
"37","2013","6","2","Duke"
"38","2012","3","5","Duke"
"39","2011","1","7","Duke"
"40","2010","1","7","Duke"
"41","2009","3","5","Duke"
"42","2008","1","7","Duke"
"43","2007","0","8","Duke"
"44","2006","0","8","Duke"
"45","2005","0","8","Duke"
"46","2022","8","0","Clemson"
"47","2021","6","2","Clemson"
"48","2020","8","1","Clemson"
"49","2019","8","0","Clemson"
"50","2018","8","0","Clemson"
"51","2017","7","1","Clemson"
"52","2016","7","1","Clemson"
"53","2015","8","0","Clemson"
"54","2014","6","2","Clemson"
"55","2013","7","1","Clemson"
"56","2012","7","1","Clemson"
"57","2011","6","2","Clemson"
"58","2010","4","4","Clemson"
"59","2009","6","2","Clemson"
"60","2008","4","4","Clemson"
"61","2007","5","3","Clemson"
"62","2006","5","3","Clemson"
"63","2005","4","4","Clemson"
"64","2022","4","4","Georgia Tech"
"65","2021","2","6","Georgia Tech"
"66","2020","3","6","Georgia Tech"
"67","2019","2","6","Georgia Tech"
"68","2018","5","3","Georgia Tech"
"69","2017","4","4","Georgia Tech"
"70","2016","4","4","Georgia Tech"
"71","2015","1","7","Georgia Tech"
"72","2014","6","2","Georgia Tech"
"73","2013","5","3","Georgia Tech"
"74","2012","5","3","Georgia Tech"
"75","2011","5","3","Georgia Tech"
"76","2010","4","4","Georgia Tech"
"77","2009","7","1","Georgia Tech"
"78","2008","5","3","Georgia Tech"
"79","2007","4","4","Georgia Tech"
"80","2006","7","1","Georgia Tech"
"81","2005","5","3","Georgia Tech"
"82","2022","3","5","Miami"
"83","2021","5","3","Miami"
"84","2020","7","2","Miami"
"85","2019","4","4","Miami"
"86","2018","4","4","Miami"
"87","2017","7","1","Miami"
"88","2016","5","3","Miami"
"89","2015","5","3","Miami"
"90","2014","3","5","Miami"
"91","2013","5","3","Miami"
"92","2012","5","3","Miami"
"93","2011","3","5","Miami"
"94","2010","5","3","Miami"
"95","2009","5","3","Miami"
"96","2008","4","4","Miami"
"97","2007","2","6","Miami"
"98","2006","3","5","Miami"
"99","2005","6","2","Miami"
"100","2020","9","0","Notre Dame"
"101","2022","5","3","Florida State"
"102","2021","4","4","Florida State"
"103","2020","2","6","Florida State"
"104","2019","4","4","Florida State"
"105","2018","3","5","Florida State"
"106","2017","3","5","Florida State"
"107","2016","5","3","Florida State"
"108","2015","6","2","Florida State"
"109","2014","8","0","Florida State"
"110","2013","8","0","Florida State"
"111","2012","7","1","Florida State"
"112","2011","5","3","Florida State"
"113","2010","6","2","Florida State"
"114","2009","4","4","Florida State"
"115","2008","5","3","Florida State"
"116","2007","4","4","Florida State"
"117","2006","3","5","Florida State"
"118","2005","5","3","Florida State"
