year,decade,team,conf,record,SP+,rank,Off. SP+,rank,Def. SP+,rank,ST SP+,rank,pctile,off_pctile,def_pctile,10yr_avg,5yr_avg
1957,1950s,Air Force,Indies,3.5-6.5,-8.4,92,10.2,89,18.6,90,,,21.20%,21.10%,30.30%,,
1958,1950s,Air Force,Indies,1-Oct,8.2,26,20.5,26,12.2,39,,,76.70%,79.90%,68.80%,,
1959,1950s,Air Force,Indies,5.5-4.5,1.5,53,17.5,39,16,65,,,55.30%,63.00%,47.40%,,
1960,1960s,Air Force,Indies,6-Apr,-4,77,15.1,58,19.1,83,,,37.00%,48.80%,30.80%,,
1961,1960s,Air Force,Indies,7-Mar,-12.3,99,7.7,109,20,87,,,14.50%,10.90%,27.90%,,40.90%
1962,1960s,Air Force,Indies,5-May,-4.7,79,14,78,18.7,76,,,33.00%,34.40%,35.80%,,43.30%
1963,1960s,Air Force,Indies,4-Jul,2.4,53,16.8,46,14.4,54,,,59.70%,59.60%,57.40%,,39.90%
1964,1960s,Air Force,Indies,4.5-5.5,-4.9,82,11.8,94,16.7,76,,,29.90%,27.50%,37.60%,,34.80%
1965,1960s,Air Force,Indies,3.5-6.5,-2.4,69,15.6,67,17.9,76,,,40.00%,41.00%,42.00%,,35.40%
1966,1960s,Air Force,Indies,6-Apr,-2.3,68,15.2,75,17.5,58,,,41.40%,37.10%,48.20%,40.90%,40.80%
1967,1960s,Air Force,Indies,7-Mar,-10.2,102,7.6,118,17.8,58,,,15.70%,4.80%,53.00%,40.30%,37.30%
1968,1960s,Air Force,Indies,3-Jul,2.3,56,21.8,57,19.6,47,,,57.50%,47.90%,65.10%,38.40%,36.90%
1969,1960s,Air Force,Indies,4-Jun,6.7,41,25,40,18.2,40,,,69.00%,64.30%,68.80%,39.80%,44.70%
1970,1970s,Air Force,Indies,3-Sep,8.4,33,29.4,23,21,70,,,73.60%,86.20%,49.60%,43.40%,51.40%
1971,1970s,Air Force,Indies,4-Jun,1.7,49,20.4,59,18.7,52,,,55.20%,50.70%,59.10%,47.50%,54.20%
1972,1970s,Air Force,Indies,4-Jun,3.9,44,22.7,48,18.8,50,,,62.60%,62.10%,58.80%,50.50%,63.60%
1973,1970s,Air Force,Indies,4-Jun,-1.6,71,22.3,56,24,84,,,45.10%,55.90%,35.80%,49.00%,61.10%
1974,1970s,Air Force,Indies,9-Feb,-7.2,97,14.9,101,22.1,81,,,27.80%,25.40%,35.40%,48.80%,52.80%
1975,1970s,Air Force,Indies,2.5-8.5,-13.7,125,13.4,123,27.1,124,,,12.90%,16.90%,16.10%,46.10%,40.70%
1976,1970s,Air Force,Indies,7-Apr,-12.4,127,13.4,121,25.8,120,,,13.60%,18.20%,18.00%,43.30%,32.40%
1977,1970s,Air Force,Indies,2.5-8.5,-19.4,147,9.8,147,29.2,137,,,5.70%,6.80%,12.60%,42.30%,21.00%
1978,1970s,Air Force,Indies,8-Mar,-15.7,135,15.2,108,30.9,140,,,8.20%,22.30%,4.60%,37.40%,13.60%
1979,1970s,Air Force,Indies,9-Feb,-15.9,132,9.8,136,25.7,119,,,7.30%,6.90%,18.30%,31.20%,9.50%
1980,1980s,Air Force,WAC,2.5-9.5,-17.1,130,15.4,112,32.5,131,,,8.20%,21.00%,5.60%,24.70%,8.60%
1981,1980s,Air Force,WAC,7-Apr,-11.3,124,16.6,94,27.9,126,,,16.60%,31.30%,12.20%,20.80%,9.20%
1982,1980s,Air Force,WAC,5-Aug,1.8,51,32,13,30.3,101,,,55.60%,91.10%,11.60%,20.10%,19.20%
1983,1980s,Air Force,WAC,2-Oct,9.7,31,32,12,22.4,64,,,79.00%,91.20%,47.90%,23.50%,33.40%
1984,1980s,Air Force,WAC,4-Aug,9.1,26,29.1,26,20.1,40,,,79.90%,81.00%,68.20%,28.70%,47.90%
1985,1980s,Air Force,WAC,1-Dec,21.2,5,36.9,1,15.7,31,,,95.90%,99.00%,77.40%,37.00%,65.40%
1986,1980s,Air Force,WAC,5-Jun,-0.2,53,19.5,71,19.8,41,,,49.30%,33.80%,63.80%,40.60%,72.00%
1987,1980s,Air Force,WAC,4-Sep,2.3,43,29.3,20,27,71,,,56.60%,79.90%,31.90%,45.70%,72.20%
1988,1980s,Air Force,WAC,7-May,-2.6,63,34.5,16,37.1,99,,,42.90%,90.50%,6.40%,49.10%,64.90%
1989,1980s,Air Force,WAC,8.5-4.5,7.3,37,42.3,4,35,94,,,69.40%,98.20%,11.70%,55.30%,62.80%
1990,1990s,Air Force,WAC,5-Jul,-1.8,60,23.7,53,25.5,59,,,44.60%,47.20%,44.00%,59.00%,52.60%
1991,1990s,Air Force,WAC,3-Oct,2.2,46,27.9,28,25.7,70,,,56.00%,75.10%,35.20%,62.90%,53.90%
1992,1990s,Air Force,WAC,5-Jul,-1.5,58,20.3,63,21.8,50,,,45.10%,36.80%,55.10%,61.90%,51.60%
1993,1990s,Air Force,WAC,8-Apr,-8.3,76,21.9,60,30.1,77,,,27.70%,37.70%,25.10%,56.70%,48.60%
1994,1990s,Air Force,WAC,4-Aug,3,48,29,37,25.9,61,,,58.60%,71.60%,39.90%,54.60%,46.40%
