"","team_name","logo","team_win_total","opp_avg_win_total","1","2","3","4","5","6","7","8","9","10","11","12","13"
"1","Boston College","Boston College",5.5,"6.3","Northern Illinois","Holy Cross","Florida State","Louisville","Virginia","Army","ACC","Georgia Tech","Connecticut","Syracuse","Virginia Tech","Pittsburgh","Miami"
"2","Clemson","Clemson",9.5,"7.2","Duke","Charleston Southern","Florida Atlantic","Florida State","Syracuse","Wake Forest","ACC","Miami","NC State","Notre Dame","Georgia Tech","North Carolina","South Carolina"
"3","Duke","Duke",6.5,"7.0","Clemson","Lafayette","Northwestern","Connecticut","Notre Dame","ACC","NC State","Florida State","Louisville","Wake Forest","North Carolina","Virginia","Pittsburgh"
"4","Florida State","Florida State",10,"6.6","LSU","Southern Mississippi","Boston College","Clemson","ACC","Virginia Tech","Syracuse","Duke","Wake Forest","Pittsburgh","Miami","North Alabama","Florida"
"5","Georgia Tech","Georgia Tech",4.5,"7.2","Louisville","South Carolina State","Ole Miss","Wake Forest","Bowling Green","Miami","ACC","Boston College","North Carolina","Virginia","Clemson","Syracuse","Georgia"
"6","Louisville","Louisville",8,"5.9","Georgia Tech","Murray State","Indiana","Boston College","NC State","Notre Dame","Pittsburgh","ACC","Duke","Virginia Tech","Virginia","Miami","Kentucky"
"7","Miami","Miami",7.5,"6.8","Miami (OH)","Texas A&M","Bethune-Cookman","Temple","ACC","Georgia Tech","North Carolina","Clemson","Virginia","NC State","Florida State","Louisville","Boston College"
"8","NC State","NC State",6.5,"6.9","Connecticut","Notre Dame","VMI","Virginia","Louisville","Marshall","Duke","ACC","Clemson","Miami","Wake Forest","Virginia Tech","North Carolina"
"9","North Carolina","North Carolina",8.5,"6.4","South Carolina","Appalachian State","Minnesota","Pittsburgh","ACC","Syracuse","Miami","Virginia","Georgia Tech","Campbell","Duke","Clemson","NC State"
"10","Pittsburgh","Pittsburgh",6.5,"6.8","Wofford","Cincinnati","West Virginia","North Carolina","Virginia Tech","ACC","Louisville","Wake Forest","Notre Dame","Florida State","Syracuse","Boston College","Duke"
"11","Syracuse","Syracuse",6.5,"6.4","Colgate","Western Michigan","Purdue","Army","Clemson","North Carolina","Florida State","ACC","Virginia Tech","Boston College","Pittsburgh","Georgia Tech","Wake Forest"
"12","Virginia","Virginia",3.5,"6.9","Tennessee","James Madison","Maryland","NC State","Boston College","William & Mary","ACC","North Carolina","Miami","Georgia Tech","Louisville","Duke","Virginia Tech"
"13","Virginia Tech","Virginia Tech",5,"6.0","Old Dominion","Purdue","Rutgers","Marshall","Pittsburgh","Florida State","Wake Forest","ACC","Syracuse","Louisville","Boston College","NC State","Virginia"
"14","Wake Forest","Wake Forest",6,"6.5","Elon","Vanderbilt","Old Dominion","Georgia Tech","ACC","Clemson","Virginia Tech","Pittsburgh","Florida State","Duke","NC State","Notre Dame","Syracuse"
