"","school","conference","state","timezone","type"
"1","Air Force","Mountain West","CO","America/Denver","public"
"2","Akron","Mid-American","OH","America/New_York","public"
"3","Alabama","SEC","AL","America/Chicago","public"
"4","Appalachian State","Sun Belt","NC","America/New_York","public"
"5","Arizona","Pac-12","AZ","America/Denver","public"
"6","Arizona State","Pac-12","AZ","America/Denver","public"
"7","Arkansas","SEC","AR","America/Chicago","public"
"8","Arkansas State","Sun Belt","AR","America/Chicago","public"
"9","Auburn","SEC","AL","America/Chicago","public"
"10","Ball State","Mid-American","IN","America/New_York","public"
"11","Baylor","Big 12","TX","America/Chicago","private"
"12","Boise State","Mountain West","ID","America/Denver","public"
"13","Boston College","ACC","MA","America/New_York","private"
"14","Bowling Green","Mid-American","OH","America/New_York","public"
"15","Buffalo","Mid-American","NY","America/New_York","public"
"16","BYU","Big 12","UT","America/Denver","private"
"17","California","Pac-12","CA","America/Los_Angeles","public"
"18","Central Michigan","Mid-American","MI","America/New_York","public"
"19","Charlotte","American Athletic","NC","America/New_York","public"
"20","Cincinnati","Big 12","OH","America/New_York","public"
"21","Clemson","ACC","SC","America/New_York","public"
"22","Coastal Carolina","Sun Belt","SC","America/New_York","public"
"23","Colorado","Big 12","CO","America/Denver","public"
"24","Colorado State","Mountain West","CO","America/Denver","public"
"25","Duke","ACC","NC","America/New_York","private"
"26","East Carolina","American Athletic","NC","America/New_York","public"
"27","Eastern Michigan","Mid-American","MI","America/New_York","public"
"28","Florida","SEC","FL","America/New_York","public"
"29","Florida Atlantic","American Athletic","FL","America/New_York","public"
"30","Florida International","Conference USA","FL","America/New_York","public"
"31","Florida State","ACC","FL","America/New_York","public"
"32","Fresno State","Mountain West","CA","America/Los_Angeles","public"
"33","Georgia","SEC","GA","America/New_York","public"
"34","Georgia Southern","Sun Belt","GA","America/New_York","public"
"35","Georgia State","Sun Belt","GA","America/New_York","public"
"36","Georgia Tech","ACC","GA","America/New_York","public"
"37","Hawai'i","Mountain West","HI","Pacific/Honolulu","public"
"38","Houston","Big 12","TX","America/Chicago","public"
"39","Illinois","Big Ten","IL","America/Chicago","public"
"40","Indiana","Big Ten","IN","America/New_York","public"
"41","Iowa","Big Ten","IA","America/Chicago","public"
"42","Iowa State","Big 12","IA","America/Chicago","public"
"43","Jacksonville State","Conference USA","AL","America/Chicago","public"
"44","James Madison","Sun Belt","VA","America/New_York","public"
"45","Kansas","Big 12","KS","America/Chicago","public"
"46","Kansas State","Big 12","KS","America/Chicago","public"
"47","Kent State","Mid-American","OH","America/New_York","public"
"48","Kentucky","SEC","KY","America/New_York","public"
"49","Liberty","Conference USA","VA","America/New_York","private"
"50","Louisiana","Sun Belt","LA","America/Chicago","public"
"51","Louisiana Monroe","Sun Belt","LA","America/Chicago","public"
"52","Louisiana Tech","Conference USA","LA","America/Chicago","public"
"53","Louisville","ACC","KY","America/New_York","public"
"54","LSU","SEC","LA","America/Chicago","public"
"55","Marshall","Sun Belt","WV","America/New_York","public"
"56","Maryland","Big Ten","MD","America/New_York","public"
"57","Memphis","American Athletic","TN","America/Chicago","public"
"58","Miami","ACC","FL","America/New_York","private"
"59","Miami (OH)","Mid-American","OH","America/New_York","public"
"60","Michigan","Big Ten","MI","America/New_York","public"
"61","Michigan State","Big Ten","MI","America/New_York","public"
"62","Middle Tennessee","Conference USA","TN","America/Chicago","public"
"63","Minnesota","Big Ten","MN","America/Chicago","public"
"64","Mississippi State","SEC","MS","America/Chicago","public"
"65","Missouri","SEC","MO","America/Chicago","public"
"66","Navy","American Athletic","MD","America/New_York","public"
"67","NC State","ACC","NC","America/New_York","public"
"68","Nebraska","Big Ten","NE","America/Chicago","public"
"69","Nevada","Mountain West","NV","America/Los_Angeles","public"
"70","New Mexico","Mountain West","NM","America/Denver","public"
"71","New Mexico State","Conference USA","NM","America/Denver","public"
"72","North Carolina","ACC","NC","America/New_York","public"
"73","Northern Illinois","Mid-American","IL","America/Chicago","public"
"74","North Texas","American Athletic","TX","America/Chicago","public"
"75","Northwestern","Big Ten","IL","America/Chicago","private"
"76","Notre Dame","ACC","IN","America/New_York","private"
"77","Ohio","Mid-American","OH","America/New_York","public"
"78","Ohio State","Big Ten","OH","America/New_York","public"
"79","Oklahoma","SEC","OK","America/Chicago","public"
"80","Oklahoma State","Big 12","OK","America/Chicago","public"
"81","Old Dominion","Sun Belt","VA","America/New_York","public"
"82","Ole Miss","SEC","MS","America/Chicago","public"
"83","Oregon","Pac-12","OR","America/Los_Angeles","public"
"84","Oregon State","Pac-12","OR","America/Los_Angeles","public"
"85","Penn State","Big Ten","PA","America/New_York","public"
"86","Pittsburgh","ACC","PA","America/New_York","public"
"87","Purdue","Big Ten","IN","America/New_York","public"
"88","Rice","American Athletic","TX","America/Chicago","private"
"89","Rutgers","Big Ten","NJ","America/New_York","public"
"90","Sam Houston State","Conference USA","TX","America/Chicago","public"
"91","San Diego State","Mountain West","CA","America/Los_Angeles","public"
"92","San José State","Mountain West","CA","America/Los_Angeles","public"
"93","SMU","American Athletic","TX","America/Chicago","private"
"94","South Alabama","Sun Belt","AL","America/Chicago","public"
"95","South Carolina","SEC","SC","America/New_York","public"
"96","Southern Mississippi","Sun Belt","MS","America/Chicago","public"
"97","South Florida","American Athletic","FL","America/New_York","public"
"98","Stanford","Pac-12","CA","America/Los_Angeles","private"
"99","Syracuse","ACC","NY","America/New_York","private"
"100","TCU","Big 12","TX","America/Chicago","private"
"101","Temple","American Athletic","PA","America/New_York","public"
"102","Tennessee","SEC","TN","America/New_York","public"
"103","Texas","SEC","TX","America/Chicago","public"
"104","Texas A&M","SEC","TX","America/Chicago","public"
"105","Texas State","Sun Belt","TX","America/Chicago","public"
"106","Texas Tech","Big 12","TX","America/Chicago","public"
"107","Toledo","Mid-American","OH","America/New_York","public"
"108","Troy","Sun Belt","AL","America/Chicago","public"
"109","Tulane","American Athletic","LA","America/Chicago","private"
"110","Tulsa","American Athletic","OK","America/Chicago","private"
"111","UAB","American Athletic","AL","America/Chicago","public"
"112","UCF","Big 12","FL","America/New_York","public"
"113","UCLA","Big Ten","CA","America/Los_Angeles","public"
"114","UNLV","Mountain West","NV","America/Los_Angeles","public"
"115","USC","Big Ten","CA","America/Los_Angeles","private"
"116","Utah","Pac-12","UT","America/Denver","public"
"117","Utah State","Mountain West","UT","America/Denver","public"
"118","UTEP","Conference USA","TX","America/Denver","public"
"119","UT San Antonio","American Athletic","TX","America/Chicago","public"
