year,title,decade,count
1982,1,1980s,1
1983,1,1980s,2
1984,1,1980s,3
1985,0,1980s,
1986,1,1980s,4
1987,1,1980s,5
1988,1,1980s,6
1989,1,1980s,7
1990,1,1990s,8
1991,1,1990s,9
1992,1,1990s,10
1993,1,1990s,11
1994,1,1990s,12
1995,0,1990s,
1996,1,1990s,13
1997,1,1990s,14
1998,0,1990s,
1999,1,1990s,15
2000,1,2000s,16
2001,0,2000s,
2002,0,2000s,
2003,1,2000s,17
2004,0,2000s,
2005,0,2000s,
2006,1,2000s,18
2007,0,2000s,
2008,1,2000s,19
2009,1,2000s,20
2010,0,2010s,
2011,0,2010s,
2012,1,2010s,21
2013,0,2010s,
2014,0,2010s,
2015,0,2010s,
2016,0,2010s,
2017,0,2010s,
2018,0,2010s,
2019,0,2010s,
2020,0,2020s,
2021,0,2020s,
2022,0,2020s,
