Year,School,G,W,L,T,Pct
1988,North Carolina,11,1,10,0,0.091
1989,North Carolina,11,1,10,0,0.091
1990,North Carolina,11,6,4,1,0.591
1991,North Carolina,11,7,4,0,0.636
1992,North Carolina,12,9,3,0,0.75
1993,North Carolina,13,10,3,0,0.769
1994,North Carolina,12,8,4,0,0.667
1995,North Carolina,12,7,5,0,0.583
1996,North Carolina,12,10,2,0,0.833
1997,North Carolina,11,10,1,0,0.909
1998,Texas,12,9,3,0,0.75
1999,Texas,14,9,5,0,0.643
2000,Texas,12,9,3,0,0.75
2001,Texas,13,11,2,0,0.846
2002,Texas,13,11,2,0,0.846
2003,Texas,13,10,3,0,0.769
2004,Texas,12,11,1,0,0.917
2005,Texas,13,13,0,0,1
2006,Texas,13,10,3,0,0.769
2007,Texas,13,10,3,0,0.769
2008,Texas,13,12,1,0,0.923
2009,Texas,14,13,1,0,0.929
2010,Texas,12,5,7,0,0.417
2011,Texas,13,8,5,0,0.615
2012,Texas,13,9,4,0,0.692
2013,Texas,13,8,5,0,0.615
2019,North Carolina,13,7,6,0,0.538
2020,North Carolina,12,8,4,0,0.667
2021,North Carolina,13,6,7,0,0.462
2022,North Carolina,14,9,5,0,0.643
2023,North Carolina,,,,,
