,game_code,team_name,drive_num,start_period,plays,yards,start_yd,end_yd,result,time,rz_att
1,5.13E+14,Notre Dame,1,1,3,-11,25,14,PUNT,128,0
2,5.13E+14,North Carolina State,2,1,3,0,49,49,PUNT,84,0
3,5.13E+14,Notre Dame,3,1,3,0,10,11,PUNT,96,0
4,5.13E+14,North Carolina State,4,1,3,4,60,56,PUNT,43,0
5,5.13E+14,Notre Dame,5,1,12,50,14,64,FIELD GOAL,351,0
6,5.13E+14,North Carolina State,6,1,8,35,75,40,PUNT,213,0
7,5.13E+14,Notre Dame,7,2,1,80,20,100,TOUCHDOWN,13,0
8,5.13E+14,North Carolina State,8,2,6,14,75,61,PUNT,196,0
9,5.13E+14,Notre Dame,9,2,3,5,17,22,PUNT,91,0
10,5.13E+14,North Carolina State,10,2,1,0,60,60,INTERCEPTION,8,0
11,5.13E+14,Notre Dame,11,2,3,6,16,22,PUNT,100,0
12,5.13E+14,North Carolina State,12,2,3,0,67,67,PUNT,53,0
13,5.13E+14,Notre Dame,13,2,8,40,22,62,MISSED FIELD GOAL,285,0
14,5.13E+14,North Carolina State,14,2,7,62,62,0,TOUCHDOWN,63,1
15,5.13E+14,Notre Dame,15,2,3,78,22,100,TOUCHDOWN,30,1
16,5.13E+14,North Carolina State,17,3,9,27,75,48,PUNT,224,0
17,5.13E+14,Notre Dame,18,3,3,5,15,20,PUNT,154,0
18,5.13E+14,North Carolina State,19,3,5,33,64,31,FIELD GOAL,75,0
19,5.13E+14,Notre Dame,20,3,3,76,24,100,TOUCHDOWN,90,0
20,5.13E+14,North Carolina State,21,3,7,75,75,0,TOUCHDOWN,175,1
21,5.13E+14,Notre Dame,22,3,2,-8,25,17,FUMBLE,49,0
22,5.13E+14,North Carolina State,23,3,4,1,17,16,MISSED FIELD GOAL,69,1
23,5.13E+14,Notre Dame,24,3,3,6,20,26,PUNT,68,0
24,5.13E+14,North Carolina State,25,4,4,-7,77,84,INTERCEPTION,28,0
25,5.13E+14,Notre Dame,26,4,5,33,67,100,TOUCHDOWN,163,1
26,5.13E+14,North Carolina State,27,4,1,-15,74,89,INTERCEPTION,14,0
27,5.13E+14,Notre Dame,28,4,3,16,84,100,TOUCHDOWN,36,1
28,5.13E+14,North Carolina State,29,4,7,29,75,46,DOWNS,184,0
29,5.13E+14,Notre Dame,30,4,5,54,46,100,TOUCHDOWN,183,0
30,5.13E+14,North Carolina State,31,4,9,65,65,0,TOUCHDOWN,152,0
