,game_code,team_name,drive_num,start_period,plays,yards,start_yd,end_yd,result,time,rz_att
1,2.70E+13,North Carolina,1,1,11,61,75,14,DOWNS,239,1
2,2.70E+13,Appalachian State,2,1,9,57,14,71,MISSED FIELD GOAL,240,0
3,2.70E+13,North Carolina,3,1,5,18,71,53,PUNT,161,0
4,2.70E+13,Appalachian State,4,1,19,66,5,71,FIELD GOAL,490,0
5,2.70E+13,North Carolina,5,2,2,75,75,0,TOUCHDOWN,27,0
6,2.70E+13,Appalachian State,6,2,9,75,25,100,TOUCHDOWN,209,1
7,2.70E+13,North Carolina,7,2,9,46,75,29,FIELD GOAL,249,1
8,2.70E+13,Appalachian State,8,2,7,26,25,51,PUNT,167,0
9,2.70E+13,Appalachian State,10,3,6,75,25,100,TOUCHDOWN,137,0
10,2.70E+13,North Carolina,11,3,11,75,75,0,TOUCHDOWN,226,1
11,2.70E+13,Appalachian State,12,3,5,23,41,64,INTERCEPTION,143,0
12,2.70E+13,North Carolina,13,3,11,51,64,13,FIELD GOAL,301,1
13,2.70E+13,Appalachian State,14,3,12,75,25,100,TOUCHDOWN,341,1
14,2.70E+13,North Carolina,15,4,4,75,75,0,TOUCHDOWN,85,1
15,2.70E+13,Appalachian State,16,4,4,3,25,28,PUNT,116,0
16,2.70E+13,North Carolina,17,4,6,10,67,57,PUNT,193,0
17,2.70E+13,Appalachian State,18,4,12,69,15,84,FIELD GOAL,168,1
18,2.70E+13,North Carolina,19,4,10,53,75,22,MISSED FIELD GOAL,82,1
19,2.70E+13,Appalachian State,22,5,3,25,75,100,TOUCHDOWN,NA,1
20,2.70E+13,North Carolina,23,5,3,25,25,0,TOUCHDOWN,NA,1
21,2.70E+13,North Carolina,25,5,3,25,25,0,TOUCHDOWN,NA,1
22,2.70E+13,Appalachian State,26,5,4,5,75,80,DOWNS,NA,1
