"","def_pos_team","distance","yards_gained","conv"
"1","South Carolina",0,1,"Yes"
"2","South Carolina",4,6,"Yes"
"3","South Carolina",9,6,"No"
"4","South Carolina",4,13,"Yes"
"5","South Carolina",1,2,"Yes"
"6","South Carolina",12,18,"Yes"
"7","South Carolina",14,0,"No"
"8","South Carolina",3,28,"Yes"
"9","South Carolina",4,3,"No"
"10","South Carolina",4,5,"Yes"
"11","South Carolina",1,29,"Yes"
"12","South Carolina",10,3,"No"
"13","South Carolina",4,2,"No"
"14","Appalachian State",4,8,"Yes"
"15","Appalachian State",5,10,"Yes"
"16","Appalachian State",5,4,"No"
"17","Appalachian State",5,4,"No"
"18","Appalachian State",1,2,"Yes"
"19","Appalachian State",23,2,"No"
"20","Appalachian State",4,7,"Yes"
"21","Appalachian State",4,10,"Yes"
"22","Appalachian State",2,4,"Yes"
"23","Appalachian State",12,0,"No"
"24","Appalachian State",2,3,"Yes"
"25","Appalachian State",21,10,"No"
"26","Appalachian State",4,6,"Yes"
"27","Minnesota",4,3,"No"
"28","Minnesota",12,46,"Yes"
"29","Minnesota",8,14,"Yes"
"30","Minnesota",5,6,"Yes"
"31","Minnesota",8,-6,"No"
"32","Minnesota",5,55,"Yes"
"33","Minnesota",5,14,"Yes"
"34","Minnesota",11,12,"Yes"
"35","Minnesota",1,1,"Yes"
"36","Minnesota",11,0,"No"
"37","Minnesota",5,13,"Yes"
"38","Minnesota",10,0,"No"
"39","Minnesota",20,12,"No"
"40","Minnesota",4,12,"Yes"
"41","Minnesota",1,1,"Yes"
"42","Minnesota",2,4,"Yes"
"43","Minnesota",2,2,"Yes"
