"","year","week","opponent","unc_score","opp_score","down","distance","yards_to_goal","yards_gained","play_text","period","clock.minutes","clock.seconds"
"1",2022,1,"Florida A&M",0,0,3,9,87,8,"Drake Maye pass complete to J.J. Jones for 8 yds to the NCaro 21",1,12,25
"2",2022,1,"Florida A&M",0,0,3,6,74,12,"Drake Maye pass complete to Gavin Blackwell for 12 yds to the NCaro 38 for a 1ST down",1,7,16
"3",2022,1,"Florida A&M",0,0,3,9,61,42,"Drake Maye run for 42 yds to the FlaAM 19 for a 1ST down",1,6,30
"4",2022,1,"Florida A&M",14,7,3,4,4,0,"Drake Maye pass incomplete",2,7,46
"5",2022,1,"Florida A&M",21,14,3,18,65,0,"Drake Maye pass incomplete",2,0,53
"6",2022,1,"Florida A&M",28,14,3,2,2,2,"Josh Downs 2 Yd pass from Drake Maye (Noah Burnette Kick)",2,0,5
"7",2022,1,"Florida A&M",35,14,3,1,1,1,"Omarion Hampton 1 Yd Run (Noah Burnette Kick)",3,12,10
"8",2022,1,"Florida A&M",35,17,3,4,55,8,"Drake Maye pass complete to Gavin Blackwell for 8 yds to the FlaAM 47 for a 1ST down",3,5,17
"9",2022,1,"Florida A&M",35,17,3,5,42,2,"D.J. Jones run for 2 yds to the FlaAM 40",3,4,2
"10",2022,1,"Florida A&M",35,24,3,10,63,16,"Drake Maye pass complete to Bryson Nesbit for 16 yds to the FlaAM 47 for a 1ST down",4,14,45
"11",2022,1,"Florida A&M",56,24,3,4,25,25,"Omarion Hampton 25 Yd Run (Noah Burnette Kick)",4,8,14
"12",2022,1,"Florida A&M",56,24,3,9,34,4,"Elijah Green run for 4 yds to the FlaAM 30",4,4,30
"13",2022,1,"Appalachian State",0,7,3,1,25,2,"Omarion Hampton run for 2 yds to the AppSt 27",1,11,36
"14",2022,1,"Appalachian State",7,14,3,13,78,0,"Drake Maye pass incomplete to D.J. Jones",1,6,35
"15",2022,1,"Appalachian State",7,21,3,11,47,22,"Drake Maye pass complete to Caleb Hood for 22 yds to the AppSt 25 for a 1ST down",2,14,18
"16",2022,1,"Appalachian State",7,21,3,2,17,3,"Caleb Hood run for 3 yds to the AppSt 14 for a 1ST down",2,11,37
"17",2022,1,"Appalachian State",7,21,3,2,17,3,"Caleb Hood run for 3 yds to the AppSt 14 for a 1ST down",2,11,37
"18",2022,1,"Appalachian State",21,21,3,4,66,11,"Drake Maye pass complete to George Pettaway for 11 yds to the NCaro 45 for a 1ST down",2,1,44
"19",2022,1,"Appalachian State",21,21,3,13,31,21,"Drake Maye pass complete to Kobe Paysour for 21 yds to the AppSt 10 for a 1ST down",2,0,21
