score_sentence,team_name_home,team_name_away,total_drives,total_points,point_diff,total_plays,total_sp_td,total_turnovers,total_punts,minutes,predicted_minutes,diff
"UAB 56, South Florida 35",,,30,91,21,158,0,4,5,264,227.2754434430393,-36.72455655696069
"NC State 48, Marshall 41",,,37,89,7,156,0,6,12,239,246.30524725961706,7.305247259617062
"Western Kentucky 35, Louisiana Tech 28",,,30,63,7,141,0,3,13,235,224.346495058576,-10.65350494142399
"Nebraska 20, Illinois 7",,,26,27,13,139,0,5,9,229,204.60943785262623,-24.39056214737377
"USC 43, Arizona 41",,,26,84,2,135,0,2,8,225,221.44581803657329,-3.554181963426714
"Colorado 27, Arizona State 24",,,25,51,3,151,0,0,14,225,214.5626495651653,-10.437350434834713
"Georgia Tech 23, Miami 20",,,25,43,3,136,0,7,9,225,209.22050829045907,-15.779491709540935
"LSU 49, Missouri 39",,,25,88,10,134,0,2,5,225,217.06125921638272,-7.938740783617277
"Oklahoma 34, Texas 30",,,23,64,4,159,1,3,5,223,212.7264523490646,-10.273547650935399
"UCLA 25, Washington State 17",,,33,42,8,156,0,6,15,221,227.1945572042096,6.1945572042095876
"UTSA 49, Temple 34",,,25,83,15,162,0,2,5,219,218.05179053091322,-0.9482094690867768
"Jacksonville State 45, Middle Tennessee 30",,,37,75,15,160,0,5,17,217,241.69343207375866,24.693432073758657
"Boise State 35, San Jose State 27",,,26,62,8,130,0,4,7,217,213.15923768028972,-3.8407623197102794
"Buffalo 37, Central Michigan 13",,,24,50,24,141,0,4,8,213,202.54106754174262,-10.45893245825738
"Utah State 44, Colorado State 24",,,34,68,20,167,1,9,11,210,231.98518609748973,21.98518609748973
"Wisconsin 24, Rutgers 13",,,25,37,11,137,0,3,12,208,206.02069838410898,-1.9793016158910177
"Oklahoma State 29, Kansas State 21",,,26,50,8,148,0,3,7,206,212.8697687423422,6.869768742342188
"Ohio State 37, Maryland 17",,,25,54,20,138,0,2,8,206,206.60548217053918,0.605482170539176
"Connecticut 38, Rice 31",,,25,69,7,120,0,4,6,205,211.61031413546272,6.6103141354627155
"Georgia 51, Kentucky 13",,,22,64,38,123,0,1,9,202,195.0242174198986,-6.975782580101395
"Louisville 33, Notre Dame 20",,,29,53,13,130,0,6,8,202,215.35817793540338,13.358177935403376
"Liberty 21, Sam Houston State 16",,,24,37,5,126,0,2,11,200,204.43720571654902,4.437205716549016
"New Mexico State 34, Florida International 17",,,25,51,17,126,0,3,9,199,205.3251007007205,6.325100700720498
"Alabama 26, Texas A&M 20",,,26,46,6,119,0,3,8,198,208.74008881936365,10.740088819363649
"Old Dominion 17, Southern Mississippi 13",,,22,30,4,128,1,1,12,197,199.59936050938538,2.5993605093853773
"Boston College 27, Army 24",,,20,51,3,116,0,2,8,196,198.53883871215083,2.5388387121508345
"Iowa 20, Purdue 14",,,29,34,6,136,0,3,13,196,215.0683402384414,19.068340238441408
"Louisiana 34, Texas State 30",,,21,64,4,145,0,4,3,196,206.36488169334476,10.364881693344756
"Toledo 41, UMass 24",,,22,65,17,125,0,2,6,196,202.0874636974399,6.087463697439887
"Florida 38, Vanderbilt 14",,,22,52,24,125,0,2,8,196,196.93927150625083,0.939271506250833
"Troy 37, Arkansas State 3",,,23,40,34,130,0,1,10,195,193.79817944559042,-1.2018205544095792
"Wyoming 24, Fresno State 19",,,19,43,5,129,0,1,7,195,195.66186642576213,0.6618664257621276
"Northern Illinois 55, Akron 14",,,28,69,41,127,0,1,9,195,207.82747868687537,12.827478686875367
"Florida State 39, Virginia Tech 17",,,22,56,22,123,1,1,10,195,198.69268098709514,3.6926809870951445
"Mississippi State 41, Western Michigan 28",,,25,69,13,142,0,2,7,195,212.94381287620973,17.943812876209734
"Eastern Michigan 24, Ball State 10",,,22,34,14,126,0,2,9,194,196.331696860008,2.331696860008009
"Texas Tech 39, Baylor 14",,,26,53,25,136,0,3,6,192,206.010454196751,14.010454196750999
"Ole Miss 27, Arkansas 20",,,23,47,7,138,0,2,8,191,205.31257494626843,14.312574946268427
"Northwestern 23, Howard 20",,,20,43,3,130,0,0,7,191,198.5694137063813,7.569413706381312
"Michigan 52, Minnesota 10",,,22,62,42,111,0,2,10,191,191.61293026713184,0.6129302671318442
"Oregon State 52, California 40",,,23,92,12,136,0,3,3,191,213.19030223703814,22.19030223703814
"Florida Atlantic 20, Tulsa 17",,,24,37,3,142,0,3,8,191,206.7685583680207,15.768558368020706
"Clemson 17, Wake Forest 12",,,23,29,5,134,0,3,11,191,201.54512819904696,10.545128199046957
"Navy 27, North Texas 24",,,23,51,3,137,0,2,8,189,207.48150835870447,18.481508358704474
"Kansas 51, UCF 22",,,20,73,29,124,1,1,5,184,195.69005484674153,11.690054846741532
"Ohio 42, Kent State 17",,,23,59,25,123,0,1,10,184,200.40458744070457,16.404587440704574
"North Carolina 40, Syracuse 7",,,21,47,33,148,0,3,7,184,193.6319071776095,9.631907177609492
"Virginia 27, William & Mary 13",,,20,40,14,129,0,3,5,184,193.43299878244878,9.432998782448777
"South Alabama 55, Louisiana Monroe 7",,,21,62,48,141,0,2,5,183,190.92189623317768,7.9218962331776765
"Iowa State 27, TCU 14",,,25,41,13,138,0,4,10,182,206.03580261955847,24.035802619558467
"Miami (OH) 27, Bowling Green 0",,,16,27,27,107,0,2,6,176,175.0808551257044,-0.919144874295597
"Colorado State 41, Utah Tech 20",,,24,61,21,131,0,4,5,265,204.31496662601177,-60.68503337398823
"Ole Miss 55, LSU 49",,,25,104,6,163,0,1,5,231,226.32198338932756,-4.678016610672444
"James Madison 31, South Alabama 23",,,30,54,8,140,0,3,14,229,221.8842800364321,-7.115719963567898
"Texas State 50, Southern Mississippi 36",,,29,86,14,147,1,5,7,226,225.15825524821327,-0.8417447517867345
