"","team_name","pts_spurt","points","total_xpl","total_tds","total_fgs","total_empty","opp_pts_spurt","opp_points","opp_total_xpl","opp_total_tds","opp_total_fgs","opp_total_empty","delta"
"1","Florida State",14.3752256622917,159,27,26,1,0,3.52599874735456,39,12,6,1,5,10.8492269149371
"2","Washington",17.0875323910259,189,38,31,1,6,7.32322816758255,81,19,13,1,5,9.7643042234434
"3","USC",19.5286084468868,216,39,35,2,2,10.3067655691903,114,24,18,2,4,9.22184287769654
"4","Oklahoma",11.9341496064308,132,23,22,0,1,2.9835374016077,33,9,5,1,3,8.95061220482311
"5","Michigan",10.8492269149371,120,22,20,0,2,2.16984538298742,24,6,4,0,2,8.67938153194969
"6","Georgia",12.7478416250511,141,27,22,3,2,4.61092143884827,51,9,8,1,0,8.13692018620283
"7","Liberty",12.2053802793042,135,28,22,1,5,4.8821521117217,54,13,9,0,4,7.32322816758255
"8","Alabama",10.8492269149371,120,23,18,4,1,4.06846009310142,45,10,7,1,2,6.78076682183569
"9","Notre Dame",11.1204575878105,123,24,20,1,3,4.33969076597484,48,11,8,0,3,6.78076682183569
"10","Texas",10.3067655691903,114,22,18,2,2,4.06846009310142,45,9,7,1,1,6.23830547608884
"11","Duke",7.59445884045598,84,16,13,2,1,1.62738403724057,18,10,3,0,7,5.96707480321541
"12","Oregon",10.3067655691903,114,20,19,0,1,4.33969076597484,48,9,8,0,1,5.96707480321541
"13","North Carolina",11.9341496064308,132,24,21,2,1,6.23830547608884,69,14,11,1,2,5.69584413034198
"14","Missouri",12.2053802793042,135,25,21,3,1,6.50953614896227,72,16,11,2,3,5.69584413034198
"15","Ohio State",7.8656895133294,87,17,14,1,2,2.16984538298742,24,5,4,0,1,5.69584413034198
"16","Penn State",7.32322816758255,81,15,13,1,1,1.62738403724057,18,7,3,0,4,5.69584413034198
"17","Maryland",10.5779962420637,117,22,19,1,2,5.15338278459513,57,12,9,1,2,5.42461345746856
"18","Tulane",8.67938153194969,96,18,16,0,2,3.79722942022799,42,10,7,0,3,4.8821521117217
"19","Texas A&M",10.3067655691903,114,21,18,2,1,5.42461345746855,60,13,9,2,2,4.8821521117217
"20","Kansas",11.6629189335574,129,25,21,1,3,7.59445884045598,84,15,13,2,0,4.06846009310142
"21","Northern Illinois",8.95061220482311,99,19,16,1,2,4.8821521117217,54,13,9,0,4,4.06846009310142
"22","James Madison",9.7643042234434,108,20,16,4,0,5.96707480321541,66,13,11,0,2,3.79722942022799
"23","Miami",8.95061220482311,99,21,15,3,3,5.15338278459513,57,11,9,1,1,3.79722942022799
"24","Tennessee",7.59445884045598,84,16,13,2,1,3.79722942022799,42,8,6,2,0,3.79722942022799
"25","Toledo",10.8492269149371,120,22,20,0,2,7.05199749470912,78,18,12,2,4,3.79722942022799
"26","Troy",7.05199749470912,78,20,11,4,5,3.25476807448113,36,9,5,2,2,3.79722942022799
"27","Fresno State",10.3067655691903,114,19,19,0,0,6.50953614896227,72,14,12,0,2,3.79722942022799
"28","Oregon State",9.49307355056997,105,20,17,1,2,5.96707480321541,66,13,11,0,2,3.52599874735456
"29","UCLA",6.50953614896227,72,16,12,0,4,2.9835374016077,33,9,5,1,3,3.52599874735456
"30","Colorado",13.0190722979245,144,26,23,2,1,9.7643042234434,108,23,18,0,5,3.25476807448113
"31","Iowa",5.42461345746855,60,14,9,2,3,2.16984538298742,24,4,4,0,0,3.25476807448113
"32","LSU",14.3752256622917,159,32,25,3,4,11.1204575878105,123,21,20,1,0,3.25476807448113
"33","Miami (OH)",7.8656895133294,87,17,14,1,2,4.61092143884827,51,11,8,1,2,3.25476807448113
"34","Arizona",9.49307355056997,105,23,16,3,4,6.50953614896227,72,17,11,2,4,2.98353740160771
"35","Louisiana",8.67938153194969,96,20,15,2,3,5.69584413034198,63,13,10,1,2,2.98353740160771
"36","South Alabama",7.59445884045598,84,16,14,0,2,4.61092143884827,51,10,8,1,1,2.98353740160771
"37","Rutgers",4.8821521117217,54,12,9,0,3,2.16984538298742,24,6,4,0,2,2.71230672873428
"38","TCU",8.13692018620283,90,19,15,0,4,5.69584413034198,63,15,10,1,4,2.44107605586085
"39","New Mexico State",9.49307355056997,105,24,17,1,6,7.32322816758255,81,18,13,1,4,2.16984538298742
"40","Kansas State",7.8656895133294,87,15,14,1,0,5.69584413034198,63,14,8,5,1,2.16984538298742
"41","Georgia State",6.50953614896227,72,14,12,0,2,4.61092143884827,51,13,8,1,4,1.89861471011399
"42","Iowa State",6.50953614896227,72,13,11,2,0,4.61092143884827,51,12,8,1,3,1.89861471011399
"43","Louisville",9.49307355056997,105,23,17,1,5,7.59445884045598,84,17,14,0,3,1.89861471011399
"44","Air Force",5.69584413034198,63,12,10,1,1,3.79722942022799,42,8,7,0,1,1.89861471011399
"45","Utah State",10.3067655691903,114,23,19,0,4,8.40815085907626,93,16,15,1,0,1.89861471011399
"46","Nebraska",6.23830547608884,69,16,11,1,4,4.61092143884827,51,10,8,1,1,1.62738403724057
"47","UCF",7.59445884045598,84,20,13,2,5,5.96707480321541,66,13,11,0,2,1.62738403724057
"48","UTSA",7.59445884045598,84,16,14,0,2,5.96707480321541,66,14,9,4,1,1.62738403724057
"49","Texas State",8.13692018620283,90,20,14,2,4,6.50953614896227,72,18,12,0,6,1.62738403724057
"50","Louisiana Tech",9.49307355056997,105,20,17,1,2,8.13692018620283,90,16,15,0,1,1.35615336436714
"51","California",9.22184287769654,102,21,17,0,4,7.8656895133294,87,19,13,3,3,1.35615336436714
"52","Georgia Tech",8.13692018620283,90,18,15,0,3,6.78076682183569,75,17,12,1,4,1.35615336436714
"53","SMU",5.15338278459513,57,13,9,1,3,3.79722942022799,42,9,7,0,2,1.35615336436714
"54","Wisconsin",5.69584413034198,63,13,10,1,2,4.33969076597484,48,11,8,0,3,1.35615336436714
"55","Clemson",5.15338278459513,57,16,9,1,6,4.06846009310142,45,10,7,1,2,1.08492269149371
"56","Kentucky",9.49307355056997,105,23,17,1,5,8.40815085907626,93,17,14,3,0,1.08492269149371
"57","Old Dominion",7.05199749470912,78,17,13,0,4,5.96707480321541,66,11,11,0,0,1.08492269149371
"58","San Jose State",9.49307355056997,105,20,17,1,2,8.40815085907626,93,17,15,1,1,1.08492269149371
"59","UNLV",9.49307355056997,105,18,17,1,0,8.67938153194969,96,23,15,2,6,0.813692018620284
"60","Ohio",4.33969076597484,48,11,8,0,3,4.06846009310142,45,9,7,1,1,0.271230672873428
"61","Rice",6.23830547608884,69,13,11,1,1,5.96707480321541,66,17,11,0,6,0.271230672873427
"62","Syracuse",8.13692018620283,90,18,15,0,3,7.8656895133294,87,18,14,1,3,0.271230672873427
"63","Coastal Carolina",6.23830547608884,69,14,11,1,2,6.23830547608884,69,14,11,1,2,0
"64","Wyoming",6.23830547608884,69,13,11,1,1,6.23830547608884,69,13,11,1,1,0
"65","Florida",7.8656895133294,87,19,12,5,2,8.13692018620283,90,19,15,0,4,-0.271230672873427
"66","Ole Miss",7.59445884045598,84,16,13,2,1,7.8656895133294,87,16,14,1,1,-0.271230672873427
"67","Washington State",5.96707480321541,66,15,11,0,4,6.78076682183569,75,16,12,1,3,-0.813692018620283
"68","Utah",2.71230672873428,30,7,4,2,1,3.52599874735456,39,10,6,1,3,-0.813692018620283
"69","Marshall",7.59445884045598,84,16,14,0,2,8.40815085907626,93,17,14,3,0,-0.813692018620284
"70","Virginia Tech",7.59445884045598,84,18,13,2,3,8.40815085907626,93,17,15,1,1,-0.813692018620284
"71","BYU",4.8821521117217,54,10,9,0,1,5.96707480321541,66,13,11,0,2,-1.08492269149371
"72","Texas Tech",6.50953614896227,72,16,12,0,4,7.59445884045598,84,16,13,2,1,-1.08492269149371
"73","Illinois",7.32322816758255,81,19,13,1,5,8.40815085907626,93,20,14,3,3,-1.08492269149371
"74","Florida International",8.40815085907626,93,19,15,1,3,9.7643042234434,108,22,18,0,4,-1.35615336436714
"75","Mississippi State",6.78076682183569,75,15,12,1,2,8.13692018620283,90,18,14,2,2,-1.35615336436714
"76","Navy",5.42461345746855,60,11,10,0,1,6.78076682183569,75,16,12,1,3,-1.35615336436714
"77","Louisiana Monroe",4.06846009310142,45,12,7,1,4,5.42461345746855,60,13,10,0,3,-1.35615336436714
"78","Houston",6.50953614896227,72,15,12,0,3,8.13692018620283,90,18,15,0,3,-1.62738403724057
"79","Florida Atlantic",5.15338278459513,57,11,9,1,1,6.78076682183569,75,19,12,1,6,-1.62738403724057
"80","Jacksonville State",5.96707480321541,66,13,11,0,2,7.59445884045598,84,18,14,0,4,-1.62738403724057
"81","Appalachian State",6.78076682183569,75,16,12,1,3,8.40815085907626,93,19,15,1,3,-1.62738403724057
"82","Michigan State",3.79722942022799,42,13,7,0,6,5.69584413034198,63,14,10,1,3,-1.89861471011399
"83","Western Kentucky",6.23830547608884,69,14,11,1,2,8.13692018620283,90,21,15,0,6,-1.89861471011399
"84","Minnesota",5.69584413034198,63,13,10,1,2,7.59445884045598,84,15,13,2,0,-1.89861471011399
"85","North Texas",8.95061220482311,99,18,16,1,1,10.8492269149371,120,21,20,0,1,-1.89861471011399
"86","Vanderbilt",10.0355348963168,111,22,18,1,3,11.9341496064308,132,27,21,2,4,-1.89861471011399
"87","Arkansas",5.96707480321541,66,11,11,0,0,8.13692018620283,90,17,13,4,0,-2.16984538298742
"88","Auburn",4.06846009310142,45,10,7,1,2,6.23830547608884,69,12,11,1,0,-2.16984538298742
"89","NC State",5.15338278459513,57,12,9,1,2,7.32322816758255,81,17,12,3,2,-2.16984538298742
"90","South Carolina",5.42461345746855,60,10,10,0,0,7.59445884045598,84,18,13,2,3,-2.16984538298742
"91","UAB",8.40815085907626,93,19,15,1,3,10.5779962420637,117,25,19,1,5,-2.16984538298742
"92","West Virginia",3.79722942022799,42,11,7,0,4,5.96707480321541,66,13,11,0,2,-2.16984538298742
"93","Virginia",6.23830547608884,69,14,10,3,1,8.40815085907626,93,16,15,1,0,-2.16984538298742
"94","Arkansas State",5.42461345746855,60,11,10,0,1,7.8656895133294,87,17,14,1,2,-2.44107605586085
"95","Eastern Michigan",3.79722942022799,42,10,6,2,2,6.23830547608884,69,17,11,1,5,-2.44107605586085
"96","Georgia Southern",4.8821521117217,54,10,9,0,1,7.32322816758255,81,17,13,1,3,-2.44107605586085
"97","Memphis",5.42461345746855,60,13,10,0,3,8.13692018620283,90,18,14,2,2,-2.71230672873428
"98","Pittsburgh",3.79722942022799,42,9,7,0,2,6.50953614896227,72,16,11,2,3,-2.71230672873428
"99","UTEP",5.15338278459513,57,13,9,1,3,7.8656895133294,87,19,14,1,4,-2.71230672873428
"100","Boise State",8.13692018620283,90,20,14,2,4,11.1204575878105,123,25,19,3,3,-2.98353740160771
"101","Cincinnati",4.06846009310142,45,10,7,1,2,7.05199749470912,78,14,12,2,0,-2.98353740160771
"102","Boston College",5.96707480321541,66,11,11,0,0,9.22184287769654,102,17,17,0,0,-3.25476807448113
