team_name,W,L,pd,1,2,3,4,5,6,7,8,9,10,11,12,13
Boston College,3,3,-31,Northern Illinois,Holy Cross,Florida State,Louisville,Virginia,Army,ACC,Georgia Tech,Connecticut,Syracuse,Virginia Tech,Pittsburgh,Miami
Clemson,3,4,0,Duke,Charleston Southern,Florida Atlantic,Florida State,Syracuse,Wake Forest,ACC,Miami,NC State,Notre Dame,Georgia Tech,North Carolina,South Carolina
Duke,3,3,2,Clemson,Lafayette,Northwestern,Connecticut,Notre Dame,ACC,NC State,Florida State,Louisville,Wake Forest,North Carolina,Virginia,Pittsburgh
Florida State,8,0,136,LSU,Southern Mississippi,Boston College,Clemson,ACC,Virginia Tech,Syracuse,Duke,Wake Forest,Pittsburgh,Miami,North Alabama,Florida
Georgia Tech,4,3,8,Louisville,South Carolina State,Ole Miss,Wake Forest,Bowling Green,Miami,ACC,Boston College,North Carolina,Virginia,Clemson,Syracuse,Georgia
Louisville,6,1,80,Georgia Tech,Murray State,Indiana,Boston College,NC State,Notre Dame,Pittsburgh,ACC,Duke,Virginia Tech,Virginia,Miami,Kentucky
Miami,2,4,-23,Miami (OH),Texas A&M,Bethune-Cookman,Temple,ACC,Georgia Tech,North Carolina,Clemson,Virginia,NC State,Florida State,Louisville,Boston College
NC State,4,2,20,Connecticut,Notre Dame,VMI,Virginia,Louisville,Marshall,Duke,ACC,Clemson,Miami,Wake Forest,Virginia Tech,North Carolina
North Carolina,4,2,54,South Carolina,Appalachian State,Minnesota,Pittsburgh,ACC,Syracuse,Miami,Virginia,Georgia Tech,Campbell,Duke,Clemson,NC State
Pittsburgh,1,5,-53,Wofford,Cincinnati,West Virginia,North Carolina,Virginia Tech,ACC,Louisville,Wake Forest,Notre Dame,Florida State,Syracuse,Boston College,Duke
Syracuse,1,5,-108,Colgate,Western Michigan,Purdue,Army,Clemson,North Carolina,Florida State,ACC,Virginia Tech,Boston College,Pittsburgh,Georgia Tech,Wake Forest
Virginia,1,5,-40,Tennessee,James Madison,Maryland,NC State,Boston College,William & Mary,ACC,North Carolina,Miami,Georgia Tech,Louisville,Duke,Virginia Tech
Virginia Tech,4,2,35,Old Dominion,Purdue,Rutgers,Marshall,Pittsburgh,Florida State,Wake Forest,ACC,Syracuse,Louisville,Boston College,NC State,Virginia
Wake Forest,1,6,-80,Elon,Vanderbilt,Old Dominion,Georgia Tech,ACC,Clemson,Virginia Tech,Pittsburgh,Florida State,Duke,NC State,Notre Dame,Syracuse
