Year,Result,UNC,State,UNC_Coach,State_Coach,OT
2022,L,27,30,Mack Brown 2.0,Dave Doeren,2OT
2021,L,30,34,Mack Brown 2.0,Dave Doeren,
2020,W,48,21,Mack Brown 2.0,Dave Doeren,
2019,W,41,10,Mack Brown 2.0,Dave Doeren,
2018,L,28,34,Larry Fedora,Dave Doeren,OT
2017,L,21,33,Larry Fedora,Dave Doeren,
2016,L,21,28,Larry Fedora,Dave Doeren,
2015,W,45,34,Larry Fedora,Dave Doeren,
2014,L,7,35,Larry Fedora,Dave Doeren,
2013,W,27,19,Larry Fedora,Dave Doeren,
2012,W,43,35,Larry Fedora,Tom O'Brien,
2011,L,0,13,Everett Withers,Tom O'Brien,
2010,L,25,29,Butch Davis,Tom O'Brien,
2009,L,27,28,Butch Davis,Tom O'Brien,
2008,L,10,41,Butch Davis,Tom O'Brien,
2007,L,27,31,Butch Davis,Tom O'Brien,
2006,W,23,9,John Bunting,Chuck Amato,
2005,W,31,24,John Bunting,Chuck Amato,
2004,W,30,24,John Bunting,Chuck Amato,
2003,L,34,47,John Bunting,Chuck Amato,
2002,L,17,34,John Bunting,Chuck Amato,
2001,W,17,9,John Bunting,Chuck Amato,
2000,L,20,38,Carl Torbush,Chuck Amato,
1999,W,10,6,Carl Torbush,Mike O'Cain,
1998,W,37,34,Carl Torbush,Mike O'Cain,OT
1997,W,20,7,Mack Brown 1.0,Mike O'Cain,
1996,W,52,20,Mack Brown 1.0,Mike O'Cain,
1995,W,30,28,Mack Brown 1.0,Mike O'Cain,
1994,W,31,17,Mack Brown 1.0,Mike O'Cain,
1993,W,35,14,Mack Brown 1.0,Mike O'Cain,
1992,L,20,27,Mack Brown 1.0,Dick Sheridan,
1991,L,7,24,Mack Brown 1.0,Dick Sheridan,
1990,L,9,12,Mack Brown 1.0,Dick Sheridan,
1989,L,6,40,Mack Brown 1.0,Dick Sheridan,
1988,L,3,48,Mack Brown 1.0,Dick Sheridan,
