"","conf","teams","games","avg_net","q1s_per","q1s","q2s","q3s","q4s"
"1","B12",14,252,53.8571428571429,10.9285714285714,0.607142857142857,0.178571428571429,0.178571428571429,0.0357142857142857
"2","SEC",14,252,75.2142857142857,9.64285714285714,0.535714285714286,0.214285714285714,0.142857142857143,0.107142857142857
"3","BE",11,220,84.1818181818182,10,0.5,0.272727272727273,0.0909090909090909,0.136363636363636
"4","B10",14,280,74.3571428571429,8.57142857142857,0.428571428571429,0.321428571428571,0.214285714285714,0.0357142857142857
"5","MWC",11,198,108.454545454545,6.54545454545455,0.363636363636364,0.136363636363636,0.363636363636364,0.136363636363636
"6","ACC",15,300,88.4666666666667,6.66666666666667,0.333333333333333,0.333333333333333,0.233333333333333,0.1
"7","P12",12,240,95.9166666666667,6.66666666666667,0.333333333333333,0.291666666666667,0.208333333333333,0.166666666666667
"8","MVC",12,240,128.083333333333,4.16666666666667,0.208333333333333,0.25,0.333333333333333,0.208333333333333
"9","A10",15,270,121.133333333333,2.4,0.133333333333333,0.333333333333333,0.4,0.133333333333333
"10","Ivy",8,112,157.75,1.75,0.125,0.125,0.375,0.375
"11","CUSA",9,144,203.111111111111,1.77777777777778,0.111111111111111,0.111111111111111,0.166666666666667,0.611111111111111
"12","WCC",9,144,166.222222222222,1.77777777777778,0.111111111111111,0.166666666666667,0.388888888888889,0.333333333333333
"13","Amer",14,252,156.428571428571,1.92857142857143,0.107142857142857,0.214285714285714,0.321428571428571,0.357142857142857
"14","SB",14,252,219.142857142857,1.92857142857143,0.107142857142857,0.0357142857142857,0.214285714285714,0.642857142857143
"15","Slnd",10,180,269.6,0.9,0.05,0.05,0.1,0.8
"16","BW",11,220,207.363636363636,0.909090909090909,0.0454545454545455,0.136363636363636,0.272727272727273,0.545454545454545
"17","WAC",11,220,166.181818181818,0.909090909090909,0.0454545454545455,0.136363636363636,0.545454545454545,0.272727272727273
"18","AE",9,144,203.888888888889,0,0,0.0555555555555556,0.5,0.444444444444444
"19","ASun",12,192,259.666666666667,0,0,0,0.166666666666667,0.833333333333333
"20","BSky",10,180,221.2,0,0,0.05,0.3,0.65
"21","BSth",9,144,211.666666666667,0,0,0.111111111111111,0.333333333333333,0.555555555555556
"22","CAA",14,252,213.571428571429,0,0,0.178571428571429,0.321428571428571,0.5
"23","Horz",11,220,217.454545454545,0,0,0.181818181818182,0.272727272727273,0.545454545454545
"24","MAAC",11,220,246.727272727273,0,0,0.0454545454545455,0.272727272727273,0.681818181818182
"25","MAC",12,216,212.583333333333,0,0,0.166666666666667,0.291666666666667,0.541666666666667
"26","MEAC",8,110,291.545454545455,0,0,0,0.118181818181818,0.881818181818182
"27","NEC",9,144,305.222222222222,0,0,0,0.0555555555555556,0.944444444444444
"28","OVC",11,198,271.363636363636,0,0,0.0454545454545455,0.136363636363636,0.818181818181818
"29","Pat",10,180,287.2,0,0,0.05,0.1,0.85
"30","SC",10,180,193.6,0,0,0.1,0.45,0.45
"31","SWAC",12,216,285.166666666667,0,0,0,0.125,0.875
"32","Sum",9,144,213.555555555556,0,0,0,0.5,0.5
