G,Segment,Season,Date,Time,Day,School,,Opponent,Conf,,Pts,Opp,W,L,Streak,Notes,Diff
1,1 to 4,2019,31-Aug-19,,Sat,North Carolina,N,South Carolina,SEC,W,24,20,1,0,W 1,"Bank of America Stadium - Charlotte, North Carolina",4
2,1 to 4,2019,7-Sep-19,,Sat,North Carolina,,Miami (FL),ACC,W,28,25,2,0,W 2,"Kenan Memorial Stadium - Chapel Hill, North Carolina",3
3,1 to 4,2019,13-Sep-19,,Fri,North Carolina,@,Wake Forest,ACC,L,18,24,2,1,L 1,"BB&T Field - Winston-Salem, North Carolina",-6
4,1 to 4,2019,21-Sep-19,,Sat,North Carolina,,Appalachian State,Sun Belt,L,31,34,2,2,L 2,"Kenan Memorial Stadium - Chapel Hill, North Carolina",-3
5,5 to 8,2019,28-Sep-19,,Sat,North Carolina,,(1) Clemson,ACC,L,20,21,2,3,L 3,"Kenan Memorial Stadium - Chapel Hill, North Carolina",-1
6,5 to 8,2019,5-Oct-19,,Sat,North Carolina,@,Georgia Tech,ACC,W,38,22,3,3,W 1,"Bobby Dodd Stadium - Atlanta, Georgia",16
7,5 to 8,2019,19-Oct-19,,Sat,North Carolina,@,Virginia Tech,ACC,L,41,43,3,4,L 1,"Lane Stadium - Blacksburg, Virginia",-2
8,5 to 8,2019,26-Oct-19,,Sat,North Carolina,,Duke,ACC,W,20,17,4,4,W 1,"Kenan Memorial Stadium - Chapel Hill, North Carolina",3
9,9+,2019,2-Nov-19,,Sat,North Carolina,,Virginia,ACC,L,31,38,4,5,L 1,"Kenan Memorial Stadium - Chapel Hill, North Carolina",-7
10,9+,2019,14-Nov-19,,Thu,North Carolina,@,Pitt,ACC,L,27,34,4,6,L 2,"Heinz Field - Pittsburgh, Pennsylvania",-7
11,9+,2019,30-Nov-19,,Sat,North Carolina,@,North Carolina State,ACC,W,41,10,6,6,W 2,"Carter-Finley Stadium - Raleigh, North Carolina",31
12,9+,2019,27-Dec-19,12:00 PM,Fri,North Carolina,N,Temple,American,W,55,13,7,6,W 3,"Military Bowl (Navy-Marine Corps Memorial Stadium - Annapolis, Maryland)",42
13,1 to 4,2020,12-Sep-20,3:30 PM,Sat,(18) North Carolina,,Syracuse,ACC,W,31,6,1,0,W 1,,25
14,1 to 4,2020,3-Oct-20,12:00 PM,Sat,(12) North Carolina,@,Boston College,ACC,W,26,22,2,0,W 2,,4
15,1 to 4,2020,10-Oct-20,7:30 PM,Sat,(8) North Carolina,,(19) Virginia Tech,ACC,W,56,45,3,0,W 3,,11
16,1 to 4,2020,17-Oct-20,12:00 PM,Sat,(5) North Carolina,@,Florida State,ACC,L,28,31,3,1,L 1,,-3
17,5 to 8,2020,24-Oct-20,8:00 PM,Sat,(14) North Carolina,,(23) North Carolina State,ACC,W,48,21,4,1,W 1,,27
18,5 to 8,2020,31-Oct-20,12:00 PM,Sat,(15) North Carolina,@,Virginia,ACC,L,41,44,4,2,L 1,,-3
