"","date","type","game_id","year","location","team","opponent"
"1",2023-11-06,"nc","Arkansas Pine BluffMissouri11-6",2024,"home","Missouri","Arkansas Pine Bluff"
"2",2023-11-06,"nc","Portland St.Air Force11-6",2024,"home","Air Force","Portland St."
"3",2023-11-06,"nc","The CitadelNorth Carolina St.11-6",2024,"home","North Carolina St.","The Citadel"
"4",2023-11-06,"nc","Central MichiganOklahoma11-6",2024,"home","Oklahoma","Central Michigan"
"5",2023-11-06,"nc","BrownColgate11-6",2024,"home","Colgate","Brown"
"6",2023-11-06,"nond1","North GreenvilleFurman11-6",2024,"home","Furman","North Greenville"
"7",2023-11-06,"nc","BradleyUAB11-6",2024,"home","UAB","Bradley"
"8",2023-11-06,"nc","Nicholls St.Tulane11-6",2024,"home","Tulane","Nicholls St."
"9",2023-11-06,"nc","FIUUCF11-6",2024,"home","UCF","FIU"
"10",2023-11-06,"nc","Houston ChristianBYU11-6",2024,"home","BYU","Houston Christian"
"11",2023-11-06,"nc","Illinois ChicagoCincinnati11-6",2024,"home","Cincinnati","Illinois Chicago"
"12",2023-11-06,"nc","Robert MorrisXavier11-6",2024,"home","Xavier","Robert Morris"
"13",2023-11-06,"nc","MaineCharlotte11-6",2024,"home","Charlotte","Maine"
"14",2023-11-06,"nc","ElonWake Forest11-6",2024,"home","Wake Forest","Elon"
"15",2023-11-06,"nc","Boston UniversityNortheastern11-6",2024,"home","Northeastern","Boston University"
"16",2023-11-06,"nc","AmericanVillanova11-6",2024,"home","Villanova","American"
"17",2023-11-06,"nc","HamptonHoward11-6",2024,"home","Howard","Hampton"
"18",2023-11-06,"nond1","South Dakota MinesUtah St.11-6",2024,"home","Utah St.","South Dakota Mines"
"19",2023-11-06,"nc","MaristArmy11-6",2024,"home","Army","Marist"
"20",2023-11-06,"nc","DetroitToledo11-6",2024,"home","Toledo","Detroit"
"21",2023-11-06,"nc","DenverUC San Diego11-6",2024,"home","UC San Diego","Denver"
"22",2023-11-06,"nc","Cal St. NorthridgeStanford11-6",2024,"home","Stanford","Cal St. Northridge"
"23",2023-11-06,"nc","Abilene ChristianOklahoma St.11-6",2024,"home","Oklahoma St.","Abilene Christian"
"24",2023-11-06,"nond1","ImmaculataRider11-6",2024,"home","Rider","Immaculata"
"25",2023-11-06,"nc","FairfieldBoston College11-6",2024,"home","Boston College","Fairfield"
"26",2023-11-06,"nc","Morgan St.Arizona11-6",2024,"home","Arizona","Morgan St."
"27",2023-11-06,"nc","Delaware St.Penn St.11-6",2024,"home","Penn St.","Delaware St."
"28",2023-11-06,"nond1","Sonoma St.San Diego11-6",2024,"home","San Diego","Sonoma St."
"29",2023-11-06,"nond1","JessupUC Davis11-6",2024,"home","UC Davis","Jessup"
"30",2023-11-06,"nc","Mississippi Valley St.LSU11-6",2024,"home","LSU","Mississippi Valley St."
"31",2023-11-06,"nond1","Fresno PacificFresno St.11-6",2024,"home","Fresno St.","Fresno Pacific"
"32",2023-11-06,"nond1","AvilaUMKC11-6",2024,"home","UMKC","Avila"
"33",2023-11-06,"nc","Oral RobertsUT Arlington11-6",2024,"home","UT Arlington","Oral Roberts"
"34",2023-11-06,"nc","WinthropClemson11-6",2024,"home","Clemson","Winthrop"
"35",2023-11-06,"nc","Northern IllinoisMarquette11-6",2024,"home","Marquette","Northern Illinois"
"36",2023-11-06,"nc","Georgia SouthernGeorgia Tech11-6",2024,"home","Georgia Tech","Georgia Southern"
"37",2023-11-06,"nond1","MaloneKent St.11-6",2024,"home","Kent St.","Malone"
"38",2023-11-06,"nc","Sam Houston St.Pacific11-6",2024,"home","Pacific","Sam Houston St."
"39",2023-11-06,"nc","Incarnate WordTexas11-6",2024,"home","Texas","Incarnate Word"
"40",2023-11-06,"nc","St. Francis PAUCLA11-6",2024,"home","UCLA","St. Francis PA"
"41",2023-11-06,"nond1","Southwestern AssembliesSMU11-6",2024,"home","SMU","Southwestern Assemblies"
"42",2023-11-06,"nc","VMIRichmond11-6",2024,"home","Richmond","VMI"
"43",2023-11-06,"nc","ColumbiaProvidence11-6",2024,"home","Providence","Columbia"
"44",2023-11-06,"nc","UMBCLouisville11-6",2024,"home","Louisville","UMBC"
"45",2023-11-06,"nond1","Wash. & LeeDavidson11-6",2024,"home","Davidson","Wash. & Lee"
"46",2023-11-06,"nond1","Coastal GeorgiaNorth Florida11-6",2024,"home","North Florida","Coastal Georgia"
"47",2023-11-06,"nc","Missouri St.West Virginia11-6",2024,"home","West Virginia","Missouri St."
"48",2023-11-06,"nc","AkronSouth Dakota St.11-6",2024,"home","South Dakota St.","Akron"
"49",2023-11-06,"nc","Jackson St.Memphis11-6",2024,"home","Memphis","Jackson St."
"50",2023-11-06,"nc","Central ArkansasTulsa11-6",2024,"home","Tulsa","Central Arkansas"
"51",2023-11-06,"nond1","MidwayMurray St.11-6",2024,"home","Murray St.","Midway"
"52",2023-11-06,"nc","NiagaraNotre Dame11-6",2024,"home","Notre Dame","Niagara"
"53",2023-11-06,"nc","DartmouthDuke11-6",2024,"home","Duke","Dartmouth"
"54",2023-11-06,"nc","Chicago St.Bowling Green11-6",2024,"home","Bowling Green","Chicago St."
"55",2023-11-06,"nc","Texas A&M CommerceTexas A&M11-6",2024,"home","Texas A&M","Texas A&M Commerce"
"56",2023-11-06,"nc","Western IllinoisUTSA11-6",2024,"home","UTSA","Western Illinois"
"57",2023-11-06,"nond1","ErskineGardner Webb11-6",2024,"home","Gardner Webb","Erskine"
"58",2023-11-06,"nond1","Penn St.-Wilkes BarreNorfolk St.11-6",2024,"home","Norfolk St.","Penn St.-Wilkes Barre"
"59",2023-11-06,"nond1","CovenantChattanooga11-6",2024,"home","Chattanooga","Covenant"
"60",2023-11-06,"nc","Northern ArizonaConnecticut11-6",2024,"home","Connecticut","Northern Arizona"
"61",2023-11-06,"nc","LindenwoodNebraska11-6",2024,"home","Nebraska","Lindenwood"
"62",2023-11-06,"nond1","VassarYale11-6",2024,"home","Yale","Vassar"
"63",2023-11-06,"nond1","Champion Chris.Tennessee Martin11-6",2024,"home","Tennessee Martin","Champion Chris."
"64",2023-11-06,"nc","Morehead St.Alabama11-6",2024,"home","Alabama","Morehead St."
