Year,rk,Opponent,R,Final,NG Final,,Dr,AY,DY,Pl,Pt,TO,SFP,DV,,DDE,DPD,DAY,DPP
2023,86,South Carolina,W,31-17,31-17,,12,839,332,70,17,-,69.9,11.5,,0.95,1.42,0.396,4.74
2023,86,Appalachian State,W,40-34,40-34,,9,700,469,80,27,1,77.8,-9.2,,-1.03,3,0.67,5.86
2023,86,Minnesota,W,31-13,31-13,,10,704,324,58,13,2,70.4,10.6,,1.06,1.3,0.46,5.59
2023,86,Pittsburgh,W,41-24,41-24,,11,780,304,56,17,3,70.9,11.7,,1.07,1.55,0.39,5.43
2023,86,Syracuse,W,40-7,37-7,,7,525,163,40,7,1,75,6.5,,0.92,1,0.31,4.08
2023,86,Miami,W,41-31,41-31,,14,1023,548,76,31,4,73.1,2.1,,0.15,2.21,0.536,7.21
2023,86,Virginia,L,27-31,27-31,,13,824,444,83,31,2,63.4,0,,0,2.38,0.539,5.35
2023,86,Georgia Tech,L,42-46,42-46,,12,887,612,71,46,1,73.9,-17.7,,-1.47,3.83,0.69,8.62
2023,86,Duke,W,47-45,47-45,,10,658,337,62,36,-,65.8,-10.6,,-1.06,3.6,0.512,5.44
2023,86,Clemson,L,20-31,20-31,,14,1001,483,84,31,2,71.5,0.5,,0.04,2.21,0.483,5.75
2023,86,NC State,L,20-39,20-39,,11,741,477,65,39,-,67.4,-11.3,,-1.03,3.55,0.644,7.34
2023,86,West Virginia,L,30-Oct,30-Oct,,10,651,353,46,23,1,65.1,2.2,,0.22,2.3,0.542,7.67
2022,109,Appalachian State,W,63-61,63-61,,13,878,674,79,61,1,67.5,-32.4,,-2.5,4.69,0.768,8.53
2022,109,Georgia State,W,35-28,35-28,,15,1042,423,78,28,-,69.5,6.8,,0.45,1.87,0.406,5.42
2022,109,Notre Dame,L,32-45,20-45,,10,650,510,72,45,-,65,-21.5,,-2.15,4.5,0.785,7.08
2022,109,Virginia Tech,W,41-10,41-10,,10,770,237,60,10,1,77,12.5,,1.25,1,0.308,3.95
2022,109,Miami,W,27-24,27-24,,11,821,552,80,24,2,74.6,-3,,-0.27,2.18,0.672,6.9
2022,109,Duke,W,38-35,38-35,,11,778,519,72,35,1,70.7,-12.2,,-1.11,3.18,0.667,7.21
2022,109,Pittsburgh,W,42-24,42-24,,11,828,343,54,24,1,75.3,1.7,,0.16,2.18,0.414,6.35
2022,109,Virginia,W,31-28,31-28,,10,761,422,74,28,1,76.1,-9.1,,-0.91,2.8,0.555,5.7
2022,109,Wake Forest,W,36-34,36-34,,11,810,472,70,34,1,73.6,-11.5,,-1.05,3.09,0.583,6.74
2022,109,Georgia Tech,L,17-21,17-21,,10,770,342,60,21,1,77,-0.2,,-0.02,2.1,0.444,5.7
2022,109,NC State,L,27-30,27-30,,13,854,296,57,24,1,65.7,7.5,,0.57,1.85,0.347,5.19
2022,109,Clemson,L,Oct-39,Oct-39,,8,567,310,40,31,-,70.9,-9.8,,-1.22,3.88,0.547,7.75
2022,109,Oregon,L,27-28,27-28,,9,664,434,61,28,1,73.8,-10.7,,-1.18,3.11,0.654,7.11
2021,105,Virginia Tech,L,17-Oct,17-Oct,,10,676,301,58,17,2,67.6,6.1,,0.61,1.7,0.445,5.19
2021,105,Georgia State,W,59-17,45-10,,11,782,184,61,10,1,71.1,18.7,,1.7,0.91,0.235,3.02
2021,105,Virginia,W,59-39,59-39,,11,784,507,69,39,2,71.3,-12.3,,-1.12,3.55,0.647,7.35
2021,105,Georgia Tech,L,22-45,22-45,,12,715,393,60,45,-,59.6,-8.8,,-0.74,3.75,0.55,6.55
2021,105,Duke,W,38-7,31-7,,13,998,341,61,7,2,76.8,20.7,,1.59,0.54,0.342,5.59
2021,105,Florida State,L,25-35,17-35,,7,505,366,43,35,-,72.1,-20,,-2.86,5,0.725,8.51
2021,105,Miami,W,45-42,45-42,,13,950,496,79,35,3,73.1,-0.2,,-0.02,2.69,0.522,6.28
2021,105,Notre Dame,L,34-44,34-44,,10,680,540,67,44,-,68,-19.9,,-1.99,4.4,0.794,8.06
2021,105,Wake Forest,W,58-55,58-55,,15,1039,634,90,55,2,69.3,-14.1,,-0.94,3.67,0.61,7.04
2021,105,Pittsburgh,L,23-30,23-30,,13,862,411,73,23,1,66.3,5.8,,0.44,1.77,0.477,5.63
2021,105,NC State,L,30-34,30-34,,12,837,370,60,27,1,69.8,-1.1,,-0.09,2.25,0.442,6.17
2021,105,South Carolina,L,21-38,21-38,,9,694,541,65,38,-,77.1,-18.6,,-2.07,4.22,0.78,8.32
2020,83,Syracuse,W,31-6,31-6,,12,783,168,61,6,-,65.3,23.5,,1.95,0.5,0.215,2.75
2020,83,Boston College,W,26-22,26-22,,10,705,354,75,20,-,70.5,1.7,,0.17,2,0.502,4.72
2020,83,Virginia Tech,W,56-45,56-45,,13,924,519,76,45,-,71.1,-14.1,,-1.08,3.46,0.562,6.83
2020,83,Florida State,L,28-31,28-31,,12,877,403,54,24,1,73.1,1,,0.08,2,0.46,7.46
2020,83,NC State,W,48-21,45-14,,10,769,289,50,14,3,76.9,9.7,,0.97,1.4,0.376,5.78
2020,83,Virginia,L,41-44,41-44,,10,648,448,66,44,1,64.8,-18.5,,-1.85,4.4,0.691,6.79
2020,83,Duke,W,56-24,49-17,,10,781,397,60,17,2,78.1,5.4,,0.54,1.7,0.508,6.62
2020,83,Wake Forest,W,59-53,59-53,,16,1202,629,91,53,-,75.1,-16.6,,-1.04,3.31,0.523,6.91
2020,83,Notre Dame,L,17-31,17-31,,11,882,521,67,31,-,80.2,-11.6,,-1.06,2.82,0.591,7.78
2020,83,Miami,W,62-26,55-26,,10,752,321,53,26,1,75.2,1,,0.1,2.6,0.427,6.06
2020,83,Texas A&M,L,27-41,27-41,,12,825,461,60,41,-,68.8,-12,,-1,3.42,0.559,7.68
2019,40,South Carolina,W,24-20,24-20,,13,791,286,62,20,2,60.8,15.2,,1.17,1.54,0.362,4.61
2019,40,Miami,W,28-25,28-25,,11,780,473,76,25,-,70.9,-5.2,,-0.47,2.27,0.606,6.22
2019,40,Wake Forest,L,18-24,18-24,,14,985,429,73,24,1,70.4,8.2,,0.58,1.71,0.436,5.88
2019,40,Appalachian State,L,31-34,31-34,,11,776,380,64,27,1,70.5,0.1,,0.01,2.45,0.49,5.94
2019,40,Clemson,L,20-21,20-21,,11,802,308,59,21,1,72.9,3.8,,0.35,1.91,0.384,5.22
2019,40,Georgia Tech,W,38-22,38-22,,12,875,317,52,22,2,72.9,5.1,,0.43,1.83,0.362,6.1
