seed,team,year
1,Virginia,2014
2,Syracuse,2014
3,Duke,2014
4,North Carolina,2014
5,Pittsburgh,2014
6,Clemson,2014
7,North Carolina St.,2014
8,Maryland,2014
9,Florida St.,2014
10,Miami FL,2014
11,Georgia Tech,2014
12,Wake Forest,2014
13,Notre Dame,2014
14,Boston College,2014
15,Virginia Tech,2014
1,Virginia,2015
2,Duke,2015
3,Notre Dame,2015
4,Louisville,2015
5,North Carolina,2015
6,Miami FL,2015
7,North Carolina St.,2015
8,Clemson,2015
9,Florida St.,2015
10,Pittsburgh,2015
11,Wake Forest,2015
12,Boston College,2015
13,Georgia Tech,2015
14,Virginia Tech,2015
1,North Carolina,2016
2,Virginia,2016
3,Miami FL,2016
4,Notre Dame,2016
5,Duke,2016
6,Virginia Tech,2016
7,Clemson,2016
8,Pittsburgh,2016
9,Syracuse,2016
10,Georgia Tech,2016
11,Florida St.,2016
12,North Carolina St.,2016
13,Wake Forest,2016
14,Boston College,2016
1,North Carolina,2017
2,Florida St.,2017
3,Notre Dame,2017
4,Louisville,2017
5,Duke,2017
6,Virginia,2017
7,Virginia Tech,2017
8,Syracuse,2017
9,Miami FL,2017
10,Wake Forest,2017
11,Georgia Tech,2017
12,Clemson,2017
13,North Carolina St.,2017
14,Pittsburgh,2017
15,Boston College,2017
1,Virginia,2018
2,Duke,2018
3,Miami FL,2018
4,Clemson,2018
5,North Carolina St.,2018
6,North Carolina,2018
7,Virginia Tech,2018
8,Florida St.,2018
9,Louisville,2018
10,Notre Dame,2018
11,Syracuse,2018
12,Boston College,2018
13,Georgia Tech,2018
14,Wake Forest,2018
15,Pittsburgh,2018
1,Virginia,2019
2,North Carolina,2019
3,Duke,2019
4,Florida St.,2019
5,Virginia Tech,2019
6,Syracuse,2019
7,Louisville,2019
8,North Carolina St.,2019
9,Clemson,2019
10,Georgia Tech,2019
11,Boston College,2019
12,Miami FL,2019
13,Wake Forest,2019
14,Pittsburgh,2019
15,Notre Dame,2019
1,Florida St.,2020
2,Virginia,2020
3,Louisville,2020
4,Duke,2020
5,North Carolina St.,2020
6,Syracuse,2020
7,Notre Dame,2020
8,Clemson,2020
9,Miami FL,2020
10,Boston College,2020
11,Virginia Tech,2020
12,Wake Forest,2020
13,Pittsburgh,2020
14,North Carolina,2020
1,Virginia,2021
2,Florida St.,2021
3,Virginia Tech,2021
4,Georgia Tech,2021
5,Clemson,2021
6,North Carolina,2021
7,Louisville,2021
8,Syracuse,2021
9,North Carolina St.,2021
10,Duke,2021
11,Notre Dame,2021
12,Pittsburgh,2021
13,Miami FL,2021
14,Wake Forest,2021
15,Boston College,2021
1,Duke,2022
2,Notre Dame,2022
3,North Carolina,2022
4,Miami FL,2022
5,Wake Forest,2022
6,Virginia,2022
7,Virginia Tech,2022
8,Florida St.,2022
9,Syracuse,2022
10,Clemson,2022
11,Louisville,2022
12,Pittsburgh,2022
13,Boston College,2022
14,Georgia Tech,2022
15,North Carolina St.,2022
1,Miami FL,2023
2,Virginia,2023
3,Clemson,2023
4,Duke,2023
5,Pittsburgh,2023
6,North Carolina St.,2023
7,North Carolina,2023
8,Syracuse,2023
9,Wake Forest,2023
10,Boston College,2023
11,Virginia Tech,2023
12,Florida St.,2023
13,Georgia Tech,2023
14,Notre Dame,2023
15,Louisville,2023
1,North Carolina,2024
2,Duke,2024
3,Virginia,2024
4,Pittsburgh,2024
5,Wake Forest,2024
6,Clemson,2024
7,Syracuse,2024
8,Virginia Tech,2024
9,Florida St.,2024
10,North Carolina St.,2024
11,Boston College,2024
12,Notre Dame,2024
13,Georgia Tech,2024
14,Miami FL,2024
15,Louisville,2024
