team,Conference,Former Coach,New Coach,total
Arkansas,SEC,Eric Musselman,John Calipari,1
Bryant,America East,Jared Grasso,"Phil Martelli, Jr",1
BYU,Big 12,Mark Pope,TBD,1
Cal Poly,Big West,John Smith,Mike DeGeorge,1
Canisius,MAAC,Reggie Witherspoon,Jim Christian,1
Central Arkansas,ASUN,Anthony Boone,John Shulman,1
Charleston Southern,Big South,Barclay Radebaugh,Saah Nimley,1
Coastal Carolina,Sun Belt,Cliff Ellis,Justin Gray,1
College of Charleston,CAA,Pat Kelsey,Chris Mack,1
Cornell,Ivy League,Brian Earl,Jon Jaques,1
DePaul,Big East,Tony Stubblefield,Chris Holtmann,1
Detroit,Horizon,Mike Davis,Mark Montgomery,1
Drake,Missouri Valley,Darian DeVries,Ben McCollum,1
Duquesne,A-10,Keith Dambrot,Dru Joyce III,1
Eastern Washington,Big Sky,David Riley,TBD,1
Fairfield,MAAC,Jay Young,Chris Casey,1
Florida A&M,SWAC,Robert McCullum,TBD,1
Florida Atlantic,American,Dusty May,John Jakus,1
Fresno St.,Mountain West,Justin Hutson,TBD,1
Gardner Webb,Big South,Tim Craft,Jeremy Luther,1
Hampton,CAA,"Edward Joyner, Jr.",Ivan Thomas,1
Houston Christian,Southland,Ron Cottrell,Craig Doty,1
Indiana St.,Missouri Valley,Josh Schertz,Matthew Graves,1
IUPUI,Horizon,Matt Crenshaw,Paul Corsaro,1
James Madison,Sun Belt,Mark Byington,Preston Spradlin,1
Kentucky,SEC,John Calipari,Mark Pope,1
Long Beach St.,Big West,Dan Monson,Chris Acker,1
Louisville,ACC,Kenny Payne,Pat Kelsey,1
Loyola MD,Patriot League,Tavaras Hardy,Josh Loeffler,1
Marshall,Sun Belt,Dan D'Antoni,Cornelius Jackson,1
Mercer,SoCon,Greg Gary,Ryan Ridder,1
Michigan,Big Ten,Juwan Howard,Dusty May,1
Missouri St.,Missouri Valley,Dana Ford,Cuonzo Martin,1
Morehead St.,OVC,Preston Spradlin,Jonathan Mattox,1
Mount St. Mary's,NEC,Dan Engelstad,TBD,1
Ohio St.,Big Ten,Chris Holtmann,Jake Diebler,1
Oklahoma St.,Big 12,Mike Boynton,Steve Lutz,1
Old Dominion,Sun Belt,Jeff Jones,Mike Jones,1
Pacific,WCC,Leonard Perry,Dave Smart,1
Pepperdine,WCC,Lorenzo Romar,Ed Schilling,1
Rice,American,Scott Pera,Rob Lanier,1
Siena,MAAC,Carmen Maciarello,Gerry McNamara,1
SMU,ACC,Rob Lanier,Andy Enfield,1
Southern Illinois,Missouri Valley,Bryan Mullins,Scott Nagy,1
Saint Louis,A-10,Travis Ford,Josh Schertz,1
Stanford,ACC,Jerod Haase,Kyle Smith,1
Illinois Chicago,Missouri Valley,Luke Yaklich,Rob Ehsan,1
USC,Big Ten,Andy Enfield,Eric Musselman,1
USC Upstate,Big South,Dave Dickerson,Marty Richter,1
Tennessee Martin,OVC,Ryan Ridder,Jeremy Shulman,1
Utah St.,Mountain West,Danny Sprinkle,Jerrod Calhoun,1
UT Rio Grande Valley,WAC,Matt Figger,Kahil Fennell,1
UTSA,American,Steve Henson,Austin Claunch,1
Vanderbilt,SEC,Jerry Stackhouse,Mark Byington,1
Washington,Big Ten,Mike Hopkins,Danny Sprinkle,1
Washington St.,WCC,Kyle Smith,David Riley,1
West Virginia,Big 12,Bob Huggins,Darian DeVries,1
Western Carolina,SoCon,Justin Gray,Tim Craft,1
Western Kentucky,Conference USA,Steve Lutz,Hank Plona,1
William & Mary,CAA,Dane Fischer,Brian Earl,1
Wright St.,Horizon,Scott Nagy,Clint Sargent,1
Youngstown St.,Horizon,Jerrod Calhoun,Ethan Faulkner,1
Chicago St.,NEC,,,1
