draft_year,draft_round,draft_round_pick,player,draft_team,position,team,win,loss
2023,1,1,Bryce Young,Panthers,QB,Alabama,11,2
2023,1,2,C.J. Stroud,Texans,QB,Ohio State,11,2
2023,1,4,Anthony Richardson,Colts,QB,Florida,6,7
2021,1,1,Trevor Lawrence,Jaguars,QB,Clemson,10,2
2021,1,2,Zach Wilson,Jets,QB,Brigham Young,11,1
2021,1,3,Trey Lance,49ers,QB,North Dakota State,7,3
2020,1,1,Joe Burrow,Bengals,QB,Louisiana State,15,0
2020,1,5,Tua Tagovailoa,Dolphins,QB,Alabama,11,2
2020,1,6,Justin Herbert,Chargers,QB,Oregon,12,2
2019,1,1,Kyler Murray,Cardinals,QB,Oklahoma,12,2
2019,1,6,Daniel Jones,Giants,QB,Duke,8,5
2018,1,1,Baker Mayfield,Browns,QB,Oklahoma,12,2
2018,1,3,Sam Darnold,Jets,QB,USC,11,3
2018,1,7,Josh Allen,Bills,QB,Wyoming,8,5
2018,1,10,Josh Rosen,Cardinals,QB,UCLA,6,7
2017,1,2,Mitchell Trubisky,Bears,QB,North Carolina,8,5
2017,1,10,Patrick Mahomes,Chiefs,QB,Texas Tech,5,7
2016,1,1,Jared Goff,Rams,QB,California,8,5
2016,1,2,Carson Wentz,Eagles,QB,North Dakota State,13,2
2015,1,1,Jameis Winston,Buccaneers,QB,Florida State,13,1
2015,1,2,Marcus Mariota,Titans,QB,Oregon,13,2
2014,1,3,Blake Bortles,Jaguars,QB,Central Florida,12,1
2012,1,1,Andrew Luck,Colts,QB,Stanford,11,2
2012,1,2,Robert Griffin,Redskins,QB,Baylor,10,3
2012,1,8,Ryan Tannehill,Dolphins,QB,Texas A&M,7,6
2011,1,1,Cam Newton,Panthers,QB,Auburn,14,0
2011,1,8,Jake Locker,Titans,QB,Washington,7,6
2011,1,10,Blaine Gabbert,Jaguars,QB,Missouri,10,3
2010,1,1,Sam Bradford,Rams,QB,Oklahoma,8,5
2009,1,1,Matthew Stafford,Lions,QB,Georgia,10,3
2009,1,5,Mark Sanchez,Jets,QB,USC,12,1
2008,1,3,Matt Ryan,Falcons,QB,Boston College,11,3
2007,1,1,JaMarcus Russell,Raiders,QB,Louisiana State,11,2
2006,1,3,Vince Young,Titans,QB,Texas,13,0
2006,1,10,Matt Leinart,Cardinals,QB,USC,12,1
2005,1,1,Alex Smith,49ers,QB,Utah,12,0
2004,1,1,Eli Manning,Chargers,QB,Mississippi,10,3
2004,1,4,Philip Rivers,Giants,QB,North Carolina State,8,5
