"","Year","run_g","total_runs","runs_per_game","hr_g","total_hr","max_team","max_hr","hrs_per_game","obp_g","total_abs","mean_obp","ab_hr"
"1",2024,14466,99176,6.84546198989324,14466,16682,"Austin Peay (ASUN)",140,1.14686812607593,14476,490192,0.383742372881356,29.3844862726292
"2",2023,16338,110258,6.69765386857904,16338,18696,"Florida (SEC)",146,1.12561695019317,16338,556752,0.379037288135593,29.7792041078306
"3",2022,16143,104580,6.42656046604741,16143,16599,"Tennessee (SEC)",158,1.01044438897962,16143,550518,0.372665529010239,33.1657328754744
"4",2021,14058,82755,5.82999155493182,14058,12391,"Arkansas (SEC)",109,0.85652246926764,14058,464153,0.362807692307692,37.458881446211
"5",2019,16431,96078,5.80820047438208,16431,12305,"Vanderbilt (SEC)",100,0.736932534456682,16431,556658,0.362171717171717,45.238358390898
"6",2017,16360,93424,5.66475698397181,16360,12210,"Wake Forest (ACC)",106,0.734651025849484,16360,554752,0.361172881355932,45.4342342342342
"7",2018,16302,91952,5.58860962582711,16302,11491,"Tennessee Tech (OVC)",135,0.69029752399399,16302,550201,0.360400673400673,47.8810373335654
"8",2016,16496,91805,5.52145962980452,16496,10011,"Coastal Carolina (Big South)",96,0.598410163708531,16496,556607,0.359362711864407,55.599540505444
"9",2020,4622,25634,5.48085317871145,4622,2872,"Ole Miss (SEC)",37,0.616107503751653,4622,154511,0.353043624161074,53.7990947075209
"10",2015,16090,87512,5.39971845490152,16090,8964,"Samford (SoCon)",85,0.548902406397005,16090,543547,0.357237288135593,60.6366577420794
"11",2014,16239,82464,5.04104966837954,16239,6358,"Tennessee Tech (OVC)",83,0.386298217823927,16239,545424,0.352929054054054,85.7854671280277
