,bracket,super,regional,seed,logo,team_name,W-L-T,WPCT,odds,DSR Rank,rpi,wab_rank,SOS Rank
22,two,Tallahassee,Tallahassee,2,http://a.espncdn.com/i/teamlogos/ncaa/500/333.png,Alabama,33-22-0,0.6,190,22,24,26,4
34,one,Chapel Hill,Tucson,1,http://a.espncdn.com/i/teamlogos/ncaa/500/12.png,Arizona,36-21-0,0.632,175,36,31,24,71
6,one,Fayetteville,Fayetteville,1,http://a.espncdn.com/i/teamlogos/ncaa/500/8.png,Arkansas,43-14-0,0.754,-190,6,5,5,13
56,three,Athens,Athens,4,http://a.espncdn.com/i/teamlogos/ncaa/500/349.png,Army,31-21-0,0.596,2500,123,121,169,225
58,three,Athens,Raleigh,4,http://a.espncdn.com/i/teamlogos/ncaa/500/2803.png,Bryant,36-19-0,0.655,2000,157,115,123,287
13,four,Clemson,Clemson,1,http://a.espncdn.com/i/teamlogos/ncaa/500/228.png,Clemson,41-14-0,0.745,105,13,7,6,21
39,four,Clemson,Clemson,3,http://a.espncdn.com/i/teamlogos/ncaa/500/324.png,Coastal Carolina,34-23-0,0.596,450,46,36,59,34
40,two,Chapel Hill,Norman,3,http://a.espncdn.com/i/teamlogos/ncaa/500/41.png,Connecticut,32-22-0,0.593,700,47,41,66,46
24,one,Tallahassee,Tucson,2,https://a.espncdn.com/i/teamlogos/ncaa/500/2164.png,Dallas Baptist,44-13-0,0.772,175,24,17,25,90
12,two,Knoxville,Norman,2,http://a.espncdn.com/i/teamlogos/ncaa/500/150.png,Duke,39-18-0,0.684,100,12,16,10,24
26,two,Knoxville,Greenville,1,http://a.espncdn.com/i/teamlogos/ncaa/500/151.png,East Carolina,43-15-0,0.741,170,27,22,23,98
43,two,Clemson,Greenville,4,https://a.espncdn.com/i/teamlogos/ncaa/500/339.png,Evansville,35-23-0,0.603,1000,51,76,81,106
27,four,Tallahassee,Stillwater,3,http://a.espncdn.com/i/teamlogos/ncaa/500/57.png,Florida,28-27-0,0.509,225,28,30,38,1
4,two,College Station,Tallahassee,1,http://a.espncdn.com/i/teamlogos/ncaa/500/52.png,Florida State,42-14-0,0.75,-110,4,8,7,10
60,four,Athens,Santa Barbara,4,http://a.espncdn.com/i/teamlogos/ncaa/500/278.png,Fresno State,33-27-0,0.55,1000,163,182,126,207
7,three,Athens,Athens,1,http://a.espncdn.com/i/teamlogos/ncaa/500/61.png,Georgia,39-15-0,0.722,-155,7,6,8,27
38,three,College Station,Athens,3,http://a.espncdn.com/i/teamlogos/ncaa/500/59.png,Georgia Tech,31-23-0,0.574,310,43,49,31,31
64,four,Chapel Hill,College Station,4,http://a.espncdn.com/i/teamlogos/ncaa/500/2755.png,Grambling,24-25-0,0.5,10000,250,236,236,242
52,one,Clemson,Tucson,4,https://a.espncdn.com/i/teamlogos/ncaa/500/2253.png,Grand Canyon,34-23-0,0.596,650,93,96,82,202
53,four,Lexington,Clemson,4,https://a.espncdn.com/i/teamlogos/ncaa/500/2272.png,High Point,34-25-0,0.576,3500,100,124,140,143
41,three,Knoxville,Lexington,3,http://a.espncdn.com/i/teamlogos/ncaa/500/356.png,Illinois,34-19-0,0.642,550,48,48,47,83
44,two,Lexington,Knoxville,3,http://a.espncdn.com/i/teamlogos/ncaa/500/84.png,Indiana,32-24-1,0.57,700,52,55,77,72
25,three,Athens,Lexington,2,http://a.espncdn.com/i/teamlogos/ncaa/500/282.png,Indiana State,42-13-0,0.764,260,26,10,27,143
45,three,Fayetteville,Raleigh,3,http://a.espncdn.com/i/teamlogos/ncaa/500/256.png,James Madison,34-23-0,0.596,600,62,44,61,86
46,one,Lexington,Fayetteville,3,http://a.espncdn.com/i/teamlogos/ncaa/500/2306.png,Kansas State,32-24-0,0.571,350,66,45,40,43
5,three,Chapel Hill,Lexington,1,http://a.espncdn.com/i/teamlogos/ncaa/500/96.png,Kentucky,40-14-0,0.741,-155,5,3,2,11
63,one,College Station,Chapel Hill,4,https://a.espncdn.com/i/teamlogos/ncaa/500/112358.png,Long Island,33-23-0,0.589,10000,187,195,188,273
32,one,Fayetteville,Fayetteville,2,http://a.espncdn.com/i/teamlogos/ncaa/500/2348.png,Louisiana Tech,44-17-0,0.721,450,33,29,41,111
10,one,Chapel Hill,Chapel Hill,2,http://a.espncdn.com/i/teamlogos/ncaa/500/99.png,LSU,40-21-0,0.656,110,10,23,19,31
17,one,Fayetteville,Charlottesville,2,http://a.espncdn.com/i/teamlogos/ncaa/500/344.png,Mississippi State,38-21-0,0.644,130,17,25,21,35
14,three,Athens,Raleigh,1,http://a.espncdn.com/i/teamlogos/ncaa/500/152.png,NC State,33-20-0,0.623,125,14,15,20,9
35,four,Clemson,Stillwater,2,http://a.espncdn.com/i/teamlogos/ncaa/500/158.png,Nebraska,39-20-0,0.661,400,37,28,34,15
57,four,Clemson,Stillwater,4,https://a.espncdn.com/i/teamlogos/ncaa/500/315.png,Niagara,38-15-0,0.717,4500,150,103,106,292
48,three,Lexington,Corvallis,3,http://a.espncdn.com/i/teamlogos/ncaa/500/2447.png,Nicholls,34-20-0,0.655,1600,69,61,99,132
2,one,Chapel Hill,Chapel Hill,1,http://a.espncdn.com/i/teamlogos/ncaa/500/153.png,North Carolina,42-13-0,0.764,-110,2,4,4,7
61,two,Knoxville,Knoxville,4,https://a.espncdn.com/i/teamlogos/ncaa/500/94.png,Northern Kentucky,33-22-0,0.6,5000,168,149,120,266
18,two,Tallahassee,Norman,1,http://a.espncdn.com/i/teamlogos/ncaa/500/201.png,Oklahoma,37-19-0,0.661,145,18,14,18,14
8,four,Clemson,Stillwater,1,http://a.espncdn.com/i/teamlogos/ncaa/500/197.png,Oklahoma State,40-17-0,0.702,-140,8,11,12,40
62,two,Tallahassee,Norman,4,https://a.espncdn.com/i/teamlogos/ncaa/500/198.png,Oral Roberts,27-30-1,0.474,2000,169,266,232,298
36,four,College Station,Santa Barbara,3,http://a.espncdn.com/i/teamlogos/ncaa/500/2483.png,Oregon,37-18-0,0.673,275,40,52,28,195
