Rk,Player,WS,Draft Team,Round,Pick,Draft Year,College,From,To,Age,G,GS,AS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%,Pos,Team
1,Chris Paul,209.4,NOH,1,4,2005,Wake Forest,2005-06,2023-24,20-38,1272,1232,12,43316,7898,16769,6178,12111,1720,4658,4772,5487,759,4923,5682,11894,2614,200,2964,3034,22288,0.471,0.51,0.369,0.87,0.581,0.522,G,"GSW,HOU,LAC,NOH,NOK,OKC,PHO"
2,Kevin Durant,170.2,OKC,1,2,2007,Texas,2007-08,2023-24,19-35,1061,1058,14,38972,9950,19875,7919,14627,2031,5248,6993,7910,717,6737,7454,4645,1124,1196,3364,2033,28924,0.501,0.541,0.387,0.884,0.619,0.552,F-G,"BRK,GSW,OKC,PHO,SEA"
3,James Harden,166.4,OKC,1,3,2009,Arizona State,2009-10,2023-24,20-34,1072,858,10,37222,7643,17315,4703,9233,2940,8082,7659,8900,816,5201,6017,7629,1597,600,3919,2695,25885,0.441,0.509,0.364,0.861,0.61,0.526,G,"BRK,HOU,LAC,OKC,PHI"
4,Dwight Howard,141.7,ORL,1,1,2004,,2004-05,2021-22,19-36,1242,1078,8,39457,7051,12016,7029,11913,22,103,5361,9455,4151,10476,14627,1676,1081,2228,3302,3912,19485,0.587,0.59,0.214,0.567,0.602,0.588,C,"ATL,CHO,HOU,LAL,ORL,PHI,WAS"
5,Stephen Curry,135.2,GSW,1,7,2009,Davidson,2009-10,2023-24,21-35,956,950,10,32723,8084,17098,4337,8293,3747,8805,3753,4125,629,3880,4509,6119,1473,235,2987,2215,23668,0.473,0.523,0.426,0.91,0.626,0.582,G,GSW
6,LaMarcus Aldridge,115.7,CHI,1,2,2006,Texas,2006-07,2021-22,21-36,1076,997,7,36242,8311,16872,8084,16162,227,710,3709,4563,2776,5960,8736,2076,758,1187,1643,2598,20558,0.493,0.5,0.32,0.813,0.544,0.499,F-C,"BRK,POR,SAS"
7,Al Horford,112.7,ATL,1,3,2007,Florida,2007-08,2023-24,21-37,1078,1036,5,34259,5867,11439,5005,9164,862,2275,1571,2066,2090,6484,8574,3501,830,1249,1523,2335,14167,0.513,0.546,0.379,0.76,0.574,0.551,C-F,"ATL,BOS,OKC,PHI"
8,Anthony Davis,112.1,NOH,1,1,2012,Kentucky,2012-13,2023-24,19-30,736,729,9,25409,6630,12679,6290,11534,340,1145,4117,5177,1952,5874,7826,1828,974,1705,1460,1742,17717,0.523,0.545,0.297,0.795,0.592,0.536,F-C,"LAL,NOH,NOP"
9,Damian Lillard,110.8,POR,1,6,2012,Weber State,2012-13,2023-24,22-33,842,842,8,30521,6822,15576,4215,8544,2607,7032,4900,5460,505,3068,3573,5659,804,257,2379,1611,21151,0.438,0.493,0.371,0.897,0.588,0.522,G,"MIL,POR"
10,Russell Westbrook,110.6,OKC,1,4,2008,UCLA,2008-09,2023-24,20-35,1162,1039,9,39081,9055,20659,7782,16473,1273,4186,5828,7512,1872,6435,8307,9468,1849,369,4587,2969,25211,0.438,0.472,0.304,0.776,0.526,0.469,G,"HOU,LAC,LAL,OKC,WAS"
11,DeMar DeRozan,101.4,TOR,1,9,2009,Southern California,2009-10,2023-24,20-34,1110,1098,6,38460,8440,18007,7909,16216,531,1791,6171,7337,785,4125,4910,4527,1108,361,2274,2509,23582,0.469,0.488,0.296,0.841,0.555,0.483,G-F,"CHI,SAS,TOR"
