"","team_name","team_total","conference","week","conference_game","home_away","opponent","win_total","color"
"1","Georgia",10.5,"SEC",1,FALSE,"neutral","Clemson",9.5,"#f56600"
"2","Georgia",10.5,"SEC",2,FALSE,"home","Tennessee Tech",NA,NA
"3","Georgia",10.5,"SEC",3,TRUE,"away","Kentucky",6.5,"#0033a0"
"4","Georgia",10.5,"SEC",5,TRUE,"away","Alabama",9.5,"#9e1632"
"5","Georgia",10.5,"SEC",6,TRUE,"home","Auburn",7.5,"#002b5c"
"6","Georgia",10.5,"SEC",7,TRUE,"home","Mississippi State",3.5,"#5d1725"
"7","Georgia",10.5,"SEC",8,TRUE,"away","Texas",10.5,"#c15d26"
"8","Georgia",10.5,"SEC",10,TRUE,"neutral","Florida",4.5,"#0021a5"
"9","Georgia",10.5,"SEC",11,TRUE,"away","Ole Miss",9.5,"#13294b"
"10","Georgia",10.5,"SEC",12,TRUE,"home","Tennessee",8.5,"#ff8200"
"11","Georgia",10.5,"SEC",13,FALSE,"home","UMass",3.5,"#971B2F"
"12","Georgia",10.5,"SEC",14,FALSE,"home","Georgia Tech",5.5,"#003057"
"13","Notre Dame",10.5,"FBS Independents",1,FALSE,"away","Texas A&M",8.5,"#500000"
"14","Notre Dame",10.5,"FBS Independents",2,FALSE,"home","Northern Illinois",6.5,"#F1122C"
"15","Notre Dame",10.5,"FBS Independents",3,FALSE,"away","Purdue",4.5,"#000000"
"16","Notre Dame",10.5,"FBS Independents",4,FALSE,"home","Miami (OH)",7.5,"#a4000c"
"17","Notre Dame",10.5,"FBS Independents",5,FALSE,"home","Louisville",8.5,"#c9001f"
"18","Notre Dame",10.5,"FBS Independents",7,FALSE,"home","Stanford",3.5,"#8c1515"
"19","Notre Dame",10.5,"FBS Independents",8,FALSE,"neutral","Georgia Tech",5.5,"#003057"
"20","Notre Dame",10.5,"FBS Independents",9,FALSE,"neutral","Navy",5.5,"#00225b"
"21","Notre Dame",10.5,"FBS Independents",11,FALSE,"home","Florida State",9.5,"#782F40"
"22","Notre Dame",10.5,"FBS Independents",12,FALSE,"home","Virginia",4.5,"#232d4b"
