"","team","conf","win_total","odds","prob"
"1","Ohio State","Big Ten",10.5,-650,0.866666666666667
"2","Georgia","SEC",10.5,-600,0.857142857142857
"3","Oregon","Big Ten",10.5,-290,0.743589743589744
"4","Texas","SEC",10.5,-230,0.696969696969697
"5","Notre Dame","Independent",10.5,-170,0.62962962962963
"6","Penn State","Big Ten",9.5,-145,0.591836734693878
"7","Ole Miss","SEC",9.5,-125,0.555555555555556
"8","Alabama","SEC",9.5,100,0.5
"9","Michigan","Big Ten",8.5,110,0.476190476190476
"10","LSU","SEC",9.5,125,0.444444444444444
"11","Florida State","ACC",9.5,160,0.384615384615385
"12","Tennessee","SEC",8.5,170,0.37037037037037
"13","Missouri","SEC",9.5,180,0.357142857142857
"14","Clemson","ACC",9.5,200,0.333333333333333
"15","Miami","ACC",9.5,210,0.32258064516129
"16","Texas A&M","SEC",8.5,240,0.294117647058824
"17","Utah","Big 12",9.5,260,0.277777777777778
"18","Kansas State","Big 12",9.5,310,0.24390243902439
