g1,g2,g3,g4,g5,g6,g7,g8,g9,g10,g11,g12,g12
circle,circle,circle,circle,circle,circle,circle,circle,circle,circle,circle,circle,circle
circle,football,football,football,football,football,football,football,football,football,football,circle,circle
circle,circle,football,football,football,football,football,football,football,football,football,circle,circle
circle,circle,football,football,football,football,football,football,football,football,circle,football,circle
circle,circle,circle,football,football,football,football,football,football,football,circle,circle,circle
circle,circle,circle,circle,circle,circle,circle,circle,circle,circle,circle,circle,circle
circle,circle,circle,circle,circle,circle,circle,circle,circle,circle,circle,circle,circle
circle,basketball,basketball,basketball,basketball,basketball,basketball,basketball,basketball,basketball,basketball,circle,circle
circle,circle,basketball,basketball,basketball,basketball,basketball,basketball,basketball,basketball,basketball,basketball,circle
circle,circle,basketball,basketball,basketball,basketball,basketball,basketball,basketball,basketball,basketball,basketball,circle
circle,circle,basketball,basketball,basketball,basketball,basketball,basketball,basketball,basketball,basketball,basketball,circle
circle,circle,basketball,basketball,basketball,basketball,basketball,basketball,basketball,basketball,circle,circle,basketball
circle,circle,circle,basketball,basketball,basketball,basketball,basketball,basketball,basketball,circle,circle,circle
