f_coach,f_team,f_comp,money,s_coach,s_team,s_comp
,,,20,Pep Guardiola,Manchester City,20
,,,19,,,
,,,18,,,
,,,17,,,
,,,16,,,
,,,15,,,
,,,14,,,
Kirby Smart,Georgia,13,13,,,
Dabo Swinney,Clemson,11.5,12,,,
Lincoln Riley,USC,11,11,,,
Steve Sarkisian,Texas,10.3,10,Mikel Arteta,Arsenal,10
Kalen DeBoer,Alabama,10,,,,
Mike Norvell,Florida State,9.8,,,,
Brian Kelly,LSU,9.5,,,,
Ryan Day,Ohio State,9.5,,,,
Lane Kiffin,Ole Miss,9,9,Erik ten Hag,Manchester United,9
Josh Heupel,Tennessee,9,,,,
Mark Stoops,Kentucky,9,,,,
James Franklin,Penn State,8.5,,,,
Brent Venables,Oklahoma,8.2,8,Unai Emery,Aston Villa,8
Mario Cristobal,Miami,8,,,,
Mike Gundy,Oklahoma State,7.75,,,,
Luke Fickell,Wisconsin,7.6,,,,
Billy Napier,Florida,7.3,,,,
Kirk Ferentz,Iowa,7,7,,,
Dan Lanning,Oregon,7,,,,
Matt Rhule,Nebraska,6.78,,Arne Slot,Liverpool,6.85
Hugh Freeze,Auburn,6.73,,,,
Kyle Whittingham,Utah,6.5,,,,
Sam Pittman,Arkansas,6.5,,,,
