Rank,Team,Rating
1,Georgia,30.9
2,Ohio State,26.6
3,Oregon,25.5
4,Texas,25.1
5,Alabama,23.2
6,Penn State,21.3
7,Notre Dame,20.1
8,Oklahoma,18.1
9,Ole Miss,17.8
10,Florida State,17.7
11,LSU,17.6
12,Michigan,17.2
13,Tennessee,16.7
14,Clemson,15.9
15,Missouri,15.9
16,Texas A&M,15.8
17,Miami (FL),14
18,Utah,13.2
19,Kansas State,12.6
20,USC,12.5
21,Louisville,12
22,Florida,11.2
23,Auburn,11.2
24,Oklahoma State,10.6
25,Arizona,9.8
26,Kansas,9.6
27,SMU,9.5
28,NC State,9.4
29,Iowa,9.1
30,TCU,8.7
31,Kentucky,8.6
32,Wisconsin,8.4
33,UCF,8
34,Iowa State,7.9
35,West Virginia,7.9
36,Washington,7.8
37,Texas Tech,7.6
38,South Carolina,7.4
39,Virginia Tech,7.3
40,Nebraska,6.4
41,North Carolina,5.7
42,Arkansas,5.6
43,Colorado,5.4
44,UCLA,5
45,Boise State,5
46,Maryland,4.4
47,California,4.3
48,Georgia Tech,4.1
49,Rutgers,3
50,Memphis,2.9
51,Baylor,2.5
52,Oregon State,2.3
53,Cincinnati,1.7
54,UTSA,1.6
55,Pitt,1.5
56,Syracuse,1.4
57,Liberty,1.4
58,Minnesota,1.4
59,Duke,1.2
60,Tulane,0.9
61,Mississippi State,0.8
62,Boston College,0.5
63,Appalachian State,0.4
64,Illinois,-0.1
65,James Madison,-0.2
66,Washington State,-0.3
67,Northwestern,-0.5
68,Wake Forest,-0.6
69,BYU,-0.7
70,Purdue,-0.7
71,Fresno State,-0.8
72,Arizona State,-1
73,Michigan State,-1.3
74,Virginia,-1.3
75,Stanford,-1.4
76,USF,-2
77,Houston,-2.1
78,Indiana,-2.1
79,UNLV,-3.4
80,Louisiana,-3.9
81,Miami (Ohio),-3.9
82,Texas State,-4.4
83,Troy,-4.9
84,Vanderbilt,-5
85,Toledo,-5.1
86,Rice,-5.2
87,South Alabama,-5.2
88,Air Force,-5.2
89,Jacksonville State,-6
90,Coastal Carolina,-6.1
91,Wyoming,-6.4
92,Marshall,-6.5
93,East Carolina,-6.6
94,WKU,-7
95,Utah State,-7.2
96,Florida Atlantic,-7.3
97,Bowling Green,-7.5
98,UAB,-7.7
99,San Diego State,-7.7
100,Georgia Southern,-8
101,Colorado State,-8.1
102,Arkansas State,-8.2
103,NIU,-8.2
104,North Texas,-8.4
105,San Jose State,-8.6
106,Army,-9.8
107,Ohio,-10.1
108,Old Dominion,-10.2
109,Western Michigan,-10.8
110,Tulsa,-11.1
111,Navy,-11.4
112,Georgia State,-11.9
113,Central Michigan,-12.1
114,Southern Miss,-12.1
115,Hawaii,-12.7
116,Charlotte,-12.8
117,Middle Tennessee,-13.1
118,UConn,-13.6
119,Sam Houston,-14.4
120,Louisiana Tech,-14.7
121,Buffalo,-14.9
122,Ball State,-14.9
123,Eastern Michigan,-15.7
124,New Mexico State,-15.8
125,UTEP,-16.7
126,Nevada,-17.3
127,UMass,-18
128,New Mexico,-18.4
129,Akron,-18.6
130,FIU,-18.7
131,Temple,-19.4
132,ULM,-20.1
133,Kennesaw State,-20.8
134,Kent State,-21.8
