"","team_name","rating_range","rating_sd","avg_rating","sp_rk","fei_rk","kford_rk","sp_rating","fei_rating","kford_rating"
"1","Air Force",0.94,0.52,-0.19,88,45,88,-7.1,0.2,-5.2
"2","Washington",0.88,0.49,1,32,11,36,10.3,0.84,7.8
"3","Michigan",0.85,0.43,1.9,7,4,12,25,1.28,17.2
"4","Oregon State",0.84,0.48,0.49,50,21,52,3.2,0.55,2.3
"5","UMass",0.75,0.41,-1.77,128,134,127,-20.1,-1.28,-18
"6","South Florida",0.7,0.36,-0.49,83,109,76,-5.6,-0.52,-2
"7","Ole Miss",0.68,0.34,1.51,8,18,9,24.7,0.61,17.8
"8","Troy",0.66,0.33,-0.08,64,53,83,-0.7,0.1,-4.9
"9","Miami",0.66,0.36,0.98,19,37,17,15.5,0.28,14
"10","Colorado",0.65,0.33,0.11,60,75,43,0.3,-0.13,5.4
"11","Washington State",0.64,0.35,0.21,57,33,66,0.6,0.31,-0.3
"12","San Jose State",0.59,0.32,-0.6,101,78,105,-11,-0.16,-8.6
"13","Ohio",0.55,0.32,-0.7,107,88,107,-12,-0.22,-10.1
"14","Rice",0.55,0.28,-0.71,92,111,86,-9,-0.59,-5.2
"15","Buffalo",0.53,0.3,-1.11,123,101,121,-17,-0.46,-14.9
"16","James Madison",0.5,0.27,0.17,56,41,65,0.7,0.24,-0.2
"17","Syracuse",0.5,0.25,-0.11,67,89,56,-1,-0.24,1.4
"18","Missouri",0.5,0.25,1.4,11,17,15,22.2,0.61,15.9
"19","Western Kentucky",0.49,0.25,-0.33,70,80,94,-1.6,-0.17,-7
"20","Akron",0.49,0.28,-1.8,133,133,129,-22.2,-1.21,-18.6
"21","Texas",0.48,0.25,1.98,5,9,4,27.7,0.92,25.1
"22","Georgia State",0.47,0.23,-0.82,106,93,112,-11.3,-0.35,-11.9
"23","Nebraska",0.47,0.27,0.4,42,60,40,7.4,0.02,6.4
"24","Kansas",0.46,0.24,0.65,33,47,26,9.7,0.18,9.6
"25","NC State",0.45,0.24,0.72,29,42,28,12.1,0.22,9.4
