team,SP+,Off. SP+,Def. SP+,ST SP+
1. Michigan (15-0),31.3,36.6 (12),7.2 (1),1.8 (7)
2. Georgia (13-1),31.2,41.5 (4),12.2 (5),1.9 (4)
3. Oregon (12-2),26.2,45.0 (1),18.2 (16),-0.5 (84)
4. Ohio St. (11-2),25.2,31.5 (34),7.8 (2),1.5 (20)
5. Penn St. (10-3),23.5,32.7 (30),10.5 (4),1.3 (28)
6. Texas (12-2),23.2,39.3 (6),17.7 (13),1.6 (17)
7. Alabama (12-2),23.1,36.8 (11),15.6 (8),2.0 (2)
8. Notre Dame (10-3),20.1,36.3 (14),16.7 (10),0.5 (53)
9. Florida St. (13-1),19.4,34.1 (23),16.5 (9),1.8 (8)
10. Missouri (11-2),19.3,36.5 (13),18.0 (14),0.8 (45)
11. LSU (10-3),19.1,44.6 (2),25.0 (52),-0.5 (82)
12. Ole Miss (11-2),18.4,36.3 (15),19.2 (23),1.3 (26)
13. Washington (14-1),16.4,40.3 (5),24.7 (50),0.8 (47)
14. Tennessee (9-4),16.2,34.9 (18),19.2 (22),0.6 (52)
15. Kansas St. (9-4),16.2,38.9 (7),21.8 (33),-0.8 (90)
16. Texas A&M (7-6),15.6,34.5 (20),18.8 (20),-0.1 (72)
17. Oklahoma (10-3),15,38.5 (8),22.6 (38),-1.0 (94)
18. Arizona (10-3),14.1,37.3 (9),23.1 (41),-0.2 (78)
19. Oregon St. (8-5),12.6,33.2 (26),22.3 (35),1.7 (10)
20. JMU (11-2),11.8,34.6 (19),23.7 (43),1.0 (40)
21. Maryland (8-5),11,28.3 (57),17.6 (11),0.4 (59)
22. Kentucky (7-6),10.5,31.6 (33),22.2 (34),1.1 (39)
23. Clemson (9-4),10.5,29.3 (51),19.0 (21),0.2 (66)
24. SMU (12-2),10.1,34.1 (22),23.0 (39),-1.1 (98)
25. Kansas (9-4),9.9,35.6 (17),26.1 (62),0.4 (60)
26. Troy (11-3),9.8,30.7 (42),20.1 (28),-0.8 (89)
27. UCLA (8-5),9.7,29.6 (47),18.4 (17),-1.5 (108)
28. Miami (7-6),9.6,30.7 (41),23.1 (40),1.9 (3)
29. Wisconsin (7-6),9.4,22.2 (86),14.1 (7),1.3 (29)
30. Duke (8-5),9.4,27.3 (63),19.5 (25),1.5 (18)
31. USC (8-5),9.4,43.3 (3),32.8 (105),-1.2 (99)
32. Utah (8-5),8.5,26.7 (65),19.4 (24),1.2 (34)
33. Liberty (13-1),8,36.2 (16),26.3 (64),-1.9 (123)
34. Louisville (10-4),8,30.1 (46),22.3 (36),0.2 (64)
35. TCU (5-7),7.9,33.5 (25),25.3 (54),-0.3 (80)
36. Auburn (6-7),7.6,26.4 (68),20.1 (29),1.3 (27)
37. Iowa St. (7-6),7.5,26.4 (67),20.1 (27),1.1 (37)
38. W. Virginia (9-4),7.5,31.5 (35),24.6 (48),0.5 (54)
39. NC St. (9-4),7.4,25.5 (73),19.7 (26),1.6 (15)
40. N. Carolina (8-5),7.4,34.4 (21),27.8 (78),0.8 (46)
41. Florida (5-7),6.8,31.1 (38),26.0 (60),1.7 (9)
42. Oklahoma St. (10-4),6.7,32.8 (28),27.1 (69),1.0 (42)
43. Texas Tech (7-6),6.1,29.6 (49),24.7 (49),1.2 (31)
44. Boise St. (8-6),5.9,32.7 (29),28.2 (82),1.4 (23)
45. Air Force (9-4),5.9,25.6 (72),20.9 (30),1.2 (35)
46. Va. Tech (7-6),5.8,27.5 (62),23.3 (42),1.7 (14)
47. Iowa (10-4),5.8,13.8 (129),9.3 (3),1.3 (30)
48. UTSA (9-4),5.4,31.3 (36),27.3 (74),1.4 (24)
