"","date","team","week","conference_game","home_away","opponent","opp_conf","conf"
"1","2024-08-31T19:30:00.000Z","Air Force",1,FALSE,"home","Merrimack",NA,"Mountain West"
"2","2024-09-07T23:00:00.000Z","Air Force",2,TRUE,"home","San José State","Mountain West","Mountain West"
"3","2024-09-14T23:30:00.000Z","Air Force",3,FALSE,"away","Baylor","Big 12","Mountain West"
"4","2024-09-29T00:00:00.000Z","Air Force",5,TRUE,"away","Wyoming","Mountain West","Mountain West"
"5","2024-10-05T16:00:00.000Z","Air Force",6,FALSE,"home","Navy","American Athletic","Mountain West"
"6","2024-10-13T00:00:00.000Z","Air Force",7,TRUE,"away","New Mexico","Mountain West","Mountain West"
"7","2024-10-20T00:00:00.000Z","Air Force",8,TRUE,"home","Colorado State","Mountain West","Mountain West"
"8","2024-11-02T04:00:00.000Z","Air Force",10,FALSE,"away","Army","American Athletic","Mountain West"
"9","2024-11-09T05:00:00.000Z","Air Force",11,TRUE,"home","Fresno State","Mountain West","Mountain West"
"10","2024-11-16T20:30:00.000Z","Air Force",12,FALSE,"home","Oregon State","Pac-12","Mountain West"
"11","2024-11-23T05:00:00.000Z","Air Force",13,TRUE,"away","Nevada","Mountain West","Mountain West"
"12","2024-11-30T05:00:00.000Z","Air Force",14,TRUE,"away","San Diego State","Mountain West","Mountain West"
"13","2024-08-31T19:30:00.000Z","Akron",1,FALSE,"away","Ohio State","Big Ten","Mid-American"
"14","2024-09-07T16:00:00.000Z","Akron",2,FALSE,"away","Rutgers","Big Ten","Mid-American"
"15","2024-09-14T22:00:00.000Z","Akron",3,FALSE,"home","Colgate",NA,"Mid-American"
"16","2024-09-21T04:00:00.000Z","Akron",4,FALSE,"away","South Carolina","SEC","Mid-American"
"17","2024-09-28T04:00:00.000Z","Akron",5,TRUE,"away","Ohio","Mid-American","Mid-American"
"18","2024-10-05T04:00:00.000Z","Akron",6,TRUE,"home","Bowling Green","Mid-American","Mid-American"
"19","2024-10-12T04:00:00.000Z","Akron",7,TRUE,"away","Western Michigan","Mid-American","Mid-American"
"20","2024-10-26T04:00:00.000Z","Akron",9,TRUE,"home","Eastern Michigan","Mid-American","Mid-American"
"21","2024-11-02T04:00:00.000Z","Akron",10,TRUE,"home","Buffalo","Mid-American","Mid-American"
"22","2024-11-13T05:00:00.000Z","Akron",12,TRUE,"away","Northern Illinois","Mid-American","Mid-American"
"23","2024-11-19T05:00:00.000Z","Akron",13,TRUE,"away","Kent State","Mid-American","Mid-American"
"24","2024-11-27T00:00:00.000Z","Akron",14,TRUE,"home","Toledo","Mid-American","Mid-American"
"25","2024-08-31T23:00:00.000Z","Alabama",1,FALSE,"home","Western Kentucky","Conference USA","SEC"
"26","2024-09-07T23:00:00.000Z","Alabama",2,FALSE,"home","South Florida","American Athletic","SEC"
"27","2024-09-14T16:00:00.000Z","Alabama",3,FALSE,"away","Wisconsin","Big Ten","SEC"
"28","2024-09-28T23:30:00.000Z","Alabama",5,TRUE,"home","Georgia","SEC","SEC"
"29","2024-10-05T04:00:00.000Z","Alabama",6,TRUE,"away","Vanderbilt","SEC","SEC"
