team_a,desc_a,time_min_a,time_sec_a,points_b,result_b,zero_a,five_a,ten_a,fifteen_a,twenty_a,twentyfive_a,thirty_a,thirtyfive_a,forty_a,fortyfive_a,fifty,fortyfive_b,forty_b,thirtyfive_b,thirty_b,twentyfive_b,twenty_b,fifteen_b,ten_b,five_b,zero_b,points_a,result_a,time_min_b,time_sec_b,desc_b,team_b
LSU,"13 plays, 74 yards",7,9,Drive Start,Own 23,,,,,,TRUE,<span style='color: green;'><span style='color: green;'>&#8594;</span></span>,<span style='color: green;'><span style='color: green;'>&#8594;</span></span>,<span style='color: green;'><span style='color: green;'>&#8594;</span></span>,<span style='color: green;'><span style='color: green;'>&#8594;</span></span>,<span style='color: green;'><span style='color: green;'>&#8594;</span></span>,<span style='color: green;'><span style='color: green;'>&#8594;</span></span>,<span style='color: green;'><span style='color: green;'>&#8594;</span></span>,<span style='color: green;'><span style='color: green;'>&#8594;</span></span>,<span style='color: green;'><span style='color: green;'>&#8594;</span></span>,<span style='color: green;'><span style='color: green;'>&#8594;</span></span>,<span style='color: green;'><span style='color: green;'>&#8594;</span></span>,<span style='color: green;'><span style='color: green;'>&#8594;</span></span>,<span style='color: green;'><span style='color: green;'>&#8594;</span></span>,<span style='color: green;'><span style='color: green;'>&#8594;</span></span>,FALSE,0 points,Downs,,,,
,,,,0 points,Punt,,,,,,,,,,,,,,,,FALSE,<span style='color: green;'>&#8592;</span>,<span style='color: green;'>&#8592;</span>,<span style='color: green;'>&#8592;</span>,<span style='color: green;'>&#8592;</span>,TRUE,Drive Start,Own 3,3,17,"5 plays, 24 yards",USC
LSU,"8 plays, 31 yards",4,40,Drive Start,Own 17,,,,TRUE,<span style='color: green;'><span style='color: green;'>&#8594;</span></span>,<span style='color: green;'><span style='color: green;'>&#8594;</span></span>,<span style='color: green;'><span style='color: green;'>&#8594;</span></span>,<span style='color: green;'><span style='color: green;'>&#8594;</span></span>,<span style='color: green;'><span style='color: green;'>&#8594;</span></span>,<span style='color: green;'><span style='color: green;'>&#8594;</span></span>,FALSE,,,,,,,,,,,0 points,Punt,,,,
,,,,7 points,Touchdown,FALSE,<span style='color: green;'>&#8592;</span>,<span style='color: green;'>&#8592;</span>,<span style='color: green;'>&#8592;</span>,<span style='color: green;'>&#8592;</span>,<span style='color: green;'>&#8592;</span>,<span style='color: green;'>&#8592;</span>,<span style='color: green;'>&#8592;</span>,<span style='color: green;'>&#8592;</span>,<span style='color: green;'>&#8592;</span>,<span style='color: green;'>&#8592;</span>,<span style='color: green;'>&#8592;</span>,<span style='color: green;'>&#8592;</span>,<span style='color: green;'>&#8592;</span>,<span style='color: green;'>&#8592;</span>,<span style='color: green;'>&#8592;</span>,<span style='color: green;'>&#8592;</span>,TRUE,,,,Drive Start,Own 13,3,49,"8 plays, 87 yards",USC
LSU,"9 plays, 75 yards",3,56,Drive Start,Own 25 ,,,,,,TRUE,<span style='color: green;'>&#8594;</span>,<span style='color: green;'>&#8594;</span>,<span style='color: green;'>&#8594;</span>,<span style='color: green;'>&#8594;</span>,<span style='color: green;'>&#8594;</span>,<span style='color: green;'>&#8594;</span>,<span style='color: green;'>&#8594;</span>,<span style='color: green;'>&#8594;</span>,<span style='color: green;'>&#8594;</span>,<span style='color: green;'>&#8594;</span>,<span style='color: green;'>&#8594;</span>,<span style='color: green;'>&#8594;</span>,<span style='color: green;'>&#8594;</span>,<span style='color: green;'>&#8594;</span>,FALSE,7 points,Touchdown,,,,
,,,,3 points,Field goal,,FALSE,<span style='color: green;'>&#8592;</span>,<span style='color: green;'>&#8592;</span>,<span style='color: green;'>&#8592;</span>,<span style='color: green;'>&#8592;</span>,<span style='color: green;'>&#8592;</span>,<span style='color: green;'>&#8592;</span>,<span style='color: green;'>&#8592;</span>,<span style='color: green;'>&#8592;</span>,<span style='color: green;'>&#8592;</span>,TRUE,,,,,,,,,,Drive Start,LSU 43,2,35,"5 plays, 38 yards",USC
LSU,"8 plays, 47 yards",3,13,Drive Start,Own 25 ,,,,,,TRUE,<span style='color: green;'>&#8594;</span>,<span style='color: green;'>&#8594;</span>,<span style='color: green;'>&#8594;</span>,<span style='color: green;'>&#8594;</span>,<span style='color: green;'>&#8594;</span>,<span style='color: green;'>&#8594;</span>,<span style='color: green;'>&#8594;</span>,<span style='color: green;'>&#8594;</span>,FALSE,,,,,,,3 points,Field goal,,,,
,,,,0 points,FG Missed,,,FALSE,<span style='color: green;'>&#8592;</span>,<span style='color: green;'>&#8592;</span>,<span style='color: green;'>&#8592;</span>,<span style='color: green;'>&#8592;</span>,<span style='color: green;'>&#8592;</span>,<span style='color: green;'>&#8592;</span>,<span style='color: green;'>&#8592;</span>,<span style='color: green;'>&#8592;</span>,<span style='color: green;'>&#8592;</span>,<span style='color: green;'>&#8592;</span>,<span style='color: green;'>&#8592;</span>,<span style='color: green;'>&#8592;</span>,TRUE,,,,,,Drive Start,Own 25,1,8,"9 plays, 63 yards",USC
,,,,0 points,Punt,,,,,,,,,,,,,,,FALSE,TRUE,,,,,,Drive Start,Own 25,1,31,"3 plays, 7 yards",USC
LSU,"3 plays, 9 yards",2,2,Drive Start,Own 28,,,,,,,TRUE,FALSE,,,,,,,,,,,,,,0 points,Punt,,,,
,,,,3 points,Field goal,,,,,FALSE,<span style='color: green;'>&#8592;</span>,<span style='color: green;'>&#8592;</span>,<span style='color: green;'>&#8592;</span>,<span style='color: green;'>&#8592;</span>,<span style='color: green;'>&#8592;</span>,<span style='color: green;'>&#8592;</span>,<span style='color: green;'>&#8592;</span>,<span style='color: green;'>&#8592;</span>,<span style='color: green;'>&#8592;</span>,<span style='color: green;'>&#8592;</span>,TRUE,,,,,,Drive Start,Own 23,4,14,"9 plays, 59 yards",USC
LSU,"7 plays, 78 yards",3,25,Drive Start,Own 22,,,,,TRUE,<span style='color: green;'>&#8594;</span>,<span style='color: green;'>&#8594;</span>,<span style='color: green;'>&#8594;</span>,<span style='color: green;'>&#8594;</span>,<span style='color: green;'>&#8594;</span>,<span style='color: green;'>&#8594;</span>,<span style='color: green;'>&#8594;</span>,<span style='color: green;'>&#8594;</span>,<span style='color: green;'>&#8594;</span>,<span style='color: green;'>&#8594;</span>,<span style='color: green;'>&#8594;</span>,<span style='color: green;'>&#8594;</span>,<span style='color: green;'>&#8594;</span>,<span style='color: green;'>&#8594;</span>,<span style='color: green;'>&#8594;</span>,FALSE,7 points,Touchdown,,,,
,,,,0 points,Punt,,,,,,,,,,,,,,,,FALSE,TRUE,,,,,Drive Start,Own 20,2,31,"3 plays, 3 yards",USC
LSU,"5 plays, 23 yards",2,42,Drive Start,Own 23,,,,,,TRUE,<span style='color: green;'>&#8594;</span>,<span style='color: green;'>&#8594;</span>,<span style='color: green;'>&#8594;</span>,FALSE,,,,,,,,,,,,0 points ,Punt,,,,
,,,,0 points,Downs,,,,,,,,FALSE,<span style='color: green;'>&#8592;</span>,<span style='color: green;'>&#8592;</span>,<span style='color: green;'>&#8592;</span>,<span style='color: green;'>&#8592;</span>,<span style='color: green;'>&#8592;</span>,<span style='color: green;'>&#8592;</span>,<span style='color: green;'>&#8592;</span>,<span style='color: green;'>&#8592;</span>,<span style='color: green;'>&#8592;</span>,TRUE,,,,Drive Start,Own 15,4,47,"9 plays, 49 yards",USC
LSU,"3 plays, -7 yards",1,41,Drive Start,Own 36,,,,,,,FALSE,TRUE,,,,,,,,,,,,,,0 points,Punt,,,,
,,,,7 points,Touchdown,FALSE,<span style='color: green;'>&#8592;</span>,<span style='color: green;'>&#8592;</span>,<span style='color: green;'>&#8592;</span>,<span style='color: green;'>&#8592;</span>,<span style='color: green;'>&#8592;</span>,<span style='color: green;'>&#8592;</span>,<span style='color: green;'>&#8592;</span>,<span style='color: green;'>&#8592;</span>,<span style='color: green;'>&#8592;</span>,<span style='color: green;'>&#8592;</span>,<span style='color: green;'>&#8592;</span>,<span style='color: green;'>&#8592;</span>,TRUE,,,,,,,,Drive Start,Own 36,1,13,"3 plays, 64 yards",USC
LSU,"9 plays, 61 yards",3,57,Drive Start,Own 25 ,,,,,,TRUE,<span style='color: green;'>&#8594;</span>,<span style='color: green;'>&#8594;</span>,<span style='color: green;'>&#8594;</span>,<span style='color: green;'>&#8594;</span>,<span style='color: green;'>&#8594;</span>,<span style='color: green;'>&#8594;</span>,<span style='color: green;'>&#8594;</span>,<span style='color: green;'>&#8594;</span>,<span style='color: green;'>&#8594;</span>,<span style='color: green;'>&#8594;</span>,<span style='color: green;'>&#8594;</span>,FALSE,,,,3 points,Field goal,,,,
,,,,7 points,Touchdown,FALSE,<span style='color: green;'>&#8592;</span>,<span style='color: green;'>&#8592;</span>,<span style='color: green;'>&#8592;</span>,<span style='color: green;'>&#8592;</span>,<span style='color: green;'>&#8592;</span>,<span style='color: green;'>&#8592;</span>,<span style='color: green;'>&#8592;</span>,<span style='color: green;'>&#8592;</span>,<span style='color: green;'>&#8592;</span>,<span style='color: green;'>&#8592;</span>,<span style='color: green;'>&#8592;</span>,<span style='color: green;'>&#8592;</span>,<span style='color: green;'>&#8592;</span>,<span style='color: green;'>&#8592;</span>,TRUE,,,,,,Drive Start,Own 25,1,39,"8 plays, 75 yards",USC
LSU,"1 play, 0 yards",0,4,Drive Start,Own 25 ,,,,,,TRUE,<span style='color: green;'>&#8594;</span>,<span style='color: green;'>&#8594;</span>,FALSE,,,,,,,,,,,,,0 points,Interception,,,,
,,,,0 points,End of game,,,,,,,,FALSE,TRUE,,,,,,,,,,,,,End of game,LSU 40,0,4,"1 play, -3 yards",USC
