date,team,opponent,week,,spread,score,mov
11/26/22,Liberty,N Mex State,13,Home,-24,14-49,-35
10/29/22,Rice,Charlotte,9,Home,-15,23-56,-33
10/15/22,Coastal Car,Old Dominion,7,Home,-11,21-49,-28
10/29/22,W Kentucky,North Texas,9,Home,-10,13-40,-27
9/7/24,UAB,UL Monroe,2,Away,-11,Jun-32,-26
11/19/22,Tennessee,S Carolina,12,Away,-22.5,38-63,-25
10/22/22,Miami,Duke,8,Home,-10,21-45,-24
11/18/23,Auburn,N Mex State,12,Home,-25,31-Oct,-21
9/4/23,Clemson,Duke,1,Away,-12,28-Jul,-21
11/4/23,Air Force,Army,10,Neutral,-18.5,23-Mar,-20
8/31/24,Rice,Sam Hous St,1,Home,-10,14-34,-20
10/22/22,Charlotte,Florida Intl,8,Home,-14,15-34,-19
9/23/22,Boise St,TX El Paso,4,Away,-16.5,27-Oct,-17
9/2/24,Florida St,Boston Col,1,Home,-16.5,13-28,-15
9/10/22,Colorado St,Middle Tenn,2,Home,-13.5,19-34,-15
11/26/22,LSU,Texas A&M,13,Away,-10,23-38,-15
10/1/22,N Mex State,Florida Intl,5,Home,-16,21-Jul,-14
11/11/23,Wisconsin,Northwestern,11,Home,-12.5,24-Oct,-14
11/11/23,Air Force,Hawaii,11,Away,-20,13-27,-14
9/24/22,Miami,Middle Tenn,4,Home,-25.5,31-45,-14
10/28/23,S Alabama,Louisiana,9,Home,-11.5,20-33,-13
9/10/22,W Virginia,Kansas,2,Home,-14,42-55,-13
9/17/22,Louisiana,Rice,3,Away,-11.5,21-33,-12
10/8/22,App State,Texas St,6,Away,-19.5,24-36,-12
9/2/23,Baylor,Texas St,1,Home,-26.5,31-42,-11
9/30/23,GA Tech,Bowling Grn,5,Home,-21,27-38,-11
12/29/23,Iowa St,Memphis,15,Away,-10.5,26-36,-10
11/11/23,UCLA,Arizona St,11,Home,-14,17-Jul,-10
10/12/22,Marshall,Louisiana,7,Home,-10,13-23,-10
12/28/23,S Methodist,Boston Col,15,Neutral,-13.5,14-23,-9
9/17/22,Arizona St,E Michigan,3,Home,-20.5,21-30,-9
11/5/22,Illinois,Michigan St,10,Home,-16.5,15-23,-8
11/19/22,Michigan St,Indiana,12,Home,-12,31-39,-8
9/10/22,Northwestern,Duke,2,Home,-10,23-31,-8
10/6/23,Kansas St,Oklahoma St,6,Away,-11.5,21-29,-8
11/18/23,Fresno St,New Mexico,12,Home,-22,17-25,-8
10/15/22,California,Colorado,7,Away,-15,13-20,-7
9/17/22,Kansas St,Tulane,3,Home,-13.5,17-Oct,-7
11/15/22,Toledo,Bowling Grn,12,Home,-14.5,35-42,-7
9/9/23,North Texas,Florida Intl,2,Away,-10.5,39-46,-7
11/19/22,Florida,Vanderbilt,12,Away,-14,24-31,-7
10/15/22,James Mad,GA Southern,7,Away,-13,38-45,-7
10/28/23,Clemson,NC State,9,Away,-10,17-24,-7
9/7/24,Auburn,California,2,Home,-12,14-21,-7
10/28/23,Army,U Mass,9,Home,-10,14-21,-7
8/31/24,VA Tech,Vanderbilt,1,Away,-13,27-34,-7
10/8/22,Washington,Arizona St,6,Away,-13.5,38-45,-7
11/25/22,Iowa,Nebraska,13,Home,-10.5,17-24,-7
9/16/23,Cincinnati,Miami (OH),3,Home,-14,24-31,-7
10/8/22,Air Force,Utah St,6,Away,-11.5,27-34,-7
9/24/22,Oklahoma,Kansas St,4,Home,-13.5,34-41,-7
11/26/22,Houston,Tulsa,13,Home,-13,30-37,-7
10/7/23,Rice,Connecticut,6,Home,-10,31-38,-7
10/21/23,San Diego St,Nevada,8,Home,-11,0-6,-6
11/19/22,UNLV,Hawaii,12,Away,-11,25-31,-6
10/28/23,Maryland,Northwestern,9,Away,-14.5,27-33,-6
11/12/22,UCLA,Arizona,11,Home,-19.5,28-34,-6
10/1/22,Pittsburgh,GA Tech,5,Home,-21.5,21-26,-5
10/1/22,Fresno St,Connecticut,5,Away,-23.5,14-19,-5
9/10/22,Notre Dame,Marshall,2,Home,-20.5,21-26,-5
9/23/23,S Alabama,Central Mich,4,Home,-16.5,30-34,-4
10/28/23,N Carolina,GA Tech,9,Away,-12,42-46,-4
11/19/22,N Carolina,GA Tech,12,Home,-21.5,17-21,-4
10/1/22,UAB,Rice,5,Away,-10.5,24-28,-4
10/21/23,N Carolina,Virginia,8,Home,-24,27-31,-4
10/7/23,Miami,GA Tech,6,Home,-19,20-23,-3
9/6/24,S Methodist,BYU,2,Home,-12,15-18,-3
9/17/22,Marshall,Bowling Grn,3,Away,-17,31-34,-3
9/2/23,TX Christian,Colorado,1,Home,-21,42-45,-3
8/24/24,Florida St,GA Tech,1,Neutral,-10.5,21-24,-3
9/23/23,Minnesota,Northwestern,4,Away,-12,34-37,-3
9/16/22,Air Force,Wyoming,3,Away,-16.5,14-17,-3
10/13/23,Colorado,Stanford,7,Home,-13,43-46,-3
11/19/22,UCF,Navy,12,Home,-14.5,14-17,-3
9/10/22,Texas A&M,App State,2,Home,-18,14-17,-3
9/10/22,Wisconsin,Wash State,2,Home,-17.5,14-17,-3
8/27/22,Nebraska,Northwestern,1,Neutral,-12,28-31,-3
12/1/23,Oregon,Washington,14,Neutral,-10,31-34,-3
9/30/23,TX Christian,W Virginia,5,Home,-13,21-24,-3
10/14/23,Maryland,Illinois,7,Home,-13,24-27,-3
11/12/22,Liberty,Connecticut,11,Away,-13.5,33-36,-3
11/12/22,Kentucky,Vanderbilt,11,Home,-17,21-24,-3
9/24/22,Tulane,S Mississippi,4,Home,-12,24-27,-3
11/12/22,Oregon,Washington,11,Home,-12,34-37,-3
11/4/23,Wash State,Stanford,10,Home,-14,10-Jul,-3
9/24/22,E Carolina,Navy,4,Home,-16.5,20-23,-3
9/10/22,Nebraska,GA Southern,2,Home,-23,42-45,-3
11/12/22,Georgia St,UL Monroe,11,Home,-13.5,28-31,-3
11/18/23,James Mad,App State,12,Home,-10,23-26,-3
11/16/22,Central Mich,W Michigan,12,Home,-10,12-Oct,-2
11/5/22,Arkansas,Liberty,10,Home,-14.5,19-21,-2
9/7/24,Notre Dame,N Illinois,2,Home,-27.5,14-16,-2
9/2/23,Texas Tech,Wyoming,1,Away,-13.5,33-35,-2
10/15/22,Notre Dame,Stanford,7,Home,-16.5,14-16,-2
10/1/22,Louisville,Boston Col,5,Away,-13.5,33-34,-1
11/5/22,Alabama,LSU,10,Away,-13.5,31-32,-1
9/17/22,Georgia St,Charlotte,3,Home,-19.5,41-42,-1
11/19/22,Liberty,VA Tech,12,Home,-10.5,22-23,-1
11/12/22,NC State,Boston Col,11,Home,-18,20-21,-1
11/26/22,Clemson,S Carolina,13,Home,-14,30-31,-1
