"","team","ats_record","ats_pct","favored_count","total_games","avg_spread","category","record"
"1","Air Force","0-4-0",0,2,4,8.5,"Winless ATS","0-4"
"2","Army","4-0-0",100,3,4,8.25,"Perfect ATS","4-0"
"3","BYU","4-0-0",100,1,4,8.125,"Perfect ATS","4-0"
"4","Central Michigan","0-3-1",0,3,4,8.375,"Winless ATS","2-2"
"5","Eastern Michigan","4-0-0",100,1,4,10.875,"Perfect ATS","3-1"
"6","Illinois","3-0-1",100,1,4,13.375,"Perfect ATS","3-1"
"7","Iowa State","4-0-0",100,3,4,13.25,"Perfect ATS","4-0"
"8","Kansas","0-5-0",0,3,5,4.1,"Winless ATS","0-5"
"9","Kent State","0-4-0",0,0,4,33.875,"Winless ATS","0-4"
"10","Marshall","4-0-0",100,2,4,16.625,"Perfect ATS","2-2"
"11","NC State","0-4-1",0,3,5,11.8,"Winless ATS","2-3"
"12","Navy","4-0-0",100,3,4,8.625,"Perfect ATS","4-0"
"13","North Carolina","0-4-1",0,4,5,7.4,"Winless ATS","2-3"
"14","Pittsburgh","4-0-0",100,2,4,7.5,"Perfect ATS","4-0"
"15","Purdue","0-4-0",0,0,4,7.875,"Winless ATS","0-4"
"16","Rice","0-4-0",0,2,4,6.25,"Winless ATS","0-4"
"17","Rutgers","3-0-1",100,2,4,8.875,"Perfect ATS","3-1"
"18","UTSA","0-4-0",0,1,4,16.125,"Winless ATS","1-3"
