"","team_name","conf","f_plus_rk","f_plus","f_plus_ptile","fpi_rk","fpi","fpi_ptile"
"1","Ohio State (5-1)","Big Ten",1,2.29,1,2,26.9,0.992481203007519
"2","Texas (6-0)","SEC",2,2.23,0.992481203007519,1,29.7,1
"3","Oregon (6-0)","Big Ten",3,1.99,0.984962406015038,8,19.2,0.947368421052632
"4","Georgia (5-1)","SEC",4,1.93,0.977443609022556,4,22.5,0.977443609022556
"5","Alabama (5-1)","SEC",5,1.83,0.969924812030075,3,23.7,0.984962406015038
"6","Ole Miss (5-2)","SEC",6,1.78,0.962406015037594,5,21.6,0.969924812030075
"7","Penn State (6-0)","Big Ten",7,1.68,0.954887218045113,9,18.3,0.93984962406015
"8","Notre Dame (5-1)","Independents",8,1.54,0.947368421052632,6,20.9,0.962406015037594
"9","Tennessee (5-1)","SEC",9,1.5,0.93984962406015,7,20.2,0.954887218045113
"10","Miami (6-0)","ACC",10,1.43,0.932330827067669,10,17.7,0.932330827067669
"11","Clemson (5-1)","ACC",11,1.42,0.924812030075188,11,16.8,0.924812030075188
"12","LSU (5-1)","SEC",12,1.41,0.917293233082707,14,14.5,0.902255639097744
"13","Iowa State (6-0)","Big 12",13,1.23,0.909774436090226,17,13.2,0.879699248120301
"14","Texas A&M (5-1)","SEC",14,1.22,0.902255639097744,12,15.6,0.917293233082707
"15","Kansas State (5-1)","Big 12",15,1.15,0.894736842105263,21,11.8,0.849624060150376
"16","USC (3-3)","Big Ten",16,1.13,0.887218045112782,13,14.8,0.909774436090226
"17","Michigan (4-2)","Big Ten",17,1.1,0.879699248120301,33,7.7,0.759398496240602
"18","Missouri (5-1)","SEC",18,1.06,0.864661654135338,19,12.7,0.864661654135338
"19","Iowa (4-2)","Big Ten",19,1.06,0.864661654135338,23,11,0.834586466165414
"20","SMU (5-1)","ACC",20,1.04,0.857142857142857,18,12.8,0.87218045112782
"21","Indiana (6-0)","Big Ten",21,1.02,0.849624060150376,15,14.1,0.894736842105263
"22","Louisville (4-2)","ACC",22,0.98,0.842105263157895,16,14,0.887218045112782
"23","BYU (6-0)","Big 12",23,0.97,0.834586466165414,29,8.4,0.789473684210526
"24","Oklahoma (4-2)","SEC",24,0.96,0.827067669172932,20,11.9,0.857142857142857
"25","Kentucky (3-3)","SEC",25,0.9,0.81203007518797,32,7.8,0.766917293233083
"26","Boise State (5-1)","Mountain West",26,0.9,0.81203007518797,22,11.6,0.842105263157895
"27","Wisconsin (4-2)","Big Ten",27,0.86,0.804511278195489,28,8.6,0.796992481203007
"28","Washington (4-3)","Big Ten",28,0.85,0.796992481203007,40,6.5,0.699248120300752
"29","Nebraska (5-1)","Big Ten",29,0.82,0.789473684210526,43,6.4,0.68421052631579
"30","Florida (3-3)","SEC",30,0.75,0.781954887218045,27,8.7,0.804511278195489
"31","South Carolina (3-3)","SEC",31,0.73,0.774436090225564,26,9.2,0.81203007518797
"32","James Madison (5-1)","Sun Belt",32,0.69,0.766917293233083,37,7,0.729323308270677
"33","Auburn (2-4)","SEC",33,0.68,0.759398496240602,34,7.6,0.744360902255639
"34","Arkansas (4-2)","SEC",34,0.62,0.75187969924812,25,9.6,0.819548872180451
"35","Utah (4-2)","Big 12",35,0.61,0.736842105263158,44,6,0.676691729323308
"36","Virginia Tech (3-3)","ACC",36,0.61,0.736842105263158,31,7.8,0.766917293233083
"37","Minnesota (4-3)","Big Ten",37,0.6,0.729323308270677,50,5,0.62406015037594
"38","Pittsburgh (6-0)","ACC",38,0.59,0.721804511278195,36,7.4,0.736842105263158
"39","Texas Tech (5-1)","Big 12",39,0.58,0.706766917293233,46,5.7,0.661654135338346
"40","Army (6-0)","American",40,0.58,0.706766917293233,51,5,0.62406015037594
"41","Cincinnati (4-2)","Big 12",41,0.54,0.699248120300752,39,6.6,0.714285714285714
"42","Arizona State (5-1)","Big 12",42,0.52,0.691729323308271,45,5.9,0.669172932330827
"43","California (3-3)","ACC",43,0.5,0.68421052631579,41,6.5,0.699248120300752
"44","Washington State (5-1)","Pac-2",44,0.49,0.669172932330827,54,4.3,0.601503759398496
"45","Georgia Tech (5-2)","ACC",45,0.49,0.669172932330827,42,6.4,0.68421052631579
"46","West Virginia (3-3)","Big 12",46,0.48,0.661654135338346,38,6.7,0.721804511278195
"47","UCF (3-3)","Big 12",47,0.41,0.654135338345865,47,5.3,0.646616541353383
"48","Duke (5-1)","ACC",48,0.4,0.646616541353383,63,1.5,0.533834586466165
"49","Maryland (3-3)","Big Ten",49,0.39,0.639097744360902,53,4.3,0.601503759398496
"50","Tulane (4-2)","American",50,0.38,0.631578947368421,24,10.1,0.827067669172932
"51","Colorado (4-2)","Big 12",51,0.36,0.616541353383459,30,7.9,0.781954887218045
