"","team_name","conf","sor","fpi_rk","fpi","fpi_ptile","record","fei_rank","fei","fei_resume_rank","fei_resume","fei_ptile"
"1","Georgia","SEC",1,4,23.1,0.977443609022556,"7-1",3,1.19,2,2.38,0.984962406015038
"2","Oregon","Big Ten",2,7,21.7,0.954887218045113,"9-0",2,1.44,1,2.61,0.992481203007519
"3","Miami","ACC",3,9,19.5,0.93984962406015,"9-0",9,1,3,2.01,0.93984962406015
"4","BYU","Big 12",4,28,9.3,0.796992481203007,"8-0",20,0.69,5,1.81,0.857142857142857
"5","Ohio State","Big Ten",5,2,25.9,0.992481203007519,"7-1",1,1.47,4,1.87,1
"6","Penn State","Big Ten",6,11,19,0.924812030075188,"7-1",8,1,6,1.6,0.93984962406015
"7","Indiana","Big Ten",7,10,19.3,0.932330827067669,"9-0",7,1.03,8,1.35,0.954887218045113
"8","Tennessee","SEC",8,8,20.5,0.947368421052632,"7-1",11,0.95,7,1.35,0.924812030075188
"9","Texas","SEC",9,1,26,1,"7-1",5,1.15,12,1.02,0.969924812030075
"10","Alabama","SEC",10,3,25.3,0.984962406015038,"6-2",6,1.08,9,1.34,0.962406015037594
"11","Texas A&M","SEC",11,15,14.5,0.894736842105263,"7-2",19,0.71,10,1.22,0.864661654135338
"12","LSU","SEC",12,12,16,0.917293233082707,"6-2",12,0.91,11,1.08,0.917293233082707
"13","SMU","ACC",13,16,14.1,0.887218045112782,"8-1",21,0.68,15,0.78,0.849624060150376
"14","Pittsburgh","ACC",14,35,7.8,0.744360902255639,"7-1",46,0.25,13,0.89,0.661654135338346
"15","Notre Dame","FBS Indep.",15,5,22.1,0.969924812030075,"7-1",10,0.99,17,0.63,0.932330827067669
"16","Boise State","Mountain West",16,19,13.1,0.864661654135338,"7-1",13,0.85,18,0.62,0.909774436090226
"17","Iowa State","Big 12",17,21,11.8,0.849624060150376,"7-1",15,0.78,14,0.83,0.887218045112782
"18","Ole Miss","SEC",18,6,22,0.962406015037594,"7-2",4,1.17,19,0.42,0.977443609022556
"19","Kansas State","Big 12",19,22,11.5,0.842105263157895,"7-2",25,0.52,26,-0.03,0.819548872180451
"20","Washington State","Pac-12",20,47,4.9,0.646616541353383,"7-1",45,0.27,20,0.41,0.669172932330827
"21","South Carolina","SEC",21,18,13.3,0.87218045112782,"5-3",16,0.78,16,0.77,0.887218045112782
"22","Louisville","ACC",22,14,14.8,0.902255639097744,"6-3",22,0.63,21,0.23,0.842105263157895
"23","Missouri","SEC",23,26,10.3,0.804511278195489,"6-2",42,0.34,23,0.08,0.691729323308271
"24","Vanderbilt","SEC",24,34,7.8,0.744360902255639,"6-3",41,0.34,27,-0.07,0.691729323308271
"25","Army","American",25,52,4.4,0.616541353383459,"8-0",26,0.51,24,0.07,0.81203007518797
"26","Colorado","Big 12",26,23,10.7,0.827067669172932,"6-2",30,0.43,28,-0.13,0.774436090225564
"27","Louisiana","Sun Belt",27,66,-0.5,0.511278195488722,"7-1",65,-0.02,33,-0.39,0.518796992481203
"28","Arizona State","Big 12",28,38,7,0.714285714285714,"6-2",36,0.38,37,-0.69,0.736842105263158
"29","Clemson","ACC",29,13,14.9,0.909774436090226,"6-2",14,0.8,29,-0.26,0.902255639097744
