Rk,Player,PTS,Date▲,Team,,Opp,Result,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,TS%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,BPM,Pos.,Class
1,RJ Davis,11,11/25/20,North Carolina,,College of Charleston,W 79-60,*,27,4,9,0.444,3,6,0.5,1,3,0.333,2,4,0.5,0.505,2,2,4,1,1,0,1,3,11,7,1.7,G,FR
2,RJ Davis,16,11/30/20,North Carolina,N,UNLV,W 78-51,*,28,5,9,0.556,2,5,0.4,3,4,0.75,3,3,1,0.767,2,4,6,1,0,0,1,1,16,13.6,14.5,G,FR
3,RJ Davis,11,12/1/20,North Carolina,N,Stanford,W 67-63,*,27,3,8,0.375,1,4,0.25,2,4,0.5,3,3,1,0.584,1,3,4,1,0,0,3,3,11,4.7,3.1,G,FR
4,RJ Davis,11,12/2/20,North Carolina,N,Texas,L 67-69,*,33,3,11,0.273,3,9,0.333,0,2,0,5,7,0.714,0.384,1,3,4,3,1,0,3,2,11,4.6,2,G,FR
5,RJ Davis,12,12/8/20,North Carolina,@,Iowa,L 80-93,*,33,4,8,0.5,2,3,0.667,2,5,0.4,2,4,0.5,0.606,0,2,2,8,0,0,3,1,12,10,6.5,G,FR
6,RJ Davis,6,12/12/20,North Carolina,,North Carolina Central,W 73-67,*,33,2,10,0.2,2,5,0.4,0,5,0,2,2,1,0.274,0,1,1,3,0,0,3,2,6,-1.6,-13.3,G,FR
7,RJ Davis,3,12/19/20,North Carolina,N,Kentucky,W 75-63,*,17,1,6,0.167,0,2,0,1,4,0.25,0,1,0,0.232,0,0,0,1,0,0,0,2,3,-1.3,-5.2,G,FR
8,RJ Davis,11,12/22/20,North Carolina,@,NC State,L 76-79,*,36,5,14,0.357,4,10,0.4,1,4,0.25,0,0,,0.393,0,3,3,3,0,0,3,2,11,2.4,-3.8,G,FR
9,RJ Davis,5,12/30/20,North Carolina,@,Georgia Tech,L 67-72,*,24,1,7,0.143,0,4,0,1,3,0.333,2,2,1,0.314,0,3,3,3,0,0,3,2,5,-0.3,-7.3,G,FR
10,RJ Davis,3,1/2/21,North Carolina,,Notre Dame,W 66-65,,23,1,6,0.167,0,0,,1,6,0.167,0,0,,0.25,0,3,3,2,0,0,2,0,3,-0.5,-8.7,G,FR
11,RJ Davis,2,1/5/21,North Carolina,@,Miami (FL),W 67-65,*,14,1,5,0.2,1,3,0.333,0,2,0,0,0,,0.2,0,0,0,0,0,0,3,2,2,-4.9,-21.2,G,FR
12,RJ Davis,12,1/12/21,North Carolina,,Syracuse,W 81-75,,21,3,8,0.375,1,2,0.5,2,6,0.333,4,4,1,0.606,1,1,2,1,2,0,0,0,12,11.3,16.4,G,FR
13,RJ Davis,16,1/16/21,North Carolina,@,Florida State,L 75-82,,20,6,9,0.667,4,6,0.667,2,3,0.667,2,2,1,0.804,0,4,4,3,1,0,1,1,16,15,22.1,G,FR
14,RJ Davis,13,1/20/21,North Carolina,,Wake Forest,W 80-73,,17,4,7,0.571,4,7,0.571,0,0,,5,6,0.833,0.66,1,1,2,0,2,1,1,2,13,11.2,14.3,G,FR
15,RJ Davis,10,1/23/21,North Carolina,,NC State,W 86-76,,16,3,6,0.5,2,5,0.4,1,1,1,3,5,0.6,0.597,1,1,2,3,0,0,2,1,10,6.9,7.5,G,FR
16,RJ Davis,5,1/26/21,North Carolina,@,Pittsburgh,W 75-65,,21,2,7,0.286,1,4,0.25,1,3,0.333,0,0,,0.357,0,0,0,3,0,0,2,1,5,0.6,-7.8,G,FR
17,RJ Davis,0,2/2/21,North Carolina,@,Clemson,L 50-63,,12,0,3,0,0,1,0,0,2,0,0,0,,0,0,2,2,2,1,0,1,2,0,-0.9,-3,G,FR
