Season,Outright,Result,Location,Spread,Cover
2023,NC State,"State 39, UNC 20",Raleigh,UNC -2.5,FALSE
2022,NC State,"State 30, UNC 27 (2OT)",Chapel Hill,UNC -6.5,FALSE
2021,NC State,"State 34, UNC 30",Raleigh,UNC +5,TRUE
2020,North Carolina,"UNC 48, State 21",Chapel Hill,UNC -15,TRUE
2019,North Carolina,"UNC 41, State 10",Raleigh,UNC -11,TRUE
2018,NC State,"State 34, UNC 28",Chapel Hill,UNC +7,TRUE
2017,NC State,"State 33, UNC 21",Raleigh,UNC +14.5,TRUE
2016,NC State,"State 28, UNC 21",Chapel Hill,UNC -9.5,FALSE
2015,North Carolina,"UNC 45, State 34",Raleigh,UNC -3.5,TRUE
2014,NC State,"State 35, UNC 7",Chapel Hill,UNC -6.5,FALSE
2013,North Carolina,"UNC 27, State 19",Raleigh,UNC -5.5,TRUE
