Rk,From,To,Team,Lg,W,G,W,L,W/L%
1,1993-94,2023-24,Kansas,NCAAM,893,1100,893,207,0.812
2,1993-94,2023-24,Duke,NCAAM,866,1090,866,224,0.794
3,1993-94,2023-24,Gonzaga,NCAAM,847,1045,847,198,0.811
4,1993-94,2023-24,Kentucky,NCAAM,837,1089,837,252,0.769
5,1993-94,2023-24,North Carolina,NCAAM,801,1097,801,296,0.73
6,1993-94,2023-24,Arizona,NCAAM,782,1052,782,270,0.743
7,1993-94,2023-24,Connecticut,NCAAM,764,1060,764,296,0.721
8,1993-94,2023-24,Michigan State,NCAAM,749,1062,749,313,0.705
9,1993-94,2023-24,Syracuse,NCAAM,729,1054,729,325,0.692
10,1993-94,2023-24,Villanova,NCAAM,721,1042,721,321,0.692
11,1993-94,2023-24,Cincinnati,NCAAM,716,1032,716,316,0.694
12,1993-94,2023-24,Memphis,NCAAM,712,1034,712,322,0.689
13,1993-94,2023-24,Florida,NCAAM,708,1049,708,341,0.675
14,1993-94,2023-24,UCLA,NCAAM,702,1030,702,328,0.682
15,1993-94,2023-24,Xavier,NCAAM,700,1018,700,318,0.688
16,1993-94,2023-24,Utah State,NCAAM,693,1007,693,314,0.688
17,1993-94,2023-24,Purdue,NCAAM,691,1034,691,343,0.668
18,1993-94,2023-24,Wisconsin,NCAAM,690,1031,690,341,0.669
19,1993-94,2023-24,Texas,NCAAM,685,1039,685,354,0.659
20,1993-94,2023-24,Murray State,NCAAM,678,977,678,299,0.694
21,1993-94,2023-24,Louisville,NCAAM,677,1036,677,359,0.653
22,1993-94,2023-24,Maryland,NCAAM,674,1029,674,355,0.655
23,1993-94,2023-24,College of Charleston,NCAAM,672,975,672,303,0.689
24,1993-94,2023-24,VCU,NCAAM,665,1005,665,340,0.662
25,1993-94,2023-24,Illinois,NCAAM,663,1036,663,373,0.64
26,1993-94,2023-24,Butler,NCAAM,660,1005,660,345,0.657
27,1993-94,2023-24,Creighton,NCAAM,659,1017,659,358,0.648
28,1993-94,2023-24,Marquette,NCAAM,656,1010,656,354,0.65
29,1993-94,2023-24,Brigham Young,NCAAM,656,1009,656,353,0.65
30,1993-94,2023-24,Ohio State,NCAAM,654,1026,654,372,0.637
31,1993-94,2023-24,Oregon,NCAAM,642,1017,642,375,0.631
32,1993-94,2023-24,Oklahoma,NCAAM,639,1003,639,364,0.637
33,1993-94,2023-24,St. Mary's (CA),NCAAM,636,981,636,345,0.648
34,1993-94,2023-24,Arkansas,NCAAM,632,1021,632,389,0.619
35,1993-94,2023-24,Vermont,NCAAM,630,966,630,336,0.652
36,1993-94,2023-24,San Diego State,NCAAM,630,996,630,366,0.633
37,1993-94,2023-24,Virginia,NCAAM,629,987,629,358,0.637
38,1993-94,2023-24,Stanford,NCAAM,629,996,629,367,0.632
39,1993-94,2023-24,Oklahoma State,NCAAM,629,1017,629,388,0.618
40,1993-94,2023-24,New Mexico,NCAAM,627,998,627,371,0.628
41,1993-94,2023-24,Kent State,NCAAM,626,998,626,372,0.627
42,1993-94,2023-24,Davidson,NCAAM,626,965,626,339,0.649
43,1993-94,2023-24,New Mexico State,NCAAM,625,978,625,353,0.639
44,1993-94,2023-24,Utah,NCAAM,624,1000,624,376,0.624
45,1993-94,2023-24,UAB,NCAAM,623,1005,623,382,0.62
46,1993-94,2023-24,Dayton,NCAAM,621,987,621,366,0.629
47,1993-94,2023-24,Michigan,NCAAM,620,1031,620,411,0.601
48,1993-94,2023-24,Alabama,NCAAM,620,1023,620,403,0.606
49,1993-94,2023-24,Tennessee,NCAAM,617,1000,617,383,0.617
50,1993-94,2023-24,Pittsburgh,NCAAM,614,1006,614,392,0.61
51,1993-94,2023-24,Western Kentucky,NCAAM,610,989,610,379,0.617
52,1993-94,2023-24,Wichita State,NCAAM,607,986,607,379,0.616
53,1993-94,2023-24,Temple,NCAAM,601,995,601,394,0.604
54,1993-94,2023-24,Indiana,NCAAM,601,1008,601,407,0.596
55,1993-94,2023-24,Mississippi State,NCAAM,599,1010,599,411,0.593
56,1993-94,2023-24,Tulsa,NCAAM,598,996,598,398,0.6
57,1993-94,2023-24,Notre Dame,NCAAM,597,1003,597,406,0.595
58,1993-94,2023-24,UNLV,NCAAM,597,985,597,388,0.606
59,1993-94,2023-24,Nevada,NCAAM,596,984,596,388,0.606
60,1993-94,2023-24,West Virginia,NCAAM,594,1004,594,410,0.592
61,1993-94,2023-24,Valparaiso,NCAAM,593,998,593,405,0.594
62,1993-94,2023-24,Old Dominion,NCAAM,592,999,592,407,0.593
63,1993-94,2023-24,Iowa State,NCAAM,592,1004,592,412,0.59
64,1993-94,2023-24,Iowa,NCAAM,587,1010,587,423,0.581
65,1993-94,2023-24,Weber State,NCAAM,585,954,585,369,0.613
66,1993-94,2023-24,Miami (FL),NCAAM,581,989,581,408,0.587
67,1993-94,2023-24,Baylor,NCAAM,579,978,579,399,0.592
68,1993-94,2023-24,Montana,NCAAM,578,955,578,377,0.605
69,1993-94,2023-24,Ohio,NCAAM,577,984,577,407,0.586
70,1993-94,2023-24,NC State,NCAAM,577,1017,577,440,0.567
71,1993-94,2023-24,Georgetown,NCAAM,577,995,577,418,0.58
72,1993-94,2023-24,Boise State,NCAAM,575,969,575,394,0.593
73,1993-94,2023-24,Akron,NCAAM,573,966,573,393,0.593
74,1993-94,2023-24,Missouri,NCAAM,572,1001,572,429,0.571
75,1993-94,2023-24,Stephen F. Austin,NCAAM,570,926,570,356,0.616
76,1993-94,2023-24,Houston,NCAAM,566,980,566,414,0.578
77,1993-94,2023-24,Florida State,NCAAM,565,987,565,422,0.572
78,1993-94,2023-24,Clemson,NCAAM,565,990,565,425,0.571
79,1993-94,2023-24,Texas Tech,NCAAM,564,990,564,426,0.57
80,1993-94,2023-24,Iona,NCAAM,562,969,562,407,0.58
81,1993-94,2023-24,Providence,NCAAM,561,984,561,423,0.57
82,1993-94,2023-24,Southern Illinois,NCAAM,559,982,559,423,0.569
83,1993-94,2023-24,Saint Louis,NCAAM,559,984,559,425,0.568
84,1993-94,2023-24,Ole Miss,NCAAM,559,985,559,426,0.568
85,1993-94,2023-24,Minnesota,NCAAM,559,1008,559,449,0.555
86,1993-94,2023-24,Wake Forest,NCAAM,558,982,558,424,0.568
87,1993-94,2023-24,Kansas State,NCAAM,557,987,557,430,0.564
88,1993-94,2023-24,Auburn,NCAAM,556,985,556,429,0.564
89,1993-94,2023-24,East Tennessee State,NCAAM,555,969,555,414,0.573
90,1993-94,2023-24,Princeton,NCAAM,552,864,552,312,0.639
91,1993-94,2023-24,Louisiana Tech,NCAAM,552,969,552,417,0.57
92,1993-94,2023-24,Chattanooga,NCAAM,552,976,552,424,0.566
93,1993-94,2023-24,Winthrop,NCAAM,549,947,549,398,0.58
94,1993-94,2023-24,Sam Houston State,NCAAM,549,951,549,402,0.577
95,1993-94,2023-24,Missouri State,NCAAM,548,983,548,435,0.557
96,1993-94,2023-24,Colorado,NCAAM,548,988,548,440,0.555
97,1993-94,2023-24,Fresno State,NCAAM,547,990,547,443,0.553
98,1993-94,2023-24,Vanderbilt,NCAAM,546,998,546,452,0.547
99,1993-94,2023-24,Hofstra,NCAAM,544,970,544,426,0.561
100,1993-94,2023-24,Richmond,NCAAM,542,978,542,436,0.554
101,1993-94,2023-24,Massachusetts,NCAAM,541,973,541,432,0.556
102,1993-94,2023-24,Toledo,NCAAM,540,967,540,427,0.558
103,1993-94,2023-24,Colorado State,NCAAM,540,970,540,430,0.557
104,1993-94,2023-24,Northern Iowa,NCAAM,538,966,538,428,0.557
105,1993-94,2023-24,Louisiana State,NCAAM,538,975,538,437,0.552
106,1993-94,2023-24,Seton Hall,NCAAM,537,970,537,433,0.554
107,1993-94,2023-24,Oral Roberts,NCAAM,537,964,537,427,0.557
108,1993-94,2023-24,Hawaii,NCAAM,536,943,536,407,0.568
109,1993-94,2023-24,UTEP,NCAAM,535,969,535,434,0.552
110,1993-94,2023-24,Texas A&M,NCAAM,535,972,535,437,0.55
111,1993-94,2023-24,Southern California,NCAAM,535,983,535,448,0.544
