"","year","team_id","team","conference","division","expected_wins","total_games","total_wins","total_losses","total_ties","conference_games","conference_wins","conference_losses","conference_ties","home_games","home_wins","home_losses","home_ties","away_games","away_wins","away_losses","away_ties"
"1",1993,2,"Auburn","SEC","West",0,11,11,0,0,8,8,0,0,7,7,0,0,4,4,0,0
"2",1993,8,"Arkansas","SEC","West",0,11,5,5,1,8,3,4,1,5,2,3,0,6,3,2,1
"3",1993,9,"Arizona State","Pac-10","",0,11,6,5,0,8,4,4,0,6,4,2,0,5,2,3,0
"4",1993,12,"Arizona","Pac-10","",0,12,10,2,0,8,6,2,0,6,6,0,0,5,3,2,0
"5",1993,21,"San Diego State","Western Athletic","",0,12,6,6,0,8,4,4,0,7,4,3,0,5,2,3,0
"6",1993,23,"San José State","Big West","",0,11,2,9,0,6,2,4,0,4,1,3,0,7,1,6,0
"7",1993,24,"Stanford","Pac-10","",0,11,4,7,0,8,2,6,0,7,3,4,0,4,1,3,0
"8",1993,25,"California","Pac-10","",0,13,9,4,0,8,4,4,0,6,4,2,0,6,4,2,0
"9",1993,26,"UCLA","Pac-10","",0,12,8,4,0,8,6,2,0,6,3,3,0,5,5,0,0
"10",1993,30,"USC","Pac-10","",0,13,8,5,0,8,6,2,0,6,4,2,0,6,3,3,0
"11",1993,36,"Colorado State","Western Athletic","",0,11,5,6,0,8,5,3,0,5,3,2,0,6,2,4,0
"12",1993,38,"Colorado","Big 8","",0,12,8,3,1,7,5,1,1,7,4,2,1,4,3,1,0
"13",1993,52,"Florida State","ACC","",0,13,12,1,0,8,8,0,0,7,7,0,0,5,4,1,0
"14",1993,57,"Florida","SEC","East",0,13,11,2,0,9,8,1,0,7,6,1,0,4,3,1,0
"15",1993,59,"Georgia Tech","ACC","",0,11,5,6,0,8,3,5,0,6,3,3,0,5,2,3,0
"16",1993,61,"Georgia","SEC","East",0,11,5,6,0,8,2,6,0,6,3,3,0,5,2,3,0
"17",1993,62,"Hawai'i","Western Athletic","",0,12,6,6,0,8,3,5,0,8,6,2,0,4,0,4,0
"18",1993,66,"Iowa State","Big 8","",0,11,3,8,0,7,2,5,0,6,3,3,0,5,0,5,0
"19",1993,70,"Idaho","Big Sky","",0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
"20",1993,77,"Northwestern","Big Ten","",0,11,2,9,0,8,0,8,0,6,2,4,0,5,0,5,0
"21",1993,84,"Indiana","Big Ten","",0,12,8,4,0,8,5,3,0,7,6,1,0,4,2,2,0
"22",1993,87,"Notre Dame","FBS Independents","",0,12,11,1,0,1,1,0,0,7,6,1,0,4,4,0,0
"23",1993,96,"Kentucky","SEC","East",0,12,6,6,0,8,4,4,0,6,4,2,0,5,2,3,0
"24",1993,97,"Louisville","FBS Independents","",0,12,9,3,0,4,4,0,0,5,5,0,0,6,3,3,0
"25",1993,99,"LSU","SEC","West",0,11,5,6,0,8,3,5,0,6,3,3,0,5,2,3,0
"26",1993,103,"Boston College","Big East","",0,12,9,3,0,7,5,2,0,6,4,2,0,5,4,1,0
"27",1993,120,"Maryland","ACC","",0,11,2,9,0,8,2,6,0,5,1,4,0,6,1,5,0
"28",1993,127,"Michigan State","Big Ten","",0,12,6,6,0,8,4,4,0,6,5,1,0,5,1,4,0
"29",1993,130,"Michigan","Big Ten","",0,12,8,4,0,8,5,3,0,7,5,2,0,4,2,2,0
"30",1993,135,"Minnesota","Big Ten","",0,11,4,7,0,8,3,5,0,6,3,3,0,5,1,4,0
"31",1993,142,"Missouri","Big 8","",0,11,3,7,1,7,2,5,0,4,3,1,0,7,0,6,1
"32",1993,145,"Ole Miss","SEC","West",0,11,5,6,0,8,3,5,0,6,5,1,0,5,0,5,0
"33",1993,150,"Duke","ACC","",0,11,3,8,0,8,2,6,0,5,2,3,0,6,1,5,0
"34",1993,151,"East Carolina","FBS Independents","",0,11,2,9,0,4,0,4,0,5,2,3,0,6,0,6,0
"35",1993,152,"NC State","ACC","",0,12,7,5,0,8,4,4,0,6,5,1,0,5,2,3,0
"36",1993,153,"North Carolina","ACC","",0,13,10,3,0,8,6,2,0,7,6,1,0,5,4,1,0
"37",1993,154,"Wake Forest","ACC","",0,11,2,9,0,8,1,7,0,6,1,5,0,5,1,4,0
"38",1993,158,"Nebraska","Big 8","",0,12,11,1,0,7,7,0,0,7,7,0,0,4,4,0,0
"39",1993,164,"Rutgers","Big East","",0,11,4,7,0,7,1,6,0,6,3,3,0,5,1,4,0
"40",1993,166,"New Mexico State","Big West","",0,11,5,6,0,7,4,3,0,5,2,3,0,6,3,3,0
"41",1993,167,"New Mexico","Western Athletic","",0,11,6,5,0,8,4,4,0,6,4,2,0,5,2,3,0
"42",1993,183,"Syracuse","Big East","",0,11,6,4,1,7,3,4,0,6,3,2,1,5,3,2,0
"43",1993,189,"Bowling Green","Mid-American","",0,11,6,3,2,8,5,1,2,5,4,0,1,6,2,3,1
"44",1993,193,"Miami (OH)","Mid-American","",0,11,4,7,0,9,3,6,0,5,2,3,0,6,2,4,0
"45",1993,194,"Ohio State","Big Ten","",0,12,10,1,1,8,6,1,1,7,6,0,1,4,3,1,0
"46",1993,195,"Ohio","Mid-American","",0,11,4,7,0,9,4,5,0,5,2,3,0,6,2,4,0
"47",1993,197,"Oklahoma State","Big 8","",0,11,3,8,0,7,0,7,0,6,2,4,0,5,1,4,0
"48",1993,201,"Oklahoma","Big 8","",0,12,9,3,0,7,4,3,0,6,5,1,0,5,3,2,0
"49",1993,202,"Tulsa","FBS Independents","",0,11,4,6,1,5,2,2,1,4,1,3,0,7,3,3,1
"50",1993,204,"Oregon State","Pac-10","",0,11,4,7,0,8,2,6,0,5,2,3,0,6,2,4,0
"51",1993,213,"Penn State","Big Ten","",0,12,10,2,0,8,6,2,0,6,5,1,0,5,4,1,0
"52",1993,218,"Temple","Big East","",0,11,1,10,0,7,0,7,0,5,0,5,0,6,1,5,0
"53",1993,221,"Pittsburgh","Big East","",0,11,3,8,0,7,2,5,0,6,0,6,0,5,3,2,0
"54",1993,228,"Clemson","ACC","",0,12,9,3,0,8,5,3,0,7,6,1,0,4,2,2,0
"55",1993,235,"Memphis","FBS Independents","",0,11,6,5,0,5,2,3,0,5,3,2,0,6,3,3,0
"56",1993,238,"Vanderbilt","SEC","East",0,11,4,7,0,8,1,7,0,6,3,3,0,5,1,4,0
"57",1993,239,"Baylor","Southwest","",0,11,5,6,0,7,3,4,0,5,3,2,0,6,2,4,0
"58",1993,242,"Rice","Southwest","",0,11,6,5,0,7,3,4,0,6,5,1,0,5,1,4,0
"59",1993,245,"Texas A&M","Southwest","",0,12,10,2,0,7,7,0,0,6,6,0,0,5,4,1,0
"60",1993,248,"Houston","Southwest","",0,11,1,9,1,7,1,5,1,4,1,3,0,7,0,6,1
"61",1993,251,"Texas","Southwest","",0,11,5,5,1,7,5,2,0,5,4,1,0,6,1,4,1
"62",1993,252,"BYU","Western Athletic","",0,12,6,6,0,8,6,2,0,6,3,3,0,5,3,2,0
"63",1993,254,"Utah","Western Athletic","",0,13,7,6,0,8,5,3,0,6,4,2,0,6,3,3,0
"64",1993,258,"Virginia","ACC","",0,12,7,5,0,8,5,3,0,6,5,1,0,5,2,3,0
"65",1993,259,"Virginia Tech","Big East","",0,12,9,3,0,7,4,3,0,6,6,0,0,5,2,3,0
"66",1993,264,"Washington","Pac-10","",0,11,7,4,0,8,5,3,0,6,5,1,0,5,2,3,0
"67",1993,265,"Washington State","Pac-10","",0,11,5,6,0,8,3,5,0,5,4,1,0,6,1,5,0
"68",1993,275,"Wisconsin","Big Ten","",0,12,10,1,1,8,6,1,1,5,5,0,0,6,4,1,1
"69",1993,277,"West Virginia","Big East","",0,12,11,1,0,7,7,0,0,7,7,0,0,4,4,0,0
"70",1993,278,"Fresno State","Western Athletic","",0,12,8,4,0,8,6,2,0,6,6,0,0,5,2,3,0
"71",1993,309,"Louisiana","Big West","",0,11,8,3,0,6,5,1,0,5,4,1,0,6,4,2,0
"72",1993,328,"Utah State","Big West","",0,12,7,5,0,6,5,1,0,5,3,2,0,6,3,3,0
"73",1993,333,"Alabama","SEC","West",0,13,9,3,1,9,5,3,1,6,5,1,0,5,3,1,1
"74",1993,344,"Mississippi State","SEC","West",0,11,3,6,2,8,2,5,1,6,2,3,1,5,1,3,1
"75",1993,349,"Army","FBS Independents","",0,11,6,5,0,1,1,0,0,7,5,2,0,4,1,3,0
"76",1993,356,"Illinois","Big Ten","",0,11,5,6,0,8,5,3,0,6,2,4,0,5,3,2,0
"77",1993,2005,"Air Force","Western Athletic","",0,12,4,8,0,8,1,7,0,6,4,2,0,6,0,6,0
"78",1993,2006,"Akron","Mid-American","",0,11,5,6,0,8,4,4,0,5,3,2,0,6,2,4,0
