"","game_id","date","team","opp","type","location","opp_location","team_rtg","opp_rtg","bub_rtg","bub_win_prob","wabW","wabL","net","quad","conf"
"1","Le MoyneLIU1-3",2025-01-03,"LIU","Le Moyne","conf","H","A",0.224685220763782,0.131018730591204,0.889434142916356,0.981602206587701,0.02,-0.98,327,"Q4",NA
"2","Wichita St.Temple1-3",2025-01-03,"Temple","Wichita St.","conf","H","A",0.64401614060755,0.584653686275972,0.889434142916356,0.851076226723305,0.15,-0.85,102,"Q3","Amer"
"3","NevadaNew Mexico1-3",2025-01-03,"New Mexico","Nevada","conf","H","A",0.86016129091923,0.728645192457891,0.889434142916356,0.749737811663243,0.25,-0.75,63,"Q2","MWC"
"4","FairfieldMerrimack1-3",2025-01-03,"Merrimack","Fairfield","conf","H","A",0.525475789698382,0.156046922712854,0.889434142916356,0.977531458084086,0.02,-0.98,313,"Q4","MAAC"
"5","QuinnipiacSaint Peter's1-3",2025-01-03,"Saint Peter's","Quinnipiac","conf","H","A",0.463272827740457,0.285886400737902,0.889434142916356,0.952593171994533,0.05,-0.95,231,"Q4","MAAC"
"6","Central ConnecticutSaint Francis1-3",2025-01-03,"Saint Francis","Central Connecticut","conf","H","A",0.22219003115952,0.323670264359389,0.889434142916356,0.943849416690783,0.06,-0.94,140,"Q3",NA
"7","AkronBowling Green1-3",2025-01-03,"Bowling Green","Akron","conf","H","A",0.323325030158648,0.489239974029551,0.889434142916356,0.893596977393269,0.11,-0.89,155,"Q3","MAC"
"8","MaristIona1-3",2025-01-03,"Iona","Marist","conf","H","A",0.306698423270866,0.261937987651322,0.889434142916356,0.957746429326323,0.04,-0.96,204,"Q4","MAAC"
"9","IowaWisconsin1-3",2025-01-03,"Wisconsin","Iowa","conf","H","A",0.914792406274129,0.824639738455447,0.889434142916356,0.631084003721204,0.37,-0.63,49,"Q2","B10"
"10","Saint Joseph'sSaint Louis1-3",2025-01-03,"Saint Louis","Saint Joseph's","conf","H","A",0.61770531599331,0.669714698526309,0.889434142916356,0.79868232826106,0.2,-0.8,97,"Q3","A10"
"11","CreightonMarquette1-3",2025-01-03,"Marquette","Creighton","conf","H","A",0.954113892080639,0.786975301377515,0.889434142916356,0.685288890331135,0.31,-0.69,64,"Q2","BE"
"12","Michigan St.Ohio St.1-3",2025-01-03,"Ohio St.","Michigan St.","conf","H","A",0.892393672111006,0.859488158180313,0.889434142916356,0.568057177078898,0.43,-0.57,26,"Q1","B10"
"13","XavierGeorgetown1-3",2025-01-03,"Georgetown","Xavier","conf","H","A",0.801817240940455,0.763961499927086,0.889434142916356,0.713092578163082,0.29,-0.71,57,"Q2","BE"
"14","Chicago St.Wagner1-3",2025-01-03,"Wagner","Chicago St.","conf","H","A",0.272513526126838,0.0689197979085718,0.889434142916356,0.990882280956976,0.01,-0.99,356,"Q4","NEC"
"15","ManhattanSiena1-3",2025-01-03,"Siena","Manhattan","conf","H","A",0.326418261322767,0.180866460011285,0.889434142916356,0.973285274119412,0.03,-0.97,247,"Q4","MAAC"
"16","StonehillMercyhurst1-3",2025-01-03,"Mercyhurst","Stonehill","conf","H","A",0.156727524733436,0.188297488510869,0.889434142916356,0.971970963514794,0.03,-0.97,267,"Q4","NEC"
"17","Le MoyneLIU1-3",2025-01-03,"Le Moyne","LIU","conf","A","H",0.131018730591204,0.224685220763782,0.808598943427281,0.935806139336843,0.06,-0.94,323,"Q4","NEC"
"18","Wichita St.Temple1-3",2025-01-03,"Wichita St.","Temple","conf","A","H",0.584653686275972,0.64401614060755,0.808598943427281,0.700167089949554,0.3,-0.7,128,"Q2","Amer"
"19","NevadaNew Mexico1-3",2025-01-03,"Nevada","New Mexico","conf","A","H",0.728645192457891,0.86016129091923,0.808598943427281,0.407164859491706,0.59,-0.41,74,"Q1","MWC"
"20","FairfieldMerrimack1-3",2025-01-03,"Fairfield","Merrimack","conf","A","H",0.156046922712854,0.525475789698382,0.808598943427281,0.792315664994972,0.21,-0.79,185,"Q3","MAAC"
"21","QuinnipiacSaint Peter's1-3",2025-01-03,"Quinnipiac","Saint Peter's","conf","A","H",0.285886400737902,0.463272827740457,0.808598943427281,0.830349437771021,0.17,-0.83,199,"Q3","MAAC"
"22","Central ConnecticutSaint Francis1-3",2025-01-03,"Central Connecticut","Saint Francis","conf","A","H",0.323670264359389,0.22219003115952,0.808598943427281,0.936664625213309,0.06,-0.94,295,"Q4","NEC"
"23","AkronBowling Green1-3",2025-01-03,"Akron","Bowling Green","conf","A","H",0.489239974029551,0.323325030158648,0.808598943427281,0.898390245169549,0.1,-0.9,288,"Q4","MAC"
"24","MaristIona1-3",2025-01-03,"Marist","Iona","conf","A","H",0.261937987651322,0.306698423270866,0.808598943427281,0.905212501937893,0.09,-0.91,302,"Q4","MAAC"
"25","IowaWisconsin1-3",2025-01-03,"Iowa","Wisconsin","conf","A","H",0.824639738455447,0.914792406274129,0.808598943427281,0.282382421108583,0.72,-0.28,33,"Q1","B10"
"26","Saint Joseph'sSaint Louis1-3",2025-01-03,"Saint Joseph's","Saint Louis","conf","A","H",0.669714698526309,0.61770531599331,0.808598943427281,0.723344446401809,0.28,-0.72,139,"Q3","A10"
"27","CreightonMarquette1-3",2025-01-03,"Creighton","Marquette","conf","A","H",0.786975301377515,0.954113892080639,0.808598943427281,0.168865571531755,0.83,-0.17,9,"Q1","BE"
"28","Michigan St.Ohio St.1-3",2025-01-03,"Michigan St.","Ohio St.","conf","A","H",0.859488158180313,0.892393672111006,0.808598943427281,0.337490873535132,0.66,-0.34,21,"Q1","B10"
"29","XavierGeorgetown1-3",2025-01-03,"Xavier","Georgetown","conf","A","H",0.763961499927086,0.801817240940455,0.808598943427281,0.510808560676931,0.49,-0.51,77,"Q2","BE"
"30","Chicago St.Wagner1-3",2025-01-03,"Chicago St.","Wagner","conf","A","H",0.0689197979085718,0.272513526126838,0.808598943427281,0.918552409250177,0.08,-0.92,316,"Q4","NEC"
"31","ManhattanSiena1-3",2025-01-03,"Manhattan","Siena","conf","A","H",0.180866460011285,0.326418261322767,0.808598943427281,0.897095581780869,0.1,-0.9,242,"Q4","MAAC"
"32","StonehillMercyhurst1-3",2025-01-03,"Stonehill","Mercyhurst","conf","A","H",0.188297488510869,0.156727524733436,0.808598943427281,0.957860370160661,0.04,-0.96,345,"Q4","NEC"
"33","Weber St.Northern Arizona1-4",2025-01-04,"Northern Arizona","Weber St.","conf","H","A",0.381504030003971,0.233927004042798,0.889434142916356,0.963428973718613,0.04,-0.96,273,"Q4","BSky"
"34","BellarmineCentral Arkansas1-4",2025-01-04,"Central Arkansas","Bellarmine","conf","H","A",0.204690179559826,0.0886116726037798,0.889434142916356,0.988057997711843,0.01,-0.99,354,"Q4","ASun"
"35","Eastern KentuckyNorth Alabama1-4",2025-01-04,"North Alabama","Eastern Kentucky","conf","H","A",0.570506605615847,0.45019944980258,0.889434142916356,0.907613603799585,0.09,-0.91,183,"Q4","ASun"
"36","Boise St.San Diego St.1-4",2025-01-04,"San Diego St.","Boise St.","conf","H","A",0.889825782390889,0.774629888488593,0.889434142916356,0.700636943852289,0.3,-0.7,52,"Q2","MWC"
"37","Green BayNorthern Kentucky1-4",2025-01-04,"Northern Kentucky","Green Bay","conf","H","A",0.425323127107902,0.129869819494101,0.889434142916356,0.981784239785549,0.02,-0.98,330,"Q4","Horz"
"38","SeattleCal Baptist1-4",2025-01-04,"Cal Baptist","Seattle","conf","H","A",0.557658368254108,0.461365543049971,0.889434142916356,0.903768858652728,0.1,-0.9,156,"Q3","WAC"
"39","Saint Mary'sPortland1-4",2025-01-04,"Portland","Saint Mary's","conf","H","A",0.242734431742647,0.819293841368507,0.889434142916356,0.63954816884831,0.36,-0.64,50,"Q2","WCC"
"40","Western KentuckyFIU1-4",2025-01-04,"FIU","Western Kentucky","conf","H","A",0.42800780326835,0.571634288009308,0.889434142916356,0.857716490174678,0.14,-0.86,113,"Q3","CUSA"
"41","Illinois ChicagoBelmont1-4",2025-01-04,"Belmont","Illinois Chicago","conf","H","A",0.589775085360967,0.449751814135694,0.889434142916356,0.907765149156778,0.09,-0.91,124,"Q3","MVC"
"42","UMBCBinghamton1-4",2025-01-04,"Binghamton","UMBC","conf","H","A",0.248161253024672,0.269413735957355,0.889434142916356,0.956168155433349,0.04,-0.96,255,"Q4","AE"
"43","RichmondMassachusetts1-4",2025-01-04,"Massachusetts","Richmond","conf","H","A",0.436328890090927,0.250303069860187,0.889434142916356,0.960150137074265,0.04,-0.96,272,"Q4","A10"
"44","PresbyterianGardner Webb1-4",2025-01-04,"Gardner Webb","Presbyterian","conf","H","A",0.432048047413578,0.235063959752736,0.889434142916356,0.963205156233393,0.04,-0.96,222,"Q4","BSth"
