"","conf","teams","total_games","avg_point_diff","home_wins","home_games","home_win_pct","close_games_pct","blowout_games_pct"
"1","Patriot",10,30,7.46666666666667,15,15,1,0.4,0.0666666666666667
"2","Big South",9,24,10.3333333333333,11,12,0.916666666666667,0.25,0.25
"3","WAC",9,14,7.85714285714286,6,7,0.857142857142857,0.285714285714286,0
"4","Atlantic 10",15,42,10.5238095238095,15,21,0.714285714285714,0.285714285714286,0.238095238095238
"5","CUSA",10,26,10.3846153846154,9,13,0.692307692307692,0.307692307692308,0.230769230769231
"6","Horizon",11,70,10.7428571428571,24,35,0.685714285714286,0.285714285714286,0.285714285714286
"7","ACC",18,76,12.5263157894737,26,38,0.68421052631579,0.184210526315789,0.236842105263158
"8","Sun Belt",14,56,12.7857142857143,19,28,0.678571428571429,0.321428571428571,0.392857142857143
"9","WCC",11,48,14.1666666666667,16,24,0.666666666666667,0.166666666666667,0.375
"10","Big East",11,52,11.0384615384615,17,26,0.653846153846154,0.346153846153846,0.230769230769231
"11","Ohio Valley",11,54,7.14814814814815,17,27,0.62962962962963,0.481481481481481,0.111111111111111
"12","Big 12",16,48,15.75,15,24,0.625,0.291666666666667,0.541666666666667
"13","SEC",16,32,15.875,10,16,0.625,0.125,0.5
"14","Big Sky",10,26,5.84615384615385,8,13,0.615384615384615,0.769230769230769,0.0769230769230769
"15","Big Ten",18,80,12.875,24,40,0.6,0.3,0.325
"16","SWAC",12,20,9.9,6,10,0.6,0.4,0.2
"17","American",13,34,12.5882352941176,10,17,0.588235294117647,0.294117647058824,0.294117647058824
"18","MEAC",8,14,9.28571428571429,4,7,0.571428571428571,0.285714285714286,0.142857142857143
"19","Big West",11,50,14.08,14,25,0.56,0.08,0.32
"20","Metro Atlantic",13,44,8.27272727272727,12,22,0.545454545454545,0.363636363636364,0.136363636363636
"21","Missouri Valley",12,60,9.33333333333333,16,30,0.533333333333333,0.366666666666667,0.233333333333333
"22","Atlantic Sun",12,36,11.3333333333333,9,18,0.5,0.277777777777778,0.277777777777778
"23","CAA",14,44,11.1818181818182,11,22,0.5,0.136363636363636,0.272727272727273
"24","Southland",12,48,11.625,12,24,0.5,0.375,0.291666666666667
"25","Summit",9,24,12.5833333333333,6,12,0.5,0.25,0.333333333333333
"26","Mountain West",11,50,10.52,11,25,0.44,0.32,0.28
"27","Southern",10,30,11.0666666666667,6,15,0.4,0.466666666666667,0.266666666666667
"28","America East",9,16,12.125,3,8,0.375,0.5,0.375
"29","Northeast",9,16,11.5,3,8,0.375,0.125,0.125
"30","Mid-American",12,24,7.91666666666667,4,12,0.333333333333333,0.416666666666667,0.166666666666667
