"","wins","loss","delta","conf","delta_per_game","team","category"
"1",8,0,184,"WCC",23,"Saint Mary's","Best"
"2",10,0,201,"ACC",20.1,"Duke","Best"
"3",8,0,150,"Big 12",18.75,"Houston","Best"
"4",6,0,112,"America East",18.6666666666667,"Bryant","Best"
"5",10,0,182,"Southland",18.2,"McNeese St.","Best"
"6",0,11,-170,"Horizon",-15.4545454545455,"Green Bay","Worst"
"7",0,4,-62,"MEAC",-15.5,"Maryland Eastern Shore","Worst"
"8",2,7,-141,"WCC",-15.6666666666667,"Portland","Worst"
"9",0,9,-165,"ACC",-18.3333333333333,"Miami FL","Worst"
"10",0,8,-166,"SWAC",-20.75,"Mississippi Valley St.","Worst"
