"","team","conf","net","road_wp","road_wins","road_losses","category"
"1","Michigan St.","Big Ten",17,1,4,0,"Undefeated"
"2","Duke","ACC",3,1,6,0,"Undefeated"
"3","Houston","Big 12",2,1,4,0,"Undefeated"
"4","Texas Tech","Big 12",12,1,4,0,"Undefeated"
"5","Saint Mary's","WCC",23,1,5,0,"Undefeated"
"6","Iowa","Big Ten",65,0,0,5,"Winless"
"7","Kansas St.","Big 12",102,0,0,6,"Winless"
"8","Boston College","ACC",224,0,0,5,"Winless"
"9","Butler","Big East",84,0,0,5,"Winless"
"10","Miami FL","ACC",241,0,0,5,"Winless"
"11","Colorado","Big 12",103,0,0,4,"Winless"
"12","Georgia Tech","ACC",148,0,0,5,"Winless"
"13","Northwestern","Big Ten",49,0,0,6,"Winless"
"14","San Diego","WCC",312,0,0,8,"Winless"
"15","Seton Hall","Big East",195,0,0,6,"Winless"
"16","Air Force","Mountain West",298,0,0,8,"Winless"
"17","Virginia","ACC",137,0,0,5,"Winless"
"18","Washington","Big Ten",98,0,0,5,"Winless"
"19","North Carolina St.","ACC",108,0,0,5,"Winless"
