"","team","adjem","size","sizerk"
"1","Abilene Christian",-7.14767,77.28,169
"2","Air Force",-11.032,78.14,52
"3","Akron",6.31787,75.17,361
"4","Alabama",27.5016,78.09,58
"5","Alabama A&M",-20.242,76.68,273
"6","Alabama St.",-11.1665,76.68,272
"7","Albany",-8.59083,75.48,354
"8","Alcorn St.",-15.3384,75.69,346
"9","American",-5.58682,76.61,280
"10","Appalachian St.",3.03969,77.57,116
"11","Arizona",24.5911,78.03,65
"12","Arizona St.",14.1568,78.11,57
"13","Arkansas",13.8854,78.33,38
"14","Arkansas Pine Bluff",-25.1103,76.96,218
"15","Arkansas St.",8.67069,76.99,215
"16","Army",-10.7663,75.22,359
"17","Auburn",36.2034,78.34,37
"18","Austin Peay",-10.7749,76.07,337
"19","Ball St.",-9.92418,77.37,159
"20","Baylor",21.0773,77.09,197
"21","Bellarmine",-21.4462,76.44,300
"22","Belmont",3.281,78.16,50
"23","Bethune Cookman",-8.86151,77.12,195
"24","Binghamton",-14.386,78.15,51
"25","Boise St.",14.6385,78.06,61
"26","Boston College",-3.66968,76.97,217
"27","Boston University",-11.1802,77.43,144
"28","Bowling Green",-11.7553,76.42,305
"29","Bradley",8.25206,77.02,213
"30","Brown",-4.89054,75.88,343
"31","Bryant",1.54373,79.03,7
"32","Bucknell",-8.37684,76.8,245
"33","Buffalo",-15.9734,77.71,100
"34","Butler",10.1564,78.77,14
"35","BYU",19.4902,78.42,32
"36","Cal Baptist",0.937174,76.63,278
"37","Cal Poly",-6.35693,76.53,291
"38","Cal St. Bakersfield",-6.29623,76.82,243
"39","Cal St. Fullerton",-12.6297,77.21,181
"40","California",4.11506,77.14,194
"41","Campbell",-2.18642,77.5,131
"42","Canisius",-20.7827,76.92,227
"43","Central Arkansas",-16.445,76.56,286
"44","Central Connecticut",-2.29783,75.55,351
"45","Central Michigan",-4.40032,77.82,88
"46","Charleston",2.7955,77.56,118
"47","Charleston Southern",-10.2579,77.33,163
"48","Charlotte",-6.17562,77.4,153
"49","Chattanooga",2.2442,76.39,312
"50","Chicago St.",-21.6912,77.08,198
"51","Cincinnati",14.0599,78.67,19
"52","Clemson",20.8962,78.03,64
"53","Cleveland St.",1.75072,76.51,292
"54","Coastal Carolina",-13.9494,77.6,114
"55","Colgate",-5.07207,77.36,160
"56","Colorado",6.53878,78.83,12
"57","Colorado St.",10.7433,77.07,203
"58","Columbia",-3.11664,76.74,259
"59","Connecticut",17.6958,78,67
"60","Coppin St.",-24.9078,76.82,242
"61","Cornell",3.27786,76.95,223
"62","Creighton",19.4005,78.77,15
"63","CSUN",3.04933,77.39,155
"64","Dartmouth",-9.45357,76.37,315
"65","Davidson",3.74244,78.4,33
"66","Dayton",10.9338,76.21,326
"67","Delaware",-6.63821,77.45,139
"68","Delaware St.",-12.6185,77.44,143
"69","Denver",-16.7717,76.17,330
"70","DePaul",3.19544,77.27,172
"71","Detroit Mercy",-15.3364,77.52,129
"72","Drake",11.9162,77.34,161
"73","Drexel",-2.86099,77.63,111
"74","Duke",35.3491,79.73,1
"75","Duquesne",2.30638,76.79,252
"76","East Carolina",1.03405,76.79,251
"77","East Tennessee St.",2.57608,76.84,238
"78","East Texas A&M",-17.4762,76.42,308
"79","Eastern Illinois",-16.3036,76.53,290
"80","Eastern Kentucky",-4.65957,76.83,239
"81","Eastern Michigan",-11.4271,77.32,164
"82","Eastern Washington",-9.20548,77.42,149
"83","Elon",0.268189,79.66,2
"84","Evansville",-8.03023,78.06,60
"85","Fairfield",-15.9798,76.21,325
"86","Fairleigh Dickinson",-12.7798,76.4,309
"87","FIU",-7.23555,76.86,234
"88","Florida",31.0415,77.88,81
"89","Florida A&M",-16.9283,77.15,191
"90","Florida Atlantic",4.74341,77.54,123
"91","Florida Gulf Coast",1.44478,76.73,262
"92","Florida St.",10.2931,79.36,3
"93","Fordham",-3.64016,76.38,313
"94","Fresno St.",-7.80406,77.64,109
"95","Furman",0.839077,77.87,82
"96","Gardner Webb",-5.65491,76.79,253
"97","George Mason",11.0765,77.56,119
"98","George Washington",3.73087,77.65,107
"99","Georgetown",9.54568,78.68,18
"100","Georgia",17.5759,78.86,10
"101","Georgia Southern",-8.14183,77.4,152
"102","Georgia St.",-11.4221,78.22,41
"103","Georgia Tech",4.35326,77.94,73
"104","Gonzaga",26.0429,77.38,157
"105","Grambling St.",-14.323,77.14,193
"106","Grand Canyon",8.21455,78.13,53
"107","Green Bay",-17.1372,76.4,310
"108","Hampton",-8.79711,76.72,263
"109","Harvard",-8.97502,76.7,270
"110","Hawaii",-2.00309,77.87,83
"111","High Point",6.57167,77.04,208
"112","Hofstra",0.707207,77.08,199
"113","Holy Cross",-13.1483,77.08,201
"114","Houston",36.401,76.95,225
"115","Houston Christian",-8.24342,75.89,342
"116","Howard",-11.0675,76.24,324
"117","Idaho",-6.67693,76.79,249
"118","Idaho St.",-5.24936,77.5,132
"119","Illinois",24.4157,78.83,11
"120","Illinois Chicago",4.21658,76.49,296
"121","Illinois St.",1.9712,76.16,331
"122","Incarnate Word",-10.0785,77.34,162
"123","Indiana",13.6793,78.97,8
"124","Indiana St.",-5.67737,77.28,170
"125","Iona",-8.7401,76.44,301
"126","Iowa",12.5719,77.98,68
"127","Iowa St.",30.3573,77.92,77
"128","IU Indy",-15.2371,76.83,240
"129","Jackson St.",-10.3239,76.3,320
"130","Jacksonville",1.31496,77.43,146
"131","Jacksonville St.",2.19784,77.67,103
"132","James Madison",1.40142,76.95,224
"133","Kansas",26.9834,77.9,78
"134","Kansas City",-5.66094,77.49,134
"135","Kansas St.",9.56515,77.48,136
"136","Kennesaw St.",-0.0299489,77.64,110
"137","Kent St.",2.67929,75.54,353
"138","Kentucky",24.3309,78.54,22
