"","date","year","coach","team","opp","result","tempo","loc","pts_scored","pts_allowed"
"1",2022-04-04,2022,"Hubert Davis","North Carolina","Kansas","L",73.1,"N",69,72
"2",2022-03-27,2022,"Hubert Davis","North Carolina","Saint Peter's","W",64.9,"N",69,49
"3",2022-03-25,2022,"Hubert Davis","North Carolina","UCLA","W",64.2,"N",73,66
"4",2022-03-19,2022,"Hubert Davis","North Carolina","Baylor","W",77.5,"N",93,86
"5",2022-03-17,2022,"Hubert Davis","North Carolina","Marquette","W",75.4,"N",95,63
"6",2022-03-11,2022,"Hubert Davis","North Carolina","Virginia Tech","L",64.2,"N",59,72
"7",2022-03-10,2022,"Hubert Davis","North Carolina","Virginia","W",65.3,"N",63,43
"8",2022-02-28,2022,"Hubert Davis","North Carolina","Syracuse","W",64.6,"H",88,79
"9",2022-02-26,2022,"Hubert Davis","North Carolina","North Carolina St.","W",70.5,"A",84,74
"10",2022-02-21,2022,"Hubert Davis","North Carolina","Louisville","W",66.3,"H",70,63
"11",2022-02-19,2022,"Hubert Davis","North Carolina","Virginia Tech","W",66.5,"A",65,57
"12",2022-02-16,2022,"Hubert Davis","North Carolina","Pittsburgh","L",68.6,"H",67,76
"13",2022-02-12,2022,"Hubert Davis","North Carolina","Florida St.","W",75.3,"H",94,74
"14",2022-02-08,2022,"Hubert Davis","North Carolina","Clemson","W",71,"A",79,77
"15",2022-02-01,2022,"Hubert Davis","North Carolina","Louisville","W",70.1,"A",90,83
"16",2022-01-29,2022,"Hubert Davis","North Carolina","North Carolina St.","W",75.2,"H",100,80
"17",2022-01-26,2022,"Hubert Davis","North Carolina","Boston College","W",63.8,"H",58,47
"18",2022-01-24,2022,"Hubert Davis","North Carolina","Virginia Tech","W",66.8,"H",78,68
"19",2022-01-22,2022,"Hubert Davis","North Carolina","Wake Forest","L",79.6,"A",76,98
"20",2022-01-18,2022,"Hubert Davis","North Carolina","Miami FL","L",69.3,"A",57,85
"21",2022-01-15,2022,"Hubert Davis","North Carolina","Georgia Tech","W",73.8,"H",88,65
"22",2022-01-08,2022,"Hubert Davis","North Carolina","Virginia","W",61.6,"H",74,58
"23",2022-01-05,2022,"Hubert Davis","North Carolina","Notre Dame","L",72,"A",73,78
"24",2022-01-02,2022,"Hubert Davis","North Carolina","Boston College","W",72,"A",91,65
"25",2021-12-21,2022,"Hubert Davis","North Carolina","Appalachian St.","W",67.8,"H",70,50
"26",2021-12-18,2022,"Hubert Davis","North Carolina","Kentucky","L",72.2,"N",69,98
"27",2021-12-14,2022,"Hubert Davis","North Carolina","Furman","W",63.5,"H",74,61
"28",2021-12-11,2022,"Hubert Davis","North Carolina","Elon","W",76.4,"H",80,63
"29",2021-12-05,2022,"Hubert Davis","North Carolina","Georgia Tech","W",66.1,"A",79,62
"30",2021-12-01,2022,"Hubert Davis","North Carolina","Michigan","W",64.6,"H",72,51
"31",2021-11-23,2022,"Hubert Davis","North Carolina","UNC Asheville","W",66.4,"H",72,53
"32",2021-11-21,2022,"Hubert Davis","North Carolina","Tennessee","L",73.9,"N",72,89
"33",2021-11-20,2022,"Hubert Davis","North Carolina","Purdue","L",76.6,"N",84,93
"34",2021-11-16,2022,"Hubert Davis","North Carolina","College of Charleston","W",84.6,"A",94,83
"35",2021-11-12,2022,"Hubert Davis","North Carolina","Brown","W",70.8,"H",94,87
"36",2021-11-09,2022,"Hubert Davis","North Carolina","Loyola MD","W",74.1,"H",83,67
"37",2023-03-09,2023,"Hubert Davis","North Carolina","Virginia","L",61.5,"N",59,68
"38",2023-03-08,2023,"Hubert Davis","North Carolina","Boston College","W",63.3,"N",85,61
"39",2023-02-27,2023,"Hubert Davis","North Carolina","Florida St.","W",69.7,"A",77,66
"40",2023-02-25,2023,"Hubert Davis","North Carolina","Virginia","W",67.3,"H",71,63
"41",2023-02-22,2023,"Hubert Davis","North Carolina","Notre Dame","W",63.4,"A",63,59
"42",2023-02-19,2023,"Hubert Davis","North Carolina","North Carolina St.","L",68.6,"A",69,77
"43",2023-02-13,2023,"Hubert Davis","North Carolina","Miami FL","L",73.2,"H",72,80
"44",2023-02-11,2023,"Hubert Davis","North Carolina","Clemson","W",69.8,"H",91,71
"45",2023-02-07,2023,"Hubert Davis","North Carolina","Wake Forest","L",83.2,"A",85,92
