"","ID","run_team","def_team","run_length","start_score","end_score","run_start","run_end","time","time_clean"
"1","5722995","North Carolina","La Salle",16,"2-8","18-8","1H-16:16","1H-12:11",245,"4:05"
"2","5732612","Duke","North Carolina",16,"7-6","23-6","1H-15:47","1H-13:09",158,"2:38"
"3","5722945","North Carolina","American",15,"84-51","99-51","2H-06:30","2H-03:10",200,"3:20"
"4","5723013","North Carolina","Florida",15,"44-32","46-45","1H-01:27","2H-17:35",232,"3:52"
"5","5732590","North Carolina","California",15,"48-39","63-39","2H-13:18","2H-07:50",328,"5:28"
"6","5722933","Elon","North Carolina",14,"57-69","71-69","2H-10:43","2H-06:48",235,"3:55"
"7","5732549","North Carolina","Georgia Tech",13,"8-16","21-16","1H-10:35","1H-06:39",236,"3:56"
"8","5732557","Louisville","North Carolina",12,"70-69","82-69","2H-02:59","2H-00:40",139,"2:19"
"9","5732566","Notre Dame","North Carolina",12,"36-47","48-47","2H-15:46","2H-13:09",157,"2:37"
"10","5732601","Wake Forest","North Carolina",12,"37-39","49-39","2H-14:52","2H-09:36",316,"5:16"
"11","5722933","North Carolina","Elon",11,"69-71","80-71","2H-06:35","2H-04:52",103,"1:43"
"12","5722959","Dayton","North Carolina",11,"23-22","34-22","1H-07:47","1H-06:30",77,"1:17"
"13","5730381","North Carolina","Hawaii",11,"41-36","52-36","2H-19:24","2H-17:15",129,"2:09"
"14","5732612","Duke","North Carolina",11,"29-13","40-13","1H-10:27","1H-05:16",311,"5:11"
"15","5732612","North Carolina","Duke",11,"52-79","63-79","2H-06:39","2H-03:31",188,"3:08"
"16","5810062","North Carolina","Auburn",11,"10-23","21-23","1H-12:04","1H-09:31",153,"2:33"
"17","5723013","Florida","North Carolina",10,"0-2","2-10","1H-17:32","1H-16:21",71,"1:11"
"18","5730381","North Carolina","Hawaii",10,"3-2","13-2","1H-16:47","1H-13:38",189,"3:09"
"19","5732517","North Carolina","NC State",10,"14-17","24-17","1H-06:20","1H-02:50",210,"3:30"
"20","5810067","Kansas","North Carolina",10,"39-29","49-29","1H-05:51","1H-01:43",248,"4:08"
"21","5722389","Alabama","North Carolina",9,"43-38","52-38","2H-18:29","2H-16:52",97,"1:37"
"22","5722933","North Carolina","Elon",9,"17-19","26-19","1H-11:22","1H-10:06",76,"1:16"
"23","5722945","North Carolina","American",9,"61-45","70-45","2H-12:03","2H-10:15",108,"1:48"
"24","5722995","North Carolina","La Salle",9,"69-45","78-45","2H-09:21","2H-07:40",101,"1:41"
"25","5723033","UCLA","North Carolina",9,"0-2","9-2","1H-18:55","1H-17:09",106,"1:46"
"26","5723033","North Carolina","UCLA",9,"18-31","27-31","1H-06:03","1H-04:20",103,"1:43"
"27","5732517","NC State","North Carolina",9,"27-35","36-35","2H-16:42","2H-13:58",164,"2:44"
"28","5732572","North Carolina","SMU",9,"6-6","15-6","1H-15:37","1H-13:06",151,"2:31"
"29","5732607","Pittsburgh","North Carolina",9,"64-65","73-65","2H-02:35","2H-00:11",144,"2:24"
